mol_id,conf_id,scan,wb97m
8,19,105,6.89013825
8,20,120,5.4932605
8,21,135,3.933923
8,22,150,2.120448
8,23,165,0.56029475
8,24,180,0
9,1,-165,1.554694
9,2,-150,0.79121475
9,3,-135,0.27013875
9,4,-120,0.04574475
9,5,-105,0
9,6,-90,0.01938975
9,7,-75,0.01562475
9,8,-60,0.10334925
9,9,-45,0.41722475
9,10,-30,1.01836975
9,11,-15,1.617695
9,12,0,1.7495955
9,13,15,1.617695
9,14,30,1.01849525
9,15,45,0.41709925
9,16,60,0.10322375
9,17,75,0.01989175
9,18,90,0.0202055
9,19,105,0
9,20,120,0.0458075
9,21,135,0.27013875
9,22,150,0.79108925
9,23,165,1.554694
9,24,180,1.749972
10,1,-165,1.080053
10,2,-150,1.809961
10,3,-135,2.3103295
10,4,-120,2.67057725
10,5,-105,2.024566
10,6,-90,1.01284775
10,7,-75,0.1319005
10,8,-60,0
10,9,-45,0.95938475
10,10,-30,2.34942275
10,11,-15,3.53765675
10,12,0,4.1147685
10,13,15,3.5362135
10,14,30,2.34666175
10,15,45,0.9602005
10,16,60,0.000502
10,17,75,0.13321825
10,18,90,1.01874625
10,19,105,2.02550725
10,20,120,2.662357
10,21,135,2.308949
10,22,150,1.8048155
10,23,165,1.10985925
10,24,180,0.8211465
11,1,-165,0.31305975
11,2,-150,0
11,3,-135,0.2385755
11,4,-120,0.86212225
11,5,-105,1.5437755
11,6,-90,1.88595125
11,7,-75,1.59491675
11,8,-60,0.899082
11,9,-45,0.23939125
11,10,-30,0.0161895
11,11,-15,0.38359075
11,12,0,1.17474275
11,13,15,0.3836535
11,14,30,0.0154365
11,15,45,0.23989325
11,16,60,0.89989775
11,17,75,1.59855625
11,18,90,1.88469625
11,19,105,1.54157925
11,20,120,0.86274975
11,21,135,0.235438
11,22,150,0.00332575
11,23,165,0.3171385
11,24,180,1.0786725
12,1,-165,5.28675025
12,2,-150,3.40676025
12,3,-135,2.28692375
12,4,-120,1.38796725
12,5,-105,0.52314675
12,6,-90,0
12,7,-75,2.723099
12,8,-60,4.34399425
12,9,-45,5.363117
12,10,-30,6.6950485
12,11,-15,8.2640495
12,12,0,8.23148225
12,13,15,7.89376175
12,14,30,6.69937825
12,15,45,5.37309425
12,16,60,4.34775925
12,17,75,2.72491875
12,18,90,6.27E-05
12,19,105,0.52314675
12,20,120,1.384767
12,21,135,2.28554325
12,22,150,3.39985775
12,23,165,5.28800525
12,24,180,6.1988215
13,1,-165,2.1966265
13,2,-150,1.5314765
13,3,-135,1.08683
13,4,-120,1.10082325
13,5,-105,1.6007525
13,6,-90,2.435202
13,7,-75,3.3037875
13,8,-60,3.695724
13,9,-45,3.22014175
13,10,-30,2.0992385
13,11,-15,1.07446825
13,12,0,0
13,13,15,0.6015215
13,14,30,2.09892475
13,15,45,3.18161325
13,16,60,3.6795345
13,17,75,3.31527075
13,18,90,2.492681
13,19,105,1.72844875
13,20,120,1.3013095
13,21,135,1.3389595
13,22,150,1.78931625
13,23,165,2.37577775
13,24,180,2.59979525
14,1,-165,1.199278
14,2,-150,1.5269585
14,3,-135,2.257996
14,4,-120,3.3502225
14,5,-105,4.4091915
14,6,-90,4.891488
14,7,-75,4.5128545
14,8,-60,3.44240225
14,9,-45,2.11084725
14,10,-30,0.972625
14,11,-15,0.252506
14,12,0,0
14,13,15,0.250498
14,14,30,0.97306425
14,15,45,2.1148005
14,16,60,3.44566525
14,17,75,4.512227
14,18,90,4.89067225
14,19,105,4.4091915
14,20,120,3.350348
14,21,135,2.2593765
14,22,150,1.5269585
14,23,165,1.1991525
14,24,180,1.1045255
15,1,-165,0.75193325
15,2,-150,1.094611
15,3,-135,1.47368375
15,4,-120,0.98561425
15,5,-105,0.45161175
15,6,-90,0
15,7,-75,0.1567495
15,8,-60,1.224378
15,9,-45,3.21675325
15,10,-30,5.5567635
15,11,-15,7.4605985
15,12,0,8.25005625
15,13,15,7.45752375
15,14,30,5.55833225
15,15,45,3.2091605
15,16,60,1.22895875
15,17,75,0.15605925
15,18,90,0.0013805
15,19,105,0.45048225
15,20,120,0.98762225
15,21,135,1.18754375
15,22,150,1.08262575
15,23,165,0.7960465
15,24,180,0.55841225
16,1,-165,0.05327475
16,2,-150,0.2830025
16,3,-135,0.819013
16,4,-120,1.6213345
16,5,-105,2.4308095
16,6,-90,2.92433825
16,7,-75,2.80235225
16,8,-60,2.15150925
16,9,-45,1.4034665
16,10,-30,0.9403715
16,11,-15,0.828802
16,12,0,0.84517975
16,13,15,0.82861375
16,14,30,0.940246
16,15,45,1.404847
16,16,60,2.15314075
16,17,75,2.80297975
16,18,90,2.92396175
16,19,105,2.43262925
16,20,120,1.6205815
16,21,135,0.81832275
16,22,150,0.28306525
16,23,165,0.05026275
16,24,180,0
17,1,-165,0.023845
17,2,-150,0.604157
17,3,-135,2.086563
17,4,-120,4.27434175
17,5,-105,6.848786
17,6,-90,9.3390825
17,7,-75,11.09099975
17,8,-60,11.5915565
17,9,-45,1.8670635
17,10,-30,0.4923365
17,11,-15,0.008785
17,12,0,0.21993875
17,13,15,0
17,14,30,0.45035675
17,15,45,1.80475275
17,16,60,4.03036975
17,17,75,6.8280785
17,18,90,9.50279725
17,19,105,11.22779475
17,20,120,11.70193375
17,21,135,2.1075215
17,22,150,0.620472
17,23,165,0.0202055
17,24,180,0.21981325
18,1,-165,1.50656475
18,2,-150,2.96274125
18,3,-135,5.21785075
18,4,-120,8.2582765
18,5,-105,8.81819475
18,6,-90,8.00545675
18,7,-75,6.5728115
18,8,-60,5.15660675
18,9,-45,4.32040025
18,10,-30,4.247422
18,11,-15,4.62260425
18,12,0,4.6900605
18,13,15,3.93135025
18,14,30,1.8371945
18,15,45,0.75067825
18,16,60,0.4265745
18,17,75,0.610181
18,18,90,1.4566785
18,19,105,1.56128275
18,20,120,1.30074475
18,21,135,0.6311395
18,22,150,0
18,23,165,0.00420425
18,24,180,0.51913075
19,1,-165,0.49829775
19,2,-150,1.90603125
19,3,-135,3.86019175
19,4,-120,5.58958175
19,5,-105,7.08290625
19,6,-90,8.478529
19,7,-75,9.223999
19,8,-60,8.504884
19,9,-45,6.93895775
19,10,-30,5.31762325
19,11,-15,4.19126075
19,12,0,3.841806
19,13,15,4.35290475
19,14,30,5.59121325
19,15,45,7.13662025
19,16,60,8.25921775
19,17,75,8.5948675
19,18,90,8.49515775
19,19,105,7.84444025
19,20,120,6.32112125
19,21,135,4.1541755
19,22,150,2.05010525
19,23,165,0.54611325
19,24,180,0
20,1,-165,3.3582545
20,2,-150,2.3903985
20,3,-135,1.4606945
20,4,-120,0.8909245
20,5,-105,0.73361025
20,6,-90,0.839093
20,7,-75,1.027845
20,8,-60,1.05922
20,9,-45,0.85873375
20,10,-30,0.53858325
20,11,-15,0.2373205
20,12,0,0
20,13,15,0.2624205
20,14,30,0.59995275
20,15,45,0.5658795
20,16,60,0.4049885
20,17,75,0.41120075
20,18,90,0.58828125
20,19,105,0.9614555
20,20,120,1.58738675
20,21,135,2.304682
20,22,150,2.88932375
20,23,165,3.49159825
20,24,180,3.82869125
21,1,-165,2.1404025
21,2,-150,1.9348335
21,3,-135,2.09490875
21,4,-120,2.57406775
21,5,-105,2.9353195
21,6,-90,2.78992775
21,7,-75,2.0387475
21,8,-60,1.0367555
21,9,-45,0.260036
21,10,-30,0
21,11,-15,0.16409125
21,12,0,0.3306925
21,13,15,0.16421675
21,14,30,0
21,15,45,0.2601615
21,16,60,1.0367555
21,17,75,2.03881025
21,18,90,2.78980225
21,19,105,2.9353195
21,20,120,2.5708675
21,21,135,2.094846
21,22,150,1.9348335
21,23,165,2.1404025
21,24,180,2.31265125
22,1,-165,0.22872375
22,2,-150,0.74390125
22,3,-135,1.50706675
22,4,-120,2.626966
22,5,-105,3.88817825
22,6,-90,4.5698315
22,7,-75,4.2485515
22,8,-60,3.1802955
22,9,-45,1.931194
22,10,-30,0.83940675
22,11,-15,0.16396575
22,12,0,0.00106675
22,13,15,0.23801075
22,14,30,0.74239525
22,15,45,1.46740875
22,16,60,2.598603
22,17,75,3.9081955
22,18,90,4.57867925
22,19,105,4.20431275
22,20,120,3.14252
22,21,135,1.91042375
22,22,150,0.829555
22,23,165,0.16785625
22,24,180,0
23,1,-165,12.5114715
23,2,-150,10.97390825
23,3,-135,10.233521
23,4,-120,9.92736375
23,5,-105,10.01119775
23,6,-90,10.69743175
23,7,-75,12.59474075
23,8,-60,11.5293085
23,9,-45,9.93709
23,10,-30,7.42790575
23,11,-15,4.59173125
23,12,0,0.7973015
23,13,15,0
23,14,30,0.410636
23,15,45,1.934206
23,16,60,4.0083445
23,17,75,4.050136
23,18,90,2.981629
23,19,105,2.6296015
23,20,120,2.893779
23,21,135,4.58834275
23,22,150,7.476035
23,23,165,9.86373525
23,24,180,11.52748875
24,1,-165,0.69545825
24,2,-150,0.002259
24,3,-135,0.0126755
24,4,-120,0.6243625
24,5,-105,1.43603375
24,6,-90,1.84641875
24,7,-75,1.44042625
24,8,-60,0.6301355
24,9,-45,0.01474625
24,10,-30,0
24,11,-15,0.67926875
24,12,0,1.38809275
24,13,15,0.67926875
24,14,30,0.001757
24,15,45,0.0144325
24,16,60,0.62718625
24,17,75,1.4403635
24,18,90,1.84666975
24,19,105,1.43603375
24,20,120,0.624488
24,21,135,0.0126755
24,22,150,0.00232175
24,23,165,0.69545825
24,24,180,1.38809275
25,1,-165,0.19044625
25,2,-150,0.059487
25,3,-135,0.0141815
25,4,-120,0.06193425
25,5,-105,0.32699025
25,6,-90,1.02251125
25,7,-75,0.3502705
25,8,-60,0.044929
25,9,-45,0
25,10,-30,0.04210525
25,11,-15,0.20098825
25,12,0,0.44219925
25,13,15,0.20111375
25,14,30,0.0558475
25,15,45,0.00194525
25,16,60,0.04699975
25,17,75,0.350145
25,18,90,1.02150725
25,19,105,0.3264255
25,20,120,0.061495
25,21,135,0.01098125
25,22,150,0.05678875
25,23,165,0.19421125
25,24,180,0.440505
26,1,-165,0.001757
26,2,-150,0.1891285
26,3,-135,0.70022725
26,4,-120,1.42938225
26,5,-105,2.277574
26,6,-90,2.942473
26,7,-75,2.646795
26,8,-60,1.49677575
26,9,-45,0.52026025
26,10,-30,0.03570475
26,11,-15,0.12631575
26,12,0,0.535885
26,13,15,0.12443325
26,14,30,0.0360185
26,15,45,0.52703725
26,16,60,1.50016425
26,17,75,2.65438775
26,18,90,2.94266125
26,19,105,2.27500125
26,20,120,1.427939
26,21,135,0.6946425
26,22,150,0.18831275
26,23,165,0
26,24,180,0.33050425
27,1,-165,1.0450385
27,2,-150,1.589834
27,3,-135,2.7099215
27,4,-120,4.12876175
27,5,-105,5.594539
27,6,-90,6.724792
27,7,-75,9.573391
27,8,-60,6.14178175
27,9,-45,3.31953775
27,10,-30,1.4963365
27,11,-15,0.34568975
27,12,0,0
27,13,15,0.34481125
27,14,30,1.492195
27,15,45,3.29908125
27,16,60,6.1383305
27,17,75,9.5700025
27,18,90,6.7374675
27,19,105,5.597049
27,20,120,4.13177375
27,21,135,2.7146905
27,22,150,1.58989675
27,23,165,1.04359525
27,24,180,1.06919725
28,1,-165,5.61330125
28,2,-150,6.0695565
28,3,-135,6.815905
28,4,-120,3.34225325
28,5,-105,1.17537025
28,6,-90,0.00119225
28,7,-75,5.3100305
28,8,-60,0.229163
28,9,-45,4.87925175
28,10,-30,6.63763225
28,11,-15,8.160261
28,12,0,9.034494
28,13,15,8.171305
28,14,30,6.6420875
28,15,45,4.87536125
28,16,60,0.21780525
28,17,75,5.3153015
28,18,90,0
28,19,105,1.18001375
28,20,120,3.36961225
28,21,135,6.821427
28,22,150,6.06698375
28,23,165,5.6157485
28,24,180,5.55720275
29,1,-165,7.854041
29,2,-150,6.0198585
29,3,-135,2.84979125
29,4,-120,0.84894475
29,5,-105,0
29,6,-90,0.0842105
29,7,-75,0.691003
29,8,-60,1.65854525
29,9,-45,3.45068525
29,10,-30,4.343053
29,11,-15,4.93321675
29,12,0,4.9970335
29,13,15,4.93309125
29,14,30,4.344559
29,15,45,3.44968125
29,16,60,2.4747345
29,17,75,1.83336675
29,18,90,1.73284125
29,19,105,2.2194675
29,20,120,0.84568175
29,21,135,4.38076575
29,22,150,6.019231
29,23,165,7.85372725
29,24,180,8.8320625
30,1,-165,1.23636325
30,2,-150,2.6848215
30,3,-135,3.8994105
30,4,-120,5.16677225
30,5,-105,4.386978
30,6,-90,2.920134
30,7,-75,1.717844
30,8,-60,1.632253
30,9,-45,2.44976
30,10,-30,3.49034325
30,11,-15,4.1782715
30,12,0,4.0367075
30,13,15,3.04594775
30,14,30,1.6557215
30,15,45,0.4182915
30,16,60,0.065511
30,17,75,0.922425
30,18,90,2.91229025
30,19,105,4.78487575
30,20,120,5.177377
30,21,135,3.5931905
30,22,150,1.4248015
30,23,165,0
30,24,180,0.16271075
31,1,-165,1.77111875
31,2,-150,0.8899205
31,3,-135,0.29297975
31,4,-120,6.28E-05
31,5,-105,0.2649305
31,6,-90,1.07748025
31,7,-75,1.59341075
31,8,-60,2.38067225
31,9,-45,4.28789575
31,10,-30,6.44210325
31,11,-15,7.77127375
31,12,0,8.765171
31,13,15,7.82762325
31,14,30,6.29614675
31,15,45,4.407811
31,16,60,2.38701
31,17,75,1.59328525
31,18,90,1.073025
31,19,105,0.264805
31,20,120,0
31,21,135,0.27904925
31,22,150,0.93930475
31,23,165,1.7478385
31,24,180,2.81603175
32,1,-165,0.40153725
32,2,-150,6.27E-05
32,3,-135,0.10410225
32,4,-120,0.53004925
32,5,-105,0.76448325
32,6,-90,1.18013925
32,7,-75,1.43829275
32,8,-60,1.44419125
32,9,-45,1.5244485
32,10,-30,1.5932225
32,11,-15,1.91011
32,12,0,2.1391475
32,13,15,1.9104865
32,14,30,1.59341075
32,15,45,1.52438575
32,16,60,1.443501
32,17,75,1.4381045
32,18,90,1.18202175
32,19,105,0.76485975
32,20,120,0.52427625
32,21,135,0.1113185
32,22,150,0
32,23,165,0.40279225
32,24,180,0.72545275
33,1,-165,1.505498
33,2,-150,3.33509975
33,3,-135,5.23793075
33,4,-120,4.4684275
33,5,-105,3.50778775
33,6,-90,2.9709615
33,7,-75,3.445226
33,8,-60,4.1762635
33,9,-45,3.37576175
33,10,-30,3.4074505
33,11,-15,4.09562975
33,12,0,4.9533595
33,13,15,5.5743335
33,14,30,3.329515
33,15,45,1.27715075
33,16,60,0.2832535
33,17,75,0.4576985
33,18,90,1.2207385
33,19,105,0.9024705
33,20,120,0.3919365
33,21,135,0
33,22,150,0.3163855
33,23,165,0.659126
33,24,180,0.57510375
34,1,-165,2.34979925
34,2,-150,3.07475
34,3,-135,4.492398
34,4,-120,6.0005315
34,5,-105,7.23614175
34,6,-90,7.51035925
34,7,-75,6.21406975
34,8,-60,4.376436
34,9,-45,2.33273125
34,10,-30,0.796674
34,11,-15,0.13133575
34,12,0,0
34,13,15,0.1293905
34,14,30,0.794164
34,15,45,2.32896625
34,16,60,4.38691525
34,17,75,6.213003
34,18,90,7.494609
34,19,105,7.23250225
34,20,120,6.0027905
34,21,135,4.4875035
34,22,150,3.0816525
34,23,165,2.34942275
34,24,180,2.202776
35,1,-165,2.9975675
35,2,-150,3.8278755
35,3,-135,4.740135
35,4,-120,4.73818975
35,5,-105,3.6807895
35,6,-90,2.02149125
35,7,-75,0.55427075
35,8,-60,0
35,9,-45,0.8653225
35,10,-30,2.89748125
35,11,-15,4.98831125
35,12,0,5.8519395
35,13,15,4.99119775
35,14,30,2.89710475
35,15,45,0.86525975
35,16,60,0
35,17,75,0.55427075
35,18,90,2.02149125
35,19,105,3.6807895
35,20,120,4.73818975
35,21,135,4.74057425
35,22,150,3.8261185
35,23,165,2.9975675
35,24,180,2.6787975
36,1,-165,0.907616
36,2,-150,0.93202575
36,3,-135,0.94595625
36,4,-120,0.8236565
36,5,-105,0.510032
36,6,-90,0.15919675
36,7,-75,0
36,8,-60,0.23738325
36,9,-45,0.880759
36,10,-30,1.74338325
36,11,-15,2.568985
36,12,0,3.1077565
36,13,15,2.56729075
36,14,30,1.7433205
36,15,45,0.88101
36,16,60,0.23738325
36,17,75,0.00018825
36,18,90,0.1592595
36,19,105,0.510032
36,20,120,0.823782
36,21,135,0.946772
36,22,150,0.93227675
36,23,165,0.90742775
36,24,180,1.02878625
37,1,-165,10.6879565
37,2,-150,7.45175075
37,3,-135,4.70380275
37,4,-120,2.905827
37,5,-105,1.9990895
37,6,-90,1.896054
37,7,-75,2.48446075
37,8,-60,3.3519795
37,9,-45,3.981864
37,10,-30,3.482123
37,11,-15,2.9551485
37,12,0,0
37,13,15,0.4710015
37,14,30,3.4812445
37,15,45,3.98205225
37,16,60,3.35819175
37,17,75,2.48320575
37,18,90,1.8981875
37,19,105,1.998462
37,20,120,2.90463475
37,21,135,4.7427705
37,22,150,7.40431175
37,23,165,10.731756
37,24,180,11.73318325
38,1,-165,11.81413075
38,2,-150,8.92198325
38,3,-135,6.907771
38,4,-120,5.85564175
38,5,-105,5.40936375
38,6,-90,4.73191475
38,7,-75,3.4257735
38,8,-60,2.06114925
38,9,-45,0.91684025
38,10,-30,0.221884
38,11,-15,0
38,12,0,0.4170365
38,13,15,0.00069025
38,14,30,0.219374
38,15,45,0.91834625
38,16,60,2.06077275
38,17,75,3.4335545
38,18,90,4.73040875
38,19,105,5.40861075
38,20,120,5.86041075
38,21,135,6.90871225
38,22,150,8.93214875
38,23,165,11.8096755
38,24,180,14.1976895
39,1,-165,2.22078525
39,2,-150,2.7377825
39,3,-135,3.18751175
39,4,-120,2.7882335
39,5,-105,1.39411675
39,6,-90,0.218621
39,7,-75,0
39,8,-60,0.8334455
39,9,-45,2.50316025
39,10,-30,4.596061
39,11,-15,6.3546925
39,12,0,7.17916475
39,13,15,6.35412775
39,14,30,4.5961865
39,15,45,2.50316025
39,16,60,0.83338275
39,17,75,6.28E-05
39,18,90,0.218872
39,19,105,1.3944305
39,20,120,2.7884845
39,21,135,3.18738625
39,22,150,2.73734325
39,23,165,2.2207225
39,24,180,2.00329375
40,1,-165,0.78180225
40,2,-150,1.20323125
40,3,-135,1.71640075
40,4,-120,2.0364885
40,5,-105,1.75204275
40,6,-90,0.8989565
40,7,-75,0.02026825
40,8,-60,0
40,9,-45,0.941501
40,10,-30,2.239924
40,11,-15,3.3040385
40,12,0,3.89683775
40,13,15,3.8803345
40,14,30,3.24260625
40,15,45,2.04207325
40,16,60,0.8118595
40,17,75,0.32799425
40,18,90,0.802949
40,19,105,1.501482
40,20,120,2.12088725
40,21,135,2.25868625
40,22,150,1.80236825
40,23,165,1.13508475
40,24,180,0.7099535
41,1,-165,0.45751025
41,2,-150,1.409114
41,3,-135,3.00440725
41,4,-120,5.1132465
41,5,-105,7.377141
41,6,-90,7.319662
41,7,-75,5.023263
41,8,-60,3.4784835
41,9,-45,2.7350215
41,10,-30,2.7581135
41,11,-15,3.271785
41,12,0,4.28676625
41,13,15,3.27247525
41,14,30,2.75805075
41,15,45,2.724103
41,16,60,3.4237655
41,17,75,5.02771825
41,18,90,7.32261125
41,19,105,7.3765135
41,20,120,5.10640675
41,21,135,3.00265025
41,22,150,1.408612
41,23,165,0.450796
41,24,180,0
42,1,-165,4.248175
42,2,-150,4.121169
42,3,-135,4.02233775
42,4,-120,2.90212475
42,5,-105,1.36462425
42,6,-90,0.30038425
42,7,-75,0
42,8,-60,0.4275785
42,9,-45,1.27508
42,10,-30,1.151086
42,11,-15,2.385755
42,12,0,2.91818875
42,13,15,4.228346
42,14,30,4.14131175
42,15,45,4.0843975
42,16,60,2.83184475
42,17,75,1.24037925
42,18,90,0.228159
42,19,105,0.01361675
42,20,120,0.3957015
42,21,135,1.1542235
42,22,150,1.8660595
42,23,165,2.355635
42,24,180,2.969079
43,1,-165,0.2872695
43,2,-150,0
43,3,-135,0.473637
43,4,-120,1.56630275
43,5,-105,2.93387625
43,6,-90,3.876193
43,7,-75,3.30435225
43,8,-60,2.0588275
43,9,-45,1.015044
43,10,-30,0.49716825
43,11,-15,0.53946175
43,12,0,0.74503075
43,13,15,0.53946175
43,14,30,0.49716825
43,15,45,1.015295
43,16,60,2.05889025
43,17,75,3.31175675
43,18,90,3.87675775
43,19,105,2.9363235
43,20,120,1.56630275
43,21,135,0.47332325
43,22,150,0.00094125
43,23,165,0.28733225
43,24,180,1.24288925
44,1,-165,1.057212
44,2,-150,3.23193875
44,3,-135,5.75543
44,4,-120,7.3878085
44,5,-105,6.36379125
44,6,-90,3.895018
44,7,-75,2.15364275
44,8,-60,3.40952125
44,9,-45,3.99560625
44,10,-30,5.47738475
44,11,-15,7.0241095
44,12,0,6.522737
44,13,15,4.78155
44,14,30,2.75165025
44,15,45,1.07710375
44,16,60,0.367213
44,17,75,0.85409025
44,18,90,2.38129975
44,19,105,5.033805
44,20,120,6.4257255
44,21,135,3.1735185
44,22,150,1.1366535
44,23,165,0.08615575
44,24,180,0
45,1,-165,3.77253
45,2,-150,2.2207225
45,3,-135,1.00149
45,4,-120,0.3633225
45,5,-105,0.1173425
45,6,-90,0.03514
45,7,-75,0
45,8,-60,0.2277825
45,9,-45,0.9538
45,10,-30,2.2684125
45,11,-15,3.861635
45,12,0,4.7357425
45,13,15,3.861635
45,14,30,2.267785
45,15,45,0.9544275
45,16,60,0.227155
45,17,75,0
45,18,90,0.0345125
45,19,105,0.116715
45,20,120,0.3633225
45,21,135,1.000235
45,22,150,2.222605
45,23,165,3.77253
45,24,180,4.6114975
46,1,-165,4.484115
46,2,-150,4.96019925
46,3,-135,5.67504725
46,4,-120,3.297638
46,5,-105,2.2124395
46,6,-90,1.187983
46,7,-75,0.5902265
46,8,-60,0.896572
46,9,-45,1.81931075
46,10,-30,3.64470825
46,11,-15,5.34128
46,12,0,7.44321675
46,13,15,4.47024725
46,14,30,2.4598
46,15,45,0.80778075
46,16,60,0
46,17,75,0.12066825
46,18,90,1.09467375
46,19,105,2.48320575
46,20,120,3.74510825
46,21,135,3.7001165
46,22,150,2.81101175
46,23,165,2.0465285
46,24,180,1.670154
47,1,-165,0.55138425
47,2,-150,1.63796325
47,3,-135,2.92094975
47,4,-120,4.20682275
47,5,-105,5.39279775
47,6,-90,6.243123
47,7,-75,6.49086
47,8,-60,6.43595375
47,9,-45,6.3549435
47,10,-30,6.5002725
47,11,-15,6.67051325
47,12,0,6.61579525
47,13,15,6.670325
47,14,30,6.50008425
47,15,45,6.3534375
47,16,60,6.43695775
47,17,75,6.50259425
47,18,90,6.24406425
47,19,105,5.393488
47,20,120,4.207011
47,21,135,2.92415
47,22,150,1.635265
47,23,165,0.551447
47,24,180,0
48,1,-165,1.1439325
48,2,-150,0.17337825
48,3,-135,0.030371
48,4,-120,0.51273025
48,5,-105,1.14713275
48,6,-90,1.43804175
48,7,-75,1.077543
48,8,-60,0.37580975
48,9,-45,0.00207075
48,10,-30,0.3964545
48,11,-15,1.54848175
48,12,0,3.2099135
48,13,15,1.54873275
48,14,30,0.398337
48,15,45,0
48,16,60,0.37493125
48,17,75,1.07572325
48,18,90,1.43866925
48,19,105,1.14399525
48,20,120,0.51837775
48,21,135,0.03068475
48,22,150,0.17576275
48,23,165,1.143556
48,24,180,2.80297975
49,1,-165,4.040347
49,2,-150,2.79068075
49,3,-135,1.52112275
49,4,-120,0.59116775
49,5,-105,0.10221975
