scan,mol_name,Reference Energy,wb97m Energy
1.05,BenzenePyridinepipi105,-3.4,-480.8668612
1.1,BenzenePyridinepipi110,-3.13,-480.8663788
1.25,BenzenePyridinepipi125,-1.97,-480.8647527
1.5,BenzenePyridinepipi150,-0.72,-480.8630713
2,BenzenePyridinepipi200,-0.15,-480.8618791
0.9,BenzenePyridineTS090,-2.09,-480.8630632
0.95,BenzenePyridineTS095,-3.04,-480.8661397
1,BenzenePyridineTS100,-3.32,-480.8670733
1.05,BenzenePyridineTS105,-3.26,-480.866969
1.1,BenzenePyridineTS110,-3.02,-480.8664295
1.25,BenzenePyridineTS125,-2.1,-480.8645206
1.5,BenzenePyridineTS150,-1.05,-480.8626142
2,BenzenePyridineTS200,-0.33,-480.8616085
0.9,BenzeneUracilpipi090,-3.53,-647.5277053
0.95,BenzeneUracilpipi095,-5.22,-647.5304454
1,BenzeneUracilpipi100,-5.71,-647.5311604
1.05,BenzeneUracilpipi105,-5.55,-647.5308165
1.1,BenzeneUracilpipi110,-5.08,-647.5299737
1.25,BenzeneUracilpipi125,-3.29,-647.5270715
1.5,BenzeneUracilpipi150,-1.36,-647.5241647
2,BenzeneUracilpipi200,-0.25,-647.5223463
0.9,BenzeneWaterOHpi090,-2.8,-308.8918359
0.95,BenzeneWaterOHpi095,-3.21,-308.8923778
1,BenzeneWaterOHpi100,-3.27,-308.8923465
1.05,BenzeneWaterOHpi105,-3.13,-308.8920149
1.1,BenzeneWaterOHpi110,-2.9,-308.8915461
1.25,BenzeneWaterOHpi125,-2.1,-308.8900758
1.5,BenzeneWaterOHpi150,-1.16,-308.888465
2,BenzeneWaterOHpi200,-0.42,-308.8871978
0.9,CyclopentaneCyclopentane090,-2.24,-393.3703294
0.95,CyclopentaneCyclopentane095,-2.84,-393.3711244
1.05,CyclopentaneCyclopentane105,-2.86,-393.3707556
1.1,CyclopentaneCyclopentane110,-2.6,-393.3701981
1.25,CyclopentaneCyclopentane125,-1.71,-393.3686566
1.5,CyclopentaneCyclopentane150,-0.79,-393.3671982
2,CyclopentaneCyclopentane200,-0.2,-393.3662173
0.9,CyclopentaneNeopentane090,-1.61,-394.5829177
0.95,CyclopentaneNeopentane095,-2.25,-394.5837084
1,CyclopentaneNeopentane100,-2.41,-394.5837283
1.05,CyclopentaneNeopentane105,-2.33,-394.5834101
1.1,CyclopentaneNeopentane110,-2.14,-394.5829734
1.25,CyclopentaneNeopentane125,-1.47,-394.5817249
1.5,CyclopentaneNeopentane150,-0.71,-394.5805013
2,CyclopentaneNeopentane200,-0.19,-394.5796546
0.9,EthenePentane090,-1.66,-276.531728
0.95,EthenePentane095,-1.97,-276.5320524
1,EthenePentane100,-1.99,-276.5319271
1.05,EthenePentane105,-1.86,-276.5316022
1.1,EthenePentane110,-1.67,-276.5312104
1.25,EthenePentane125,-1.09,-276.5301753
1.5,EthenePentane150,-0.49,-276.529186
2,EthenePentane200,-0.12,-276.5285213
0.9,EthyneAcOHOHpi090,-4.28,-306.6366276
0.95,EthyneAcOHOHpi095,-4.78,-306.6374255
1,EthyneAcOHOHpi100,-4.86,-306.6375202
1.05,EthyneAcOHOHpi105,-4.69,-306.6371984
1.1,EthyneAcOHOHpi110,-4.39,-306.6366449
1.25,EthyneAcOHOHpi125,-3.26,-306.6346337
1.5,EthyneAcOHOHpi150,-1.77,-306.6321092
2,EthyneAcOHOHpi200,-0.56,-306.6300952
0.9,EthyneEthyneTS090,-1.21,-154.7718923
0.95,EthyneEthyneTS095,-1.47,-154.7722909
1,EthyneEthyneTS100,-1.52,-154.7723379
1.05,EthyneEthyneTS105,-1.46,-154.7721935
1.1,EthyneEthyneTS110,-1.35,-154.7719699
1.25,EthyneEthyneTS125,-0.93,-154.7712493
1.5,EthyneEthyneTS150,-0.46,-154.77045
2,EthyneEthyneTS200,-0.14,-154.7698658
0.9,EthynePentane090,-1.13,-275.2781921
0.95,EthynePentane095,-1.63,-275.2788698
1,EthynePentane100,-1.75,-275.278938
1.05,EthynePentane105,-1.68,-275.2787236
1.1,EthynePentane110,-1.52,-275.2784092
1.25,EthynePentane125,-0.98,-275.2774802
1.5,EthynePentane150,-0.42,-275.2765956
2,EthynePentane200,-0.1,-275.2760202
0.9,EthyneWaterCHO090,-2.52,-153.8685339
0.95,EthyneWaterCHO095,-2.8,-153.868974
1,EthyneWaterCHO100,-2.85,-153.8690453
1.05,EthyneWaterCHO105,-2.76,-153.8688995
1.1,EthyneWaterCHO110,-2.6,-153.8686362
1.25,EthyneWaterCHO125,-1.98,-153.8676617
1.5,EthyneWaterCHO150,-1.17,-153.866385
2,EthyneWaterCHO200,-0.46,-153.8652313
0.9,MeNH2MeNH2090,-3.7,-191.845285
0.95,MeNH2MeNH2095,-4.09,-191.8459362
1,MeNH2MeNH2100,-4.15,-191.8460236
1.05,MeNH2MeNH2105,-4.01,-191.8457746
1.1,MeNH2MeNH2110,-3.75,-191.8453428
1.25,MeNH2MeNH2125,-2.79,-191.8437457
1.5,MeNH2MeNH2150,-1.31,-191.841331
2,MeNH2MeNH2200,-0.39,-191.8398255
0.9,MeNH2MeOH090,-2.81,-211.721074
0.95,MeNH2MeOH095,-3.04,-211.7214475
1,MeNH2MeOH100,-3.04,-211.7214442
1.05,MeNH2MeOH105,-2.9,-211.7212266
1.1,MeNH2MeOH110,-2.69,-211.720898
1.25,MeNH2MeOH125,-1.98,-211.7197665
1.5,MeNH2MeOH150,-1.1,-211.7183695
2,MeNH2MeOH200,-0.39,-211.7172129
0.9,MeNH2Peptide090,-4.95,-344.6196207
0.95,MeNH2Peptide095,-5.36,-344.6203087
1,MeNH2Peptide100,-5.41,-344.620397
1.05,MeNH2Peptide105,-5.24,-344.6201205
1.1,MeNH2Peptide110,-4.94,-344.6196283
1.25,MeNH2Peptide125,-3.21,-344.6167813
1.5,MeNH2Peptide150,-1.4,-344.6138593
2,MeNH2Peptide200,-0.46,-344.6122806
0.9,MeNH2Pyridine090,-3.45,-344.3797045
0.95,MeNH2Pyridine095,-3.88,-344.380422
1,MeNH2Pyridine100,-3.97,-344.380564
1.05,MeNH2Pyridine105,-3.85,-344.3803661
1.1,MeNH2Pyridine110,-3.62,-344.3799701
1.25,MeNH2Pyridine125,-2.71,-344.3784608
1.5,MeNH2Pyridine150,-1.5,-344.3765116
2,MeNH2Pyridine200,-0.49,-344.3748745
0.9,MeNH2Water090,-6.75,-172.4101104
0.95,MeNH2Water095,-7.2,-172.4109058
1,MeNH2Water100,-7.25,-172.4110174
1.05,MeNH2Water105,-7.03,-172.4106924
1.1,MeNH2Water110,-6.66,-172.4101044
1.25,MeNH2Water125,-5.22,-172.4077638
1.5,MeNH2Water150,-3.15,-172.4043593
2,MeNH2Water200,-1.2,-172.4011652
0.9,MeOHMeNH2090,-6.97,-211.727549
0.95,MeOHMeNH2095,-7.47,-211.7283855
1,MeOHMeNH2100,-7.54,-211.7285216
1.05,MeOHMeNH2105,-7.34,-211.7282069
1.1,MeOHMeNH2110,-6.97,-211.7276186
1.25,MeOHMeNH2125,-5.5,-211.7252404
1.5,MeOHMeNH2150,-3.35,-211.7217081
2,MeOHMeNH2200,-1.27,-211.7183294
0.9,MeOHMeOH090,-5.28,-231.6020419
0.95,MeOHMeOH095,-5.69,-231.6027559
1,MeOHMeOH100,-5.75,-231.6028812
1.05,MeOHMeOH105,-5.58,-231.6026391
1.1,MeOHMeOH110,-5.28,-231.6021831
1.25,MeOHMeOH125,-4.14,-231.6003829
1.5,MeOHMeOH150,-2.52,-231.597823
2,MeOHMeOH200,-1.01,-231.5954213
0.9,MeOHPeptide090,-7.63,-364.5008281
0.95,MeOHPeptide095,-8.14,-364.5016764
1,MeOHPeptide100,-8.22,-364.5018218
1.05,MeOHPeptide105,-8.02,-364.5015122
1.1,MeOHPeptide110,-7.66,-364.5009235
1.25,MeOHPeptide125,-6.18,-364.4985161
1.5,MeOHPeptide150,-3.65,-364.4944039
2,MeOHPeptide200,-1.1,-364.4902845
0.9,MeOHPyridine090,-6.78,-364.2619274
0.95,MeOHPyridine095,-7.31,-364.2628012
1,MeOHPyridine100,-7.4,-364.2629783
1.05,MeOHPyridine105,-7.23,-364.2627068
1.1,MeOHPyridine110,-6.88,-364.2621592
1.25,MeOHPyridine125,-5.48,-364.2598847
1.5,MeOHPyridine150,-3.38,-364.2564732
2,MeOHPyridine200,-1.33,-364.2532003
0.9,MeOHWater090,-4.59,-192.2837943
0.95,MeOHWater095,-4.95,-192.2844184
1.05,MeOHWater105,-4.85,-192.2842928
1.1,MeOHWater110,-4.59,-192.2838835
1.25,MeOHWater125,-3.59,-192.2823031
1.5,MeOHWater150,-2.2,-192.2801067
2,MeOHWater200,-0.91,-192.2780516
0.9,NeopentaneNeopentane090,-1.45,-395.7956851
0.95,NeopentaneNeopentane095,-1.74,-395.7959725
1,NeopentaneNeopentane100,-1.77,-395.7958702
1.05,NeopentaneNeopentane105,-1.68,-395.7955432
1.1,NeopentaneNeopentane110,-1.54,-395.7952817
1.25,NeopentaneNeopentane125,-1.05,-395.794463
1.5,NeopentaneNeopentane150,-0.5,-395.7935265
2,NeopentaneNeopentane200,-0.14,-395.7929852
0.9,NeopentanePentane090,-1.85,-395.7914601
0.95,NeopentanePentane095,-2.49,-395.7922129
1,NeopentanePentane100,-2.61,-395.7921565
1.05,NeopentanePentane105,-2.48,-395.7917634
1.1,NeopentanePentane110,-2.25,-395.7912603
1.25,NeopentanePentane125,-1.5,-395.7899026
1.5,NeopentanePentane150,-0.7,-395.7886232
2,NeopentanePentane200,-0.18,-395.787761
0.9,PentaneAcNH2090,-3.15,-407.2580512
0.95,PentaneAcNH2095,-3.5,-407.2584923
1,PentaneAcNH2100,-3.51,-407.2583895
1.05,PentaneAcNH2105,-3.32,-407.2579923
1.1,PentaneAcNH2110,-3.04,-407.2574809
1.25,PentaneAcNH2125,-2.12,-407.2559224
1.5,PentaneAcNH2150,-1.04,-407.2542492
2,PentaneAcNH2200,-0.27,-407.2529416
0.9,PentaneAcOH090,-2.7,-427.1403432
0.95,PentaneAcOH095,-2.9,-427.1405743
1,PentaneAcOH100,-2.88,-427.1404494
1.05,PentaneAcOH105,-2.73,-427.1401312
1.1,PentaneAcOH110,-2.52,-427.1397387
1.25,PentaneAcOH125,-1.79,-427.1385099
1.5,PentaneAcOH150,-0.78,-427.1369321
2,PentaneAcOH200,-0.17,-427.1359049
0.9,PentanePentane090,-2.86,-395.788235
0.95,PentanePentane095,-3.62,-395.7891222
1,PentanePentane100,-3.77,-395.7890523
1.05,PentanePentane105,-3.61,-395.7885404
1.1,PentanePentane110,-3.3,-395.7878642
1.25,PentanePentane125,-2.24,-395.7859098
1.5,PentanePentane150,-1.05,-395.7839824
2,PentanePentane200,-0.27,-395.7826406
0.9,PeptideEthene090,-2.6,-327.3335617
0.95,PeptideEthene095,-2.95,-327.3340894
1,PeptideEthene100,-2.99,-327.3341055
1.05,PeptideEthene105,-2.85,-327.3338426
1.1,PeptideEthene110,-2.63,-327.3334475
1.25,PeptideEthene125,-1.86,-327.3321508
1.5,PeptideEthene150,-0.88,-327.3305804
2,PeptideEthene200,-0.19,-327.3293842
0.9,PeptideMeNH2090,-6.81,-344.622406
0.95,PeptideMeNH2095,-7.34,-344.6232857
1,PeptideMeNH2100,-7.45,-344.6234769
1.05,PeptideMeNH2105,-7.29,-344.6232221
1.1,PeptideMeNH2110,-6.97,-344.6226945
1.25,PeptideMeNH2125,-5.61,-344.6204725
1.5,PeptideMeNH2150,-3.55,-344.6171106
2,PeptideMeNH2200,-1.49,-344.6137947
0.9,PeptideMeOH090,-5.67,-364.4977784
0.95,PeptideMeOH095,-6.11,-364.4985317
1,PeptideMeOH100,-6.18,-364.4986907
1.05,PeptideMeOH105,-6.03,-364.4984747
1.1,PeptideMeOH110,-5.74,-364.498034
1.25,PeptideMeOH125,-4.6,-364.4962489
1.5,PeptideMeOH150,-2.95,-364.4936487
2,PeptideMeOH200,-1.3,-364.4910536
0.9,PeptidePentane090,-3.75,-446.5896608
0.95,PeptidePentane095,-4.21,-446.5902179
1,PeptidePentane100,-4.24,-446.5901283
1.05,PeptidePentane105,-4.05,-446.5897032
1.1,PeptidePentane110,-3.73,-446.5891061
1.25,PeptidePentane125,-2.63,-446.5872167
1.5,PeptidePentane150,-1.19,-446.5849166
2,PeptidePentane200,-0.29,-446.5833805
0.9,PeptidePeptide090,-8.02,-497.396228
0.95,PeptidePeptide095,-8.53,-497.3970789
1,PeptidePeptide100,-8.62,-497.3972369
1.05,PeptidePeptide105,-8.45,-497.3969476
1.1,PeptidePeptide110,-8.1,-497.3963817
1.25,PeptidePeptide125,-6.66,-497.3940366
1.5,PeptidePeptide150,-4.42,-497.3904163
2,PeptidePeptide200,-1.77,-497.3861955
0.9,PeptideWater090,-4.7,-325.1786651
0.95,PeptideWater095,-5.06,-325.1793152
1,PeptideWater100,-5.12,-325.1794491
1.05,PeptideWater105,-4.98,-325.1792692
1.1,PeptideWater110,-4.74,-325.1789087
1.25,PeptideWater125,-3.79,-325.1774591
1.5,PeptideWater150,-2.45,-325.1753936
2,PeptideWater200,-1.13,-325.1733293
0.9,PyridineEthene090,-0.89,-327.0936495
0.95,PyridineEthene095,-1.62,-327.0947117
1,PyridineEthene100,-1.86,-327.0949644
1.05,PyridineEthene105,-1.83,-327.0948117
1.1,PyridineEthene110,-1.67,-327.09447
1.25,PyridineEthene125,-1.03,-327.093383
1.5,PyridineEthene150,-0.37,-327.092381
2,PyridineEthene200,-0.05,-327.0918158
0.9,PyridineEthyne090,-3.54,-325.8451328
0.95,PyridineEthyne095,-3.91,-325.845678
1,PyridineEthyne100,-3.99,-325.8457564
1.05,PyridineEthyne105,-3.89,-325.8455479
1.1,PyridineEthyne110,-3.68,-325.8451742
1.25,PyridineEthyne125,-2.84,-325.8437486
1.5,PyridineEthyne150,-1.67,-325.84182
2,PyridineEthyne200,-0.62,-325.8401333
0.9,PyridinePyridineCHN090,-2.8,-496.9126987
0.95,PyridinePyridineCHN095,-3.82,-496.9144642
1,PyridinePyridineCHN100,-4.15,-496.9150956
1.05,PyridinePyridineCHN105,-3.89,-496.9147202
1.1,PyridinePyridineCHN110,-3.45,-496.9140399
1.25,PyridinePyridineCHN125,-2.18,-496.9120938
1.5,PyridinePyridineCHN150,-1.01,-496.9103477
2,PyridinePyridineCHN200,-0.28,-496.9092236
0.9,PyridinePyridinepipi090,-1.32,-496.9132532
0.95,PyridinePyridinepipi095,-3.17,-496.9145012
1,PyridinePyridinepipi100,-3.83,-496.9148002
1.05,PyridinePyridinepipi105,-3.86,-496.9146004
1.1,PyridinePyridinepipi110,-3.58,-496.9141568
1.25,PyridinePyridinepipi125,-2.36,-496.9125858
1.5,PyridinePyridinepipi150,-0.96,-496.910848
2,PyridinePyridinepipi200,-0.24,-496.909522
0.9,PyridinePyridineTS090,-2.53,-496.9114978
0.95,PyridinePyridineTS095,-3.31,-496.9144387
1,PyridinePyridineTS100,-3.53,-496.9153765
1.05,PyridinePyridineTS105,-3.45,-496.9152934
1.1,PyridinePyridineTS110,-3.22,-496.9147504
1.25,PyridinePyridineTS125,-2.29,-496.9127114
1.5,PyridinePyridineTS150,-1.18,-496.9105609
2,PyridinePyridineTS200,-0.37,-496.9093191
0.9,PyridineUracilpipi090,-3.74,-663.5752184
0.95,PyridineUracilpipi095,-6.17,-663.5793174
1,PyridineUracilpipi100,-6.81,-663.5803324
1.05,PyridineUracilpipi105,-6.58,-663.5798813
1.1,PyridineUracilpipi110,-5.97,-663.5788521
1.25,PyridineUracilpipi125,-3.87,-663.5755377
1.5,PyridineUracilpipi150,-1.78,-663.572349
2,PyridineUracilpipi200,-0.53,-663.5702582
0.9,UracilCyclopentane090,-3.05,-611.8033009
0.95,UracilCyclopentane095,-3.97,-611.8047159
1,UracilCyclopentane100,-4.13,-611.8048709
1.05,UracilCyclopentane105,-3.92,-611.804422
1.1,UracilCyclopentane110,-3.54,-611.803749
1.25,UracilCyclopentane125,-2.29,-611.8017426
1.5,UracilCyclopentane150,-1.02,-611.7997908
2,UracilCyclopentane200,-0.25,-611.798476
0.9,UracilEthene090,-2.57,-493.7568842
0.95,UracilEthene095,-3.24,-493.7578996
1,UracilEthene100,-3.38,-493.7580345
1.05,UracilEthene105,-3.24,-493.7577144
1.1,UracilEthene110,-2.96,-493.7571975
1.25,UracilEthene125,-1.99,-493.7555781
1.5,UracilEthene150,-0.93,-493.7538971
2,UracilEthene200,-0.25,-493.7527135
0.9,UracilEthyne090,-2.79,-492.5044712
0.95,UracilEthyne095,-3.56,-492.5057221
1,UracilEthyne100,-3.74,-492.5059705
1.05,UracilEthyne105,-3.59,-492.5056722
1.1,UracilEthyne110,-3.29,-492.5051459
1.25,UracilEthyne125,-2.23,-492.5033835
1.5,UracilEthyne150,-1.04,-492.5014976
2,UracilEthyne200,-0.27,-492.5001805
0.9,UracilNeopentane090,-2.87,-613.0166131
0.95,UracilNeopentane095,-3.6,-613.0176596
1,UracilNeopentane100,-3.7,-613.0176798
1.05,UracilNeopentane105,-3.49,-613.0172261
1.1,UracilNeopentane110,-3.15,-613.0165913
1.25,UracilNeopentane125,-2.05,-613.0147756
1.5,UracilNeopentane150,-0.92,-613.013019
2,UracilNeopentane200,-0.23,-613.0118256
0.9,UracilPentane090,-3.83,-613.012998
0.95,UracilPentane095,-4.69,-613.0142423
1,UracilPentane100,-4.84,-613.01432
1.05,UracilPentane105,-4.6,-613.0137892
1.1,UracilPentane110,-4.08,-613.0128236
1.25,UracilPentane125,-2.44,-613.01011
1.5,UracilPentane150,-0.98,-613.0078187
2,UracilPentane200,-0.21,-613.0064851
0.9,UracilUracilBP090,-15.7,-830.2527079
0.95,UracilUracilBP095,-16.9,-830.2547113
1,UracilUracilBP100,-17.18,-830.2552425
1.05,UracilUracilBP105,-16.86,-830.2548
1.1,UracilUracilBP110,-16.17,-830.2537395
1.25,UracilUracilBP125,-13.15,-830.2489816
1.5,UracilUracilBP150,-8.35,-830.2413533
2,UracilUracilBP200,-3.33,-830.2333969
0.9,UracilUracilpipi090,-7.86,-830.2416691
0.95,UracilUracilpipi095,-9.5,-830.2444326
1,UracilUracilpipi100,-9.82,-830.2449789
1.05,UracilUracilpipi105,-9.43,-830.2443435
1.1,UracilUracilpipi110,-8.69,-830.2431239
1.25,UracilUracilpipi125,-6.07,-830.2389718
1.5,UracilUracilpipi150,-3.1,-830.2343427
2,UracilUracilpipi200,-0.99,-830.2308242
0.9,WaterMeNH2090,-6.49,-172.4098741
0.95,WaterMeNH2095,-6.87,-172.4104977
1,WaterMeNH2100,-6.88,-172.4105127
1.05,WaterMeNH2105,-6.65,-172.4101435
1.1,WaterMeNH2110,-6.28,-172.4095476
1.25,WaterMeNH2125,-4.92,-172.4072948
1.5,WaterMeNH2150,-2.98,-172.4040931
2,WaterMeNH2200,-1.14,-172.4011125
0.9,WaterMeOH090,-5.19,-192.2848637
0.95,WaterMeOH095,-5.55,-192.2854767
1,WaterMeOH100,-5.57,-192.2855319
1.05,WaterMeOH105,-5.38,-192.2852457
1.1,WaterMeOH110,-5.08,-192.2847632
1.25,WaterMeOH125,-3.94,-192.2829554
1.5,WaterMeOH150,-2.39,-192.2804676
2,WaterMeOH200,-0.95,-192.278173
0.9,WaterPeptide090,-7.63,-325.1836441
0.95,WaterPeptide095,-8.06,-325.1843533
1,WaterPeptide100,-8.08,-325.1844073
1.05,WaterPeptide105,-7.84,-325.1840472
1.1,WaterPeptide110,-7.46,-325.1834397
1.25,WaterPeptide125,-5.99,-325.1810784
1.5,WaterPeptide150,-3.83,-325.1775839
2,WaterPeptide200,-1.44,-325.1737049
0.9,WaterPyridine090,-6.39,-324.9444591
0.95,WaterPyridine095,-6.8,-324.945132
1,WaterPyridine100,-6.83,-324.9451821
1.05,WaterPyridine105,-6.62,-324.9448403
1.1,WaterPyridine110,-6.27,-324.9442631
1.25,WaterPyridine125,-4.93,-324.9420478
1.5,WaterPyridine150,-3.01,-324.9388986
2,WaterPyridine200,-1.19,-324.9359743
0.9,WaterWater090,-4.57,-152.9667311
0.95,WaterWater095,-4.88,-152.9672509
1,WaterWater100,-4.89,-152.9672769
1.05,WaterWater105,-4.72,-152.9670046
1.1,WaterWater110,-4.45,-152.9665673
1.25,WaterWater125,-3.46,-152.9649673
1.5,WaterWater150,-2.11,-152.9628146
2,WaterWater200,-0.87,-152.960832
