smile,scan,qm_relative_energy,wb97m_relative_energy
CC(=O)Nc1ccccn1,70,6.369,6.119422785
CC(=O)Nc1ccccn1,80,7.239,7.001365339
CC(=O)Nc1ccccn1,90,6.805,6.874105808
CC(=O)Nc1ccccn1,100,5.654,5.74208673
CC(=O)Nc1ccccn1,110,4.421,4.510301902
CC(=O)Nc1ccccn1,120,3.259,3.320430553
CC(=O)Nc1ccccn1,130,2.261,2.280207288
CC(=O)Nc1ccccn1,140,1.454,1.433130701
CC(=O)Nc1ccccn1,150,0.825,0.794600844
CC(=O)Nc1ccccn1,160,0.372,0.352979398
CC(=O)Nc1ccccn1,170,0.09,0.087909682
CC(=O)Nc1ccccn1,180,0,0
c1ccnc(c1)NC(=O)N,-170,1.903,2.114485092
c1ccnc(c1)NC(=O)N,-160,2.015,2.250850201
c1ccnc(c1)NC(=O)N,-150,2.285,2.557708808
c1ccnc(c1)NC(=O)N,-140,2.749,3.062995963
c1ccnc(c1)NC(=O)N,-130,3.44,3.80149658
c1ccnc(c1)NC(=O)N,-120,4.36,4.763264985
c1ccnc(c1)NC(=O)N,-110,5.463,5.906261287
c1ccnc(c1)NC(=O)N,-100,6.647,7.129054027
c1ccnc(c1)NC(=O)N,-90,7.554,7.697570259
c1ccnc(c1)NC(=O)N,-80,5.481,5.783261966
c1ccnc(c1)NC(=O)N,-70,4.001,4.269278079
c1ccnc(c1)NC(=O)N,-60,2.719,2.938338109
c1ccnc(c1)NC(=O)N,-50,1.696,1.856473899
c1ccnc(c1)NC(=O)N,-40,0.929,1.034795362
c1ccnc(c1)NC(=O)N,-30,0.401,0.459064347
c1ccnc(c1)NC(=O)N,-20,0.082,0.091721633
c1ccnc(c1)NC(=O)N,-10,0,0
c1ccnc(c1)NC(=O)N,0,0.028,0.042125656
c1ccnc(c1)NC(=O)N,10,0.002,0.00092735
c1ccnc(c1)NC(=O)N,20,0.082,0.091037637
c1ccnc(c1)NC(=O)N,30,0.401,0.45976823
c1ccnc(c1)NC(=O)N,40,0.929,1.036341736
c1ccnc(c1)NC(=O)N,50,1.696,1.859213162
c1ccnc(c1)NC(=O)N,60,2.719,2.938004171
c1ccnc(c1)NC(=O)N,70,4.001,4.269920649
c1ccnc(c1)NC(=O)N,80,5.481,5.782438168
c1ccnc(c1)NC(=O)N,90,7.554,7.700882353
c1ccnc(c1)NC(=O)N,100,6.647,7.128834731
c1ccnc(c1)NC(=O)N,110,5.463,5.907396923
c1ccnc(c1)NC(=O)N,120,4.36,4.762940601
c1ccnc(c1)NC(=O)N,130,3.44,3.800069301
c1ccnc(c1)NC(=O)N,140,2.749,3.063190126
c1ccnc(c1)NC(=O)N,150,2.285,2.558834597
c1ccnc(c1)NC(=O)N,160,2.015,2.253065025
c1ccnc(c1)NC(=O)N,170,1.903,2.11629452
c1ccnc(c1)NC(=O)N,180,2.326,2.26250857
c1ccnc(c1)c2[nH]ccn2,-170,0.264,0.241185112
c1ccnc(c1)c2[nH]ccn2,-160,1.006,0.896671825
c1ccnc(c1)c2[nH]ccn2,-150,2.2,1.948344794
c1ccnc(c1)c2[nH]ccn2,-140,3.764,3.327637961
c1ccnc(c1)c2[nH]ccn2,-130,5.599,4.906763972
c1ccnc(c1)c2[nH]ccn2,-120,7.556,6.556719085
c1ccnc(c1)c2[nH]ccn2,-110,9.425,8.07558082
c1ccnc(c1)c2[nH]ccn2,-100,10.998,9.313057316
c1ccnc(c1)c2[nH]ccn2,-90,11.996,10.09912986
c1ccnc(c1)c2[nH]ccn2,-80,12.314,10.3562963
c1ccnc(c1)c2[nH]ccn2,-70,12.006,10.21146127
c1ccnc(c1)c2[nH]ccn2,-60,11.371,9.839584934
c1ccnc(c1)c2[nH]ccn2,-50,10.762,9.446722502
c1ccnc(c1)c2[nH]ccn2,-40,10.322,9.169595689
c1ccnc(c1)c2[nH]ccn2,-30,10.124,9.092024922
c1ccnc(c1)c2[nH]ccn2,-20,10.168,9.231016481
c1ccnc(c1)c2[nH]ccn2,-10,10.378,9.492595155
c1ccnc(c1)c2[nH]ccn2,0,10.392,9.427636203
c1ccnc(c1)c2[nH]ccn2,10,10.374,9.482727521
c1ccnc(c1)c2[nH]ccn2,20,10.166,9.230695634
c1ccnc(c1)c2[nH]ccn2,30,10.124,9.091097512
c1ccnc(c1)c2[nH]ccn2,40,10.324,9.17043615
c1ccnc(c1)c2[nH]ccn2,50,10.764,9.447986677
c1ccnc(c1)c2[nH]ccn2,60,11.371,9.839572758
c1ccnc(c1)c2[nH]ccn2,70,12.004,10.20804235
c1ccnc(c1)c2[nH]ccn2,80,12.312,10.3548195
c1ccnc(c1)c2[nH]ccn2,90,11.996,10.0989907
c1ccnc(c1)c2[nH]ccn2,100,10.996,9.310041831
c1ccnc(c1)c2[nH]ccn2,110,9.427,8.076994768
c1ccnc(c1)c2[nH]ccn2,120,7.558,6.559232632
c1ccnc(c1)c2[nH]ccn2,130,5.605,4.910887985
c1ccnc(c1)c2[nH]ccn2,140,3.766,3.328483053
c1ccnc(c1)c2[nH]ccn2,150,2.2,1.949374737
c1ccnc(c1)c2[nH]ccn2,160,1.002,0.895145807
c1ccnc(c1)c2[nH]ccn2,170,0.26,0.237382622
c1ccnc(c1)c2[nH]ccn2,180,0,0
CC(=O)c1nccn1C,-170,11.284,10.26756745
CC(=O)c1nccn1C,-160,11.366,10.1807382
CC(=O)c1nccn1C,-150,11.61,10.17098566
CC(=O)c1nccn1C,-140,12.089,10.32510963
CC(=O)c1nccn1C,-130,12.818,10.64907675
CC(=O)c1nccn1C,-120,13.319,10.83407318
CC(=O)c1nccn1C,-110,13.823,10.85526887
CC(=O)c1nccn1C,-100,14.37,10.9367383
CC(=O)c1nccn1C,-90,13.7,10.47360272
CC(=O)c1nccn1C,-80,11.732,9.315375456
CC(=O)c1nccn1C,-70,9.311,7.640930625
CC(=O)c1nccn1C,-60,6.91,5.795477494
CC(=O)c1nccn1C,-50,4.78,4.054917727
CC(=O)c1nccn1C,-40,3.021,2.563303275
CC(=O)c1nccn1C,-30,1.669,1.416789999
CC(=O)c1nccn1C,-20,0.722,0.624079232
CC(=O)c1nccn1C,-10,0.169,0.153389819
CC(=O)c1nccn1C,0,0,0
CC(=O)c1nccn1C,10,0.169,0.153392212
CC(=O)c1nccn1C,20,0.722,0.624079232
CC(=O)c1nccn1C,30,1.669,1.416789999
CC(=O)c1nccn1C,40,3.021,2.563303275
CC(=O)c1nccn1C,50,4.78,4.054917727
CC(=O)c1nccn1C,60,6.91,5.795449845
CC(=O)c1nccn1C,70,9.311,7.640940607
CC(=O)c1nccn1C,80,11.732,9.315386913
CC(=O)c1nccn1C,90,13.7,10.47360272
CC(=O)c1nccn1C,100,14.37,10.93674316
CC(=O)c1nccn1C,110,13.823,10.85523467
CC(=O)c1nccn1C,120,13.319,10.83407318
CC(=O)c1nccn1C,130,12.818,10.64907675
CC(=O)c1nccn1C,140,12.089,10.32510963
CC(=O)c1nccn1C,150,11.61,10.1709905
CC(=O)c1nccn1C,160,11.366,10.1807382
CC(=O)c1nccn1C,170,11.284,10.26757489
CC(=O)c1nccn1C,180,11.245,10.30431843
CC(=O)Nc1ncccn1,-170,0.036,0.043549289
CC(=O)Nc1ncccn1,-160,0.227,0.26658049
CC(=O)Nc1ncccn1,-150,0.65,0.734014138
CC(=O)Nc1ncccn1,-140,1.286,1.416207228
CC(=O)Nc1ncccn1,-130,2.151,2.335883097
CC(=O)Nc1ncccn1,-120,3.243,3.48275875
CC(=O)Nc1ncccn1,-110,4.513,4.796405159
CC(=O)Nc1ncccn1,-100,5.88,6.214185214
CC(=O)Nc1ncccn1,-90,7.097,7.45152721
CC(=O)Nc1ncccn1,-80,5.653,5.998071286
CC(=O)Nc1ncccn1,-70,4.215,4.51734604
CC(=O)Nc1ncccn1,-60,2.934,3.181846184
CC(=O)Nc1ncccn1,-50,1.889,2.073487892
CC(=O)Nc1ncccn1,-40,1.097,1.220943909
CC(=O)Nc1ncccn1,-30,0.533,0.606754177
CC(=O)Nc1ncccn1,-20,0.168,0.198852913
CC(=O)Nc1ncccn1,-10,0.029,0.033696304
CC(=O)Nc1ncccn1,0,0,0
CC(=O)Nc1ncccn1,10,0.029,0.03370649
CC(=O)Nc1ncccn1,20,0.168,0.198852913
CC(=O)Nc1ncccn1,30,0.533,0.606757789
CC(=O)Nc1ncccn1,40,1.097,1.220943909
CC(=O)Nc1ncccn1,50,1.889,2.073500416
CC(=O)Nc1ncccn1,60,2.934,3.181816204
CC(=O)Nc1ncccn1,70,4.215,4.517346039
CC(=O)Nc1ncccn1,80,5.653,5.998071286
CC(=O)Nc1ncccn1,90,7.097,7.45152721
CC(=O)Nc1ncccn1,100,5.88,6.214185216
CC(=O)Nc1ncccn1,110,4.513,4.796445465
CC(=O)Nc1ncccn1,120,3.243,3.482740335
CC(=O)Nc1ncccn1,130,2.151,2.335883097
CC(=O)Nc1ncccn1,140,1.286,1.416198241
CC(=O)Nc1ncccn1,150,0.65,0.734014137
CC(=O)Nc1ncccn1,160,0.227,0.26658049
CC(=O)Nc1ncccn1,170,0.036,0.04355909
CC(=O)Nc1ncccn1,180,0.005,0.004487109
c1ccc(cc1)c2nccs2,-170,0,0.136827501
c1ccc(cc1)c2nccs2,-160,0.101,0.063382505
c1ccc(cc1)c2nccs2,-150,0.387,0.220854627
c1ccc(cc1)c2nccs2,-140,0.892,0.648852311
c1ccc(cc1)c2nccs2,-130,1.594,1.298661586
c1ccc(cc1)c2nccs2,-120,2.451,2.092940384
c1ccc(cc1)c2nccs2,-110,3.371,2.884612376
c1ccc(cc1)c2nccs2,-100,4.053,3.48232823
c1ccc(cc1)c2nccs2,-90,4.322,3.7123271
c1ccc(cc1)c2nccs2,-80,4.075,3.51150194
c1ccc(cc1)c2nccs2,-70,3.396,2.904641784
c1ccc(cc1)c2nccs2,-60,2.468,2.114412691
c1ccc(cc1)c2nccs2,-50,1.628,1.30585472
c1ccc(cc1)c2nccs2,-40,0.906,0.644019427
c1ccc(cc1)c2nccs2,-30,0.406,0.214082457
c1ccc(cc1)c2nccs2,-20,0.192,0.081526654
c1ccc(cc1)c2nccs2,-10,0.245,0.227752377
c1ccc(cc1)c2nccs2,0,0.319,0.364929865
c1ccc(cc1)c2nccs2,10,0.245,0.227863915
c1ccc(cc1)c2nccs2,20,0.192,0.08624433
c1ccc(cc1)c2nccs2,30,0.406,0.213486512
c1ccc(cc1)c2nccs2,40,0.906,0.646580736
c1ccc(cc1)c2nccs2,50,1.628,1.306572854
c1ccc(cc1)c2nccs2,60,2.468,2.11783269
c1ccc(cc1)c2nccs2,70,3.396,2.903271812
c1ccc(cc1)c2nccs2,80,4.075,3.507946784
c1ccc(cc1)c2nccs2,90,4.322,3.708784892
c1ccc(cc1)c2nccs2,100,4.053,3.485565507
c1ccc(cc1)c2nccs2,110,3.371,2.885711109
c1ccc(cc1)c2nccs2,120,2.451,2.092374813
c1ccc(cc1)c2nccs2,130,1.594,1.300226866
c1ccc(cc1)c2nccs2,140,0.892,0.648664496
c1ccc(cc1)c2nccs2,150,0.387,0.223962905
c1ccc(cc1)c2nccs2,160,0.101,0.061224866
c1ccc(cc1)c2nccs2,170,0,0.13816067
c1ccc(cc1)c2nccs2,180,0.235,0
c1ccnc(c1)c2ccco2,-170,2.818,2.709055348
c1ccnc(c1)c2ccco2,-160,2.922,2.981030424
c1ccnc(c1)c2ccco2,-150,3.186,3.438162534
c1ccnc(c1)c2ccco2,-140,3.634,4.05306385
c1ccnc(c1)c2ccco2,-130,4.317,4.774921551
c1ccnc(c1)c2ccco2,-120,5.232,5.547499999
c1ccnc(c1)c2ccco2,-110,6.194,6.240693787
c1ccnc(c1)c2ccco2,-100,6.997,6.681468273
c1ccnc(c1)c2ccco2,-90,7.33,6.760418896
c1ccnc(c1)c2ccco2,-80,6.922,6.342291595
c1ccnc(c1)c2ccco2,-70,5.93,5.440072334
c1ccnc(c1)c2ccco2,-60,4.672,4.295341538
c1ccnc(c1)c2ccco2,-50,3.381,3.093362423
c1ccnc(c1)c2ccco2,-40,2.215,2.005363175
c1ccnc(c1)c2ccco2,-30,1.28,1.128332424
c1ccnc(c1)c2ccco2,-20,0.59,0.499701224
c1ccnc(c1)c2ccco2,-10,0.161,0.122949012
c1ccnc(c1)c2ccco2,0,0,0
c1ccnc(c1)c2ccco2,10,0.161,0.122951518
c1ccnc(c1)c2ccco2,20,0.59,0.499701224
c1ccnc(c1)c2ccco2,30,1.28,1.128337998
c1ccnc(c1)c2ccco2,40,2.215,2.005358824
c1ccnc(c1)c2ccco2,50,3.381,3.093362423
c1ccnc(c1)c2ccco2,60,4.672,4.295341538
c1ccnc(c1)c2ccco2,70,5.93,5.440072333
c1ccnc(c1)c2ccco2,80,6.922,6.342337922
c1ccnc(c1)c2ccco2,90,7.33,6.760402504
c1ccnc(c1)c2ccco2,100,6.997,6.681451815
c1ccnc(c1)c2ccco2,110,6.194,6.240734558
c1ccnc(c1)c2ccco2,120,5.232,5.547499998
c1ccnc(c1)c2ccco2,130,4.317,4.774918338
c1ccnc(c1)c2ccco2,140,3.634,4.05306385
c1ccnc(c1)c2ccco2,150,3.186,3.438162535
c1ccnc(c1)c2ccco2,160,2.922,2.981045631
c1ccnc(c1)c2ccco2,170,2.818,2.709055348
c1ccnc(c1)c2ccco2,180,2.736,2.609161123
CC(=O)c1nccs1,-170,5.735,5.487108441
CC(=O)c1nccs1,-160,6.052,5.681071158
CC(=O)c1nccs1,-150,6.653,6.03067264
CC(=O)c1nccs1,-140,7.505,6.523728811
CC(=O)c1nccs1,-130,8.516,7.106479716
CC(=O)c1nccs1,-120,9.556,7.671958635
CC(=O)c1nccs1,-110,10.441,8.096851309
CC(=O)c1nccs1,-100,10.899,8.262960641
CC(=O)c1nccs1,-90,10.617,8.044695924
CC(=O)c1nccs1,-80,9.562,7.372128094
CC(=O)c1nccs1,-70,7.971,6.290190092
CC(=O)c1nccs1,-60,6.164,4.993503808
CC(=O)c1nccs1,-50,4.413,3.656274757
CC(=O)c1nccs1,-40,2.871,2.421060891
CC(=O)c1nccs1,-30,1.63,1.400098542
CC(=O)c1nccs1,-20,0.72,0.632407217
CC(=O)c1nccs1,-10,0.18,0.161371585
CC(=O)c1nccs1,0,0,0
CC(=O)c1nccs1,10,0.18,0.161371585
CC(=O)c1nccs1,20,0.72,0.632407217
CC(=O)c1nccs1,30,1.63,1.400098542
CC(=O)c1nccs1,40,2.871,2.421065912
CC(=O)c1nccs1,50,4.413,3.656256413
CC(=O)c1nccs1,60,6.164,4.993503808
CC(=O)c1nccs1,70,7.971,6.290190092
CC(=O)c1nccs1,80,9.562,7.372122785
CC(=O)c1nccs1,90,10.617,8.04465166
CC(=O)c1nccs1,100,10.899,8.262960641
CC(=O)c1nccs1,110,10.441,8.096851309
CC(=O)c1nccs1,120,9.556,7.671984563
CC(=O)c1nccs1,130,8.516,7.10646847
CC(=O)c1nccs1,140,7.505,6.523746367
CC(=O)c1nccs1,150,6.653,6.030695773
CC(=O)c1nccs1,160,6.052,5.68111585
CC(=O)c1nccs1,170,5.735,5.487108441
CC(=O)c1nccs1,180,5.645,5.429640989
CC(=O)c1ccccn1,-170,6.203,5.923739347
CC(=O)c1ccccn1,-160,6.345,6.008873266
CC(=O)c1ccccn1,-150,6.631,6.194518911
CC(=O)c1ccccn1,-140,7.055,6.457945976
CC(=O)c1ccccn1,-130,7.488,6.704531106
CC(=O)c1ccccn1,-120,7.917,6.920654802
CC(=O)c1ccccn1,-110,8.286,7.084567328
CC(=O)c1ccccn1,-100,8.405,7.064297735
CC(=O)c1ccccn1,-90,8.079,6.717838923
CC(=O)c1ccccn1,-80,7.239,6.030543756
CC(=O)c1ccccn1,-70,6.021,5.036394705
CC(=O)c1ccccn1,-60,4.639,3.916482655
CC(=O)c1ccccn1,-50,3.288,2.813249355
CC(=O)c1ccccn1,-40,2.121,1.842230851
CC(=O)c1ccccn1,-30,1.192,1.057200592
CC(=O)c1ccccn1,-20,0.526,0.480108551
CC(=O)c1ccccn1,-10,0.135,0.12867106
CC(=O)c1ccccn1,0,0,0
CC(=O)c1ccccn1,10,0.135,0.130300901
CC(=O)c1ccccn1,20,0.526,0.479371734
CC(=O)c1ccccn1,30,1.192,1.056229922
CC(=O)c1ccccn1,40,2.121,1.842274209
CC(=O)c1ccccn1,50,3.29,2.813698472
CC(=O)c1ccccn1,60,4.639,3.916965286
CC(=O)c1ccccn1,70,6.021,5.03664706
CC(=O)c1ccccn1,80,7.239,6.0298128
CC(=O)c1ccccn1,90,8.081,6.717704648
CC(=O)c1ccccn1,100,8.407,7.064929184
CC(=O)c1ccccn1,110,8.284,7.083178031
CC(=O)c1ccccn1,120,7.917,6.920532383
CC(=O)c1ccccn1,130,7.49,6.705869482
CC(=O)c1ccccn1,140,7.055,6.458711539
CC(=O)c1ccccn1,150,6.631,6.191615282
CC(=O)c1ccccn1,160,6.343,6.005652252
CC(=O)c1ccccn1,170,6.203,5.926173795
CC(=O)c1ccccn1,180,6.16,5.88736497
COCc1ccccn1,-170,0.1,0.095123108
COCc1ccccn1,-160,0.316,0.311823682
COCc1ccccn1,-150,0.433,0.310992468
COCc1ccccn1,-140,0.543,0.477502954
COCc1ccccn1,-130,0.693,0.67326512
COCc1ccccn1,-120,0.854,0.880965574
COCc1ccccn1,-110,1.033,1.104053819
COCc1ccccn1,-100,1.254,1.36717993
COCc1ccccn1,-90,1.551,1.685745024
COCc1ccccn1,-80,1.955,2.075415769
COCc1ccccn1,-70,2.396,2.48519513
COCc1ccccn1,-60,2.632,2.614730996
COCc1ccccn1,-50,2.791,2.752099962
COCc1ccccn1,-40,2.967,2.889467625
COCc1ccccn1,-30,3.13,3.026272554
COCc1ccccn1,-20,3.312,3.162487646
COCc1ccccn1,-10,3.538,3.277660367
COCc1ccccn1,0,3.744,3.372564418
COCc1ccccn1,10,3.54,3.277690049
COCc1ccccn1,20,3.314,3.163727276
COCc1ccccn1,30,3.13,3.025477186
COCc1ccccn1,40,2.967,2.888156745
COCc1ccccn1,50,2.791,2.753637318
COCc1ccccn1,60,2.632,2.61641052
COCc1ccccn1,70,2.396,2.485787303
COCc1ccccn1,80,1.955,2.07643977
COCc1ccccn1,90,1.551,1.685395509
COCc1ccccn1,100,1.254,1.366361987
COCc1ccccn1,110,1.033,1.104633626
COCc1ccccn1,120,0.854,0.880583665
COCc1ccccn1,130,0.693,0.672363121
COCc1ccccn1,140,0.543,0.478121077
COCc1ccccn1,150,0.433,0.311657518
COCc1ccccn1,160,0.316,0.311991196
COCc1ccccn1,170,0.1,0.094603824
COCc1ccccn1,180,0,0
CC(=O)c1ccc[nH]1,-170,5.032,4.588004625
CC(=O)c1ccc[nH]1,-160,5.589,5.086368255
CC(=O)c1ccc[nH]1,-150,6.479,5.887676632
CC(=O)c1ccc[nH]1,-140,7.672,6.94849257
CC(=O)c1ccc[nH]1,-130,9.12,8.240044024
CC(=O)c1ccc[nH]1,-120,10.757,9.694239925
CC(=O)c1ccc[nH]1,-110,12.502,11.19558367
CC(=O)c1ccc[nH]1,-100,14.215,12.51340059
CC(=O)c1ccc[nH]1,-90,14.982,13.13063347
CC(=O)c1ccc[nH]1,-80,12.569,11.47316333
CC(=O)c1ccc[nH]1,-70,9.873,9.172898846
CC(=O)c1ccc[nH]1,-60,7.303,6.843467194
CC(=O)c1ccc[nH]1,-50,5.078,4.769814755
CC(=O)c1ccc[nH]1,-40,3.242,3.048126639
CC(=O)c1ccc[nH]1,-30,1.825,1.71358179
CC(=O)c1ccc[nH]1,-20,0.826,0.773736239
CC(=O)c1ccc[nH]1,-10,0.219,0.199755611
CC(=O)c1ccc[nH]1,0,0,0
CC(=O)c1ccc[nH]1,10,0.217,0.199755612
CC(=O)c1ccc[nH]1,20,0.826,0.773736239
CC(=O)c1ccc[nH]1,30,1.825,1.713581789
CC(=O)c1ccc[nH]1,40,3.242,3.048126639
CC(=O)c1ccc[nH]1,50,5.078,4.769767516
CC(=O)c1ccc[nH]1,60,7.303,6.843436022
CC(=O)c1ccc[nH]1,70,9.873,9.172898846
CC(=O)c1ccc[nH]1,80,12.569,11.47316333
CC(=O)c1ccc[nH]1,90,14.982,13.13064414
CC(=O)c1ccc[nH]1,100,14.217,12.51339806
CC(=O)c1ccc[nH]1,110,12.5,11.19558367
CC(=O)c1ccc[nH]1,120,10.757,9.694248486
CC(=O)c1ccc[nH]1,130,9.12,8.240039647
CC(=O)c1ccc[nH]1,140,7.672,6.948482211
CC(=O)c1ccc[nH]1,150,6.479,5.887680362
CC(=O)c1ccc[nH]1,160,5.589,5.086368255
CC(=O)c1ccc[nH]1,170,5.032,4.588047113
CC(=O)c1ccc[nH]1,180,4.835,4.410437484
c1ccc(cc1)c2ncco2,-170,0.143,0.123500918
c1ccc(cc1)c2ncco2,-160,0.455,0.400596736
c1ccc(cc1)c2ncco2,-150,0.993,0.903340684
c1ccc(cc1)c2ncco2,-140,1.749,1.627976944
c1ccc(cc1)c2ncco2,-130,2.675,2.516052346
c1ccc(cc1)c2ncco2,-120,3.689,3.498427497
