mm_relative_energy,ccsd(t)_relative_energy
5.961315,0.33000016
0.0,0.2900002
3.4029431,3.91
1.3501418,1.7900002
1.9564725,0.84000015
2.6274917,3.19
0.7451275,0.70000005
1.004016,0.6200001
1.5174862,1.8600001
1.0812534,1.49
0.5544612,0.83000004
1.6584346,0.97
1.4151511,1.8100001
0.09050834,0.19000006
0.0,0.029999971
0.48526886,0.24000001
0.06788308,0.0
1.98493,1.8399997
5.0983005,5.96
0.044822015,0.0
0.46668434,0.63999987
0.7252219,0.48000002
0.33184993,0.15999985
3.5678587,3.8999999
0.0,0.10999966
4.8999085,5.46
1.8834327,2.42
4.3819633,2.18
0.3282997,0.6300001
3.701207,4.35
0.11971258,0.0
0.0,0.15999985
1.21466,0.49000025
0.0,0.0
0.8654783,0.01999998
2.834591,0.6199999
0.18371537,0.26
1.9384423,2.07
1.01608,1.1499999
2.5881636,2.6599998
1.6549965,0.44000006
0.79549825,0.0
2.7219121,1.4299998
0.0,0.3199997
0.36263192,0.009999752
1.235483,0.17000008
4.950428,4.02
3.8792293,2.78
2.38072,0.0
0.8163183,0.099999905
0.7144572,2.3200002
1.5022296,3.37
0.0,1.1500001
5.7879972,0.07999992
13.048236,0.45000005
0.14287941,0.30999994
0.16242762,0.47000027
0.34473073,0.07999992
2.676229,4.3
0.0,0.17000008
0.0046087485,0.0
1.354812,0.5799999
1.8709048,3.0900002
0.89901865,1.6000001
0.009594037,0.5700002
0.7568048,0.19999981
4.48399,4.19
0.0,0.07000017
1.2653061,0.5700002
6.114884,6.27
0.30414003,0.0
2.737653,2.04
0.0,0.47000003
2.257435,0.13999987
6.2894692,2.1100001
0.77174795,0.059999943
4.528238,1.1700001
2.9172766,0.3699999
1.5365795,0.0
8.054397,2.85
0.12000251,0.0
0.43235576,0.19999981
6.244483,7.1200004
2.1764214,2.0400004
0.83841795,0.5600004
4.184614,4.57
0.0,0.07999992
0.23983362,0.59000015
0.83536965,0.28999996
0.12723975,0.0
1.1313798,0.79999995
2.867143,1.2299999
3.162351,2.6399999
0.11905614,0.26999998
0.0,0.049999952
0.78962314,1.0999999
1.2251631,1.3299999
1.9786893,2.3799999
1.5887719,2.04
0.45297205,0.12999988
0.50658125,0.28999996
0.35899916,0.06999993
2.357141,2.81
2.1647022,2.6499999
1.0218785,1.6099997
0.12689695,0.0
2.4552548,0.48999977
0.0,0.18999958
0.7806135,0.029999733
0.13779747,0.50999975
2.3856487,3.0499997
3.366084,3.9499998
0.0,0.059999943
0.29488856,0.3800001
0.1260463,0.13999987
1.4683529,2.6699998
0.23472548,0.42000008
0.007581414,0.0
0.8280838,1.3299999
2.038466,3.9899998
3.0922432,1.4099998
0.10205437,0.0
0.18445934,0.39999986
0.88389504,0.32999992
0.0,0.099999905
1.05613,1.5
2.6605399,3.3799999
2.0242608,2.67
0.0,0.0
0.8182621,1.0
3.1214273,3.8400002
2.5828648,1.3299999
0.23003991,0.32000065
0.52366686,0.22999954
0.0,0.0
0.038463674,0.09000015
2.211324,2.7
0.24058123,0.32000017
1.7697922,1.0300001
1.7267517,2.1200001
0.97117954,1.19
0.38517284,0.21000004
4.7009487,0.95000005
0.3546229,0.0
1.5994718,0.18000007
0.06206995,0.45000005
0.92894137,1.51
2.9487383,3.47
0.0,0.1500001
2.1104658,2.7
0.90962744,1.3900001
0.0,0.1400001
2.4207425,3.13
0.16036074,0.42000008
2.0654414,0.8100002
0.04657799,0.0
0.5582867,0.1400001
1.7962139,2.45
12.288785,14.540001
0.14159389,0.29000092
7.776803,8.960001
0.79076827,0.9700012
3.8711665,1.4899998
3.6257749,3.9800005
0.898344,0.30000114
0.0,0.0
0.23559959,0.119999886
3.0399287,1.3599999
2.8044312,1.0499997
0.6879079,0.0
3.4339123,1.0999999
0.0,0.7299998
5.1862435,3.6799998
3.134084,1.5699997
5.351969,1.9699998
5.961286,4.4399996
5.7379584,4.1499996
4.5816374,2.9999998
1.7504637,0.4499998
1.2166659,0.14999962
2.8226874,0.89999986
4.0344152,2.4599998
2.1919444,0.83000016
0.049189158,0.21000004
0.0,0.0
0.3155429,0.54999995
3.183335,3.47
0.48208147,0.10000014
1.3168676,1.6500001
2.413996,2.78
0.030363949,0.17000008
2.9277205,4.0099998
3.8044739,4.95
0.20460655,0.4699998
1.47467,2.1999998
0.22517952,0.049999714
0.0,0.0
0.894533,0.46000004
1.5497721,0.49000025
0.0,0.3800001
1.0549352,0.19000006
0.5813756,0.0
6.3181195,4.6200004
2.9302168,1.6300001
0.19290689,0.01999998
4.5933833,3.18
0.5502271,0.029999733
4.7599683,1.9000001
2.010533,0.21000004
7.1376185,3.82
9.693372,5.64
1.2541403,0.0
2.758887,0.55999994
0.0,0.44000006
0.061759964,0.3599999
1.8088193,2.8
1.259637,2.1100001
1.891175,0.3900001
0.5473315,1.13
0.0,0.1400001
0.61119753,0.03999996
0.11654344,0.0
2.1983702,2.22
0.8785414,0.94000006
2.4455488,0.8000001
0.57844305,0.16000009
0.17290603,0.26999998
1.6526362,1.7
0.027220335,0.0
0.0,0.08000016
3.2800977,2.65
2.5807679,1.9399999
0.0,0.23000002
0.12686868,0.0
0.97767097,0.3499999
1.7525443,1.06
0.6774614,0.13999987
0.3799031,0.0
0.69355327,1.0699999
1.212698,0.2099998
3.7890933,0.9899999
0.0,0.06999993
1.492651,1.9699999
0.24484079,0.0
2.0676916,2.59
0.0628905,0.27999997
0.0,0.16000009
0.21772985,0.47000003
0.7918368,0.1500001
2.9971251,0.9100001
3.2400987,3.5
0.064823344,0.0
2.3909037,2.72
1.2183288,1.53
2.273569,2.4299998
0.0,0.0
0.21434008,0.3599999
0.49136645,0.119999886
0.014518241,0.12999988
0.9570187,1.1099999
2.2878282,0.7599999
1.7346691,1.9099998
1.0216647,1.3599999
0.11020333,0.35999966
0.23203658,0.099999905
2.3178637,4.04
0.0,0.0
1.7094005,2.7499998
0.42911413,0.35999966
