scan,mol_name,wb97m_energy,MACE_energy,wb97m_relative_energy,MACE_relative_energy
0.9,BenzeneBenzeneTS090,-464.8147656,-292175.9001,2.328652500006143,0.8123999999952503
0.95,BenzeneBenzeneTS095,-464.8175947,-292176.5288,0.553392250015321,0.18370000005234033
1,BenzeneBenzeneTS100,-464.8184766,-292176.6701,0,0.042400000034831464
1.05,BenzeneBenzeneTS105,-464.8184173,-292176.7125,0.03721074998452423,0
1.1,BenzeneBenzeneTS110,-464.8179588,-292176.6156,0.3249195000071836,0.09690000000409782
1.25,BenzeneBenzeneTS125,-464.8162421,-292176.1213,1.40214874999117,0.5912000000244007
1.5,BenzeneBenzeneTS150,-464.8146582,-292174.543,2.3960460000000694,2.169500000018161
2,BenzeneBenzeneTS200,-464.8138976,-292174.4671,2.873322499986415,2.2454000000143424
0.9,BenzeneCyclopentane090,-429.0942616,-269721.1178,1.1730485000202862,1.5989999999874271
0.95,BenzeneCyclopentane095,-429.0958251,-269722.3022,0.1919522500004689,0.4146000000182539
1,BenzeneCyclopentane100,-429.096131,-269722.7168,0,0
1.05,BenzeneCyclopentane105,-429.0957653,-269722.5576,0.22947675001987022,0.15919999999459833
1.1,BenzeneCyclopentane110,-429.0951162,-269722.064,0.6367870000045173,0.652799999981653
1.25,BenzeneCyclopentane125,-429.0931619,-269720.5638,1.863110250018707,2.1529999999911524
1.5,BenzeneCyclopentane150,-429.0913278,-269718.861,3.014008000016446,3.8558000000193715
2,BenzeneCyclopentane200,-429.0901538,-269718.8299,3.750693000011296,3.886899999983143
0.9,BenzeneEthene090,-311.0451555,-195518.395,0.9568747499953645,1.494200000015553
0.95,BenzeneEthene095,-311.0463828,-195519.5083,0.1867440000064846,0.3809000000183005
1,BenzeneEthene100,-311.0466804,-195519.8892,0,0
1.05,BenzeneEthene105,-311.0465379,-195519.6077,0.08941875002392408,0.28150000001187436
1.1,BenzeneEthene110,-311.0462285,-195518.899,0.28356725001884797,0.9902000000001863
1.25,BenzeneEthene125,-311.0452725,-195517.3732,0.8834572500023796,2.5160000000032596
1.5,BenzeneEthene150,-311.0444917,-195517.3647,1.3734092500209272,2.5244999999995343
2,BenzeneEthene200,-311.0441349,-195517.3647,1.5973012499978267,2.5244999999995343
0.9,BenzeneEthyneCHpi090,-309.7954284,-194732.1078,0.8754879999939646,0.394399999990128
0.95,BenzeneEthyneCHpi095,-309.7965903,-194732.1905,0.14639574999421257,0.31169999999110587
1,BenzeneEthyneCHpi100,-309.7968236,-194732.329,0,0.17319999999017455
1.05,BenzeneEthyneCHpi105,-309.7965767,-194732.5022,0.15492974998693398,0
1.1,BenzeneEthyneCHpi110,-309.7961203,-194732.4324,0.4413207499986527,0.06979999999748543
1.25,BenzeneEthyneCHpi125,-309.7946719,-194731.9533,1.350191749972538,0.5488999999943189
1.5,BenzeneEthyneCHpi150,-309.7931775,-194730.2726,2.287927749980554,2.2295999999914784
2,BenzeneEthyneCHpi200,-309.7920948,-194730.0873,2.9673220000059075,2.4148999999742955
0.9,BenzeneMeNH2NHpi090,-328.3313525,-206383.9219,0.5639342499958389,0.5715000000200234
0.95,BenzeneMeNH2NHpi095,-328.3321521,-206384.4934,0.062185249999942016,0
1,BenzeneMeNH2NHpi100,-328.3322512,-206384.4365,0,0.05689999999594875
1.05,BenzeneMeNH2NHpi105,-328.3319343,-206384.1308,0.19885474998304176,0.3625999999931082
1.1,BenzeneMeNH2NHpi110,-328.3314116,-206383.8277,0.5268489999681947,0.6657000000122935
1.25,BenzeneMeNH2NHpi125,-328.329759,-206382.742,1.5638554999681276,1.7514000000082888
1.5,BenzeneMeNH2NHpi150,-328.3280775,-206380.8896,2.6189967499793454,3.603800000011688
2,BenzeneMeNH2NHpi200,-328.3268924,-206380.646,3.3626469999708775,3.8473999999987427
0.9,BenzeneMeOHOHpi090,-348.2100966,-218879.5008,0.6313277500254344,0.9728999999933876
0.95,BenzeneMeOHOHpi095,-348.210975,-218880.3862,0.0801317500045684,0.08749999999417923
1,BenzeneMeOHOHpi100,-348.2111027,-218880.4737,0,0
1.05,BenzeneMeOHOHpi105,-348.2108028,-218880.053,0.1881872500099746,0.42069999998784624
1.1,BenzeneMeOHOHpi110,-348.2102874,-218879.498,0.511600749999559,0.9757000000099652
1.25,BenzeneMeOHOHpi125,-348.2084774,-218878.3168,1.6473757500212116,2.1569000000017695
1.5,BenzeneMeOHOHpi150,-348.2063519,-218876.5781,2.9811270000067225,3.8955999999889173
2,BenzeneMeOHOHpi200,-348.2046415,-218875.265,4.054403000029225,5.208699999988312
0.9,BenzeneNeopentane090,-430.3071379,-270484.2726,0.769754250011232,0.5658999999868684
0.95,BenzeneNeopentane095,-430.3082277,-270484.8385,0.08590475001852838,0
1,BenzeneNeopentane100,-430.3083646,-270484.786,0,0.052499999990686774
1.05,BenzeneNeopentane105,-430.308038,-270484.4606,0.2049414999962096,0.3779000000213273
1.1,BenzeneNeopentane110,-430.3075262,-270484.1093,0.5260960000128989,0.7292000000015832
1.25,BenzeneNeopentane125,-430.305998,-270483.1554,1.485041500010169,1.6831000000238419
1.5,BenzeneNeopentane150,-430.3045351,-270481.7278,2.4030112499967515,3.1107000000192784
2,BenzeneNeopentane200,-430.3035962,-270481.7272,2.9921709999931068,3.111299999989569
0.9,BenzenePeptideNHpi090,-481.1058214,-302415.8342,1.3296724999958087,1.512300000002142
0.95,BenzenePeptideNHpi095,-481.1076115,-302417.0862,0.20638474999969958,0.2602999999653548
1,BenzenePeptideNHpi100,-481.1079404,-302417.3465,0,0
1.05,BenzenePeptideNHpi105,-481.1075372,-302416.8689,0.2530079999961288,0.477599999983795
1.1,BenzenePeptideNHpi110,-481.1068077,-302416.0588,0.7107692500174778,1.2876999999862164
1.25,BenzenePeptideNHpi125,-481.104365,-302413.7843,2.2435635000283582,3.5621999999857508
1.5,BenzenePeptideNHpi150,-481.1017185,-302411.501,3.904242250008849,5.845499999995809
2,BenzenePeptideNHpi200,-481.0997222,-302410.7865,5.156920500027837,6.559999999997672
0.9,BenzenePyridinepipi090,-480.8653209,-302263.5796,1.1170755000260613,2.06339999998454
0.95,BenzenePyridinepipi095,-480.8667699,-302265.1913,0.20782800000318957,0.4516999999759719
1,BenzenePyridinepipi100,-480.8671011,-302265.643,0,0
1.05,BenzenePyridinepipi105,-480.8668612,-302265.4194,0.15053724999802398,0.22359999996842816
1.1,BenzenePyridinepipi110,-480.8663788,-302264.6437,0.4532432500042205,0.9992999999667518
1.25,BenzenePyridinepipi125,-480.8647527,-302261.7948,1.4736210000104677,3.848200000007637
1.5,BenzenePyridinepipi150,-480.8630713,-302261.5872,2.5286995000075763,4.055799999972805
2,BenzenePyridinepipi200,-480.8618791,-302261.5872,3.2768050000021276,4.055799999972805
0.9,BenzenePyridineTS090,-480.8630632,-302263.3992,2.5163377500102513,0.689200000022538
0.95,BenzenePyridineTS095,-480.8661397,-302263.9933,0.5858339999976181,0.09510000003501773
1,BenzenePyridineTS100,-480.8670733,-302264.0682,0,0.020200000028125942
1.05,BenzenePyridineTS105,-480.866969,-302264.0884,0.06544825002023913,0
1.1,BenzenePyridineTS110,-480.8664295,-302263.9545,0.40398450002157915,0.1339000000152737
1.25,BenzenePyridineTS125,-480.8645206,-302263.413,1.6018192500149553,0.6754000000073574
1.5,BenzenePyridineTS150,-480.8626142,-302261.6784,2.798085250012292,2.4100000000325963
2,BenzenePyridineTS200,-480.8616085,-302261.5587,3.4291620000169587,2.5297000000136904
0.9,BenzeneUracilpipi090,-647.5277053,-407024.6455,2.1680752499977984,3.0146999999997206
0.95,BenzeneUracilpipi095,-647.5304454,-407026.9823,0.44866250000865193,0.6779000000096858
1,BenzeneUracilpipi100,-647.5311604,-407027.6602,0,0
1.05,BenzeneUracilpipi105,-647.5308165,-407027.3805,0.2157972499759353,0.2796999999554828
1.1,BenzeneUracilpipi110,-647.5299737,-407026.5068,0.7446542499675957,1.1534000000101514
1.25,BenzeneUracilpipi125,-647.5270715,-407022.4027,2.565784749963882,5.257500000006985
1.5,BenzeneUracilpipi150,-647.5241647,-407021.2517,4.389801749967148,6.40849999996135
2,BenzeneUracilpipi200,-647.5223463,-407021.2517,5.530847749996894,6.40849999996135
0.9,BenzeneWaterOHpi090,-308.8918359,-194164.4014,0.3400422500189393,0.2950999999884516
0.95,BenzeneWaterOHpi095,-308.8923778,-194164.6965,0,0
1,BenzeneWaterOHpi100,-308.8923465,-194164.5291,0.019640750028884213,0.1673999999766238
1.05,BenzeneWaterOHpi105,-308.8920149,-194164.2376,0.22771975001717237,0.4588999999978114
1.1,BenzeneWaterOHpi110,-308.8915461,-194164.0241,0.5218917499949782,0.6723999999812804
1.25,BenzeneWaterOHpi125,-308.8900758,-194163.2595,1.4445050000269077,1.437000000005355
1.5,BenzeneWaterOHpi150,-308.888465,-194161.7,2.4552820000145914,2.996499999979278
2,BenzeneWaterOHpi200,-308.8871978,-194161.0478,3.250449999997329,3.64869999999064
0.9,CyclopentaneCyclopentane090,-393.3703294,-247265.9687,0.49886249998891685,0.6106999999901745
0.95,CyclopentaneCyclopentane095,-393.3711244,-247266.5794,0,0
1.05,CyclopentaneCyclopentane105,-393.3707556,-247266.5298,0.2314219999935574,0.04959999999846332
1.1,CyclopentaneCyclopentane110,-393.3701981,-247266.0833,0.5812532500020495,0.4960999999893829
1.25,CyclopentaneCyclopentane125,-393.3686566,-247264.7545,1.5485444999853826,1.824899999977788
1.5,CyclopentaneCyclopentane150,-393.3671982,-247263.5403,2.4636904999790943,3.039099999994505
2,CyclopentaneCyclopentane200,-393.3662173,-247263.1978,3.079205249980248,3.381599999993341
0.9,CyclopentaneNeopentane090,-394.5829177,-248028.9661,0.508651500014139,0.2492000000202097
0.95,CyclopentaneNeopentane095,-394.5837084,-248029.2153,0.012487250025543517,0
1,CyclopentaneNeopentane100,-394.5837283,-248029.073,0,0.14230000000679865
1.05,CyclopentaneNeopentane105,-394.5834101,-248028.7364,0.19967050002378528,0.47890000001643784
1.1,CyclopentaneNeopentane110,-394.5829734,-248028.3698,0.47369975000250975,0.8455000000249129
1.25,CyclopentaneNeopentane125,-394.5817249,-248027.4177,1.2571335000220074,1.7976000000198837
1.5,CyclopentaneNeopentane150,-394.5805013,-248026.3478,2.024942500023883,2.867500000022119
2,CyclopentaneNeopentane200,-394.5796546,-248026.1075,2.556246749995097,3.107799999997951
0.9,EthenePentane090,-276.531728,-173822.948,0.20356100000682886,0.2968999999866355
0.95,EthenePentane095,-276.5320524,-173823.2449,0,0
1,EthenePentane100,-276.5319271,-173823.2158,0.07862574998696914,0.02909999998519197
1.05,EthenePentane105,-276.5316022,-173823.0126,0.28250049999300586,0.2323000000033062
1.1,EthenePentane110,-276.5312104,-173822.7296,0.5283549999857939,0.5152999999991152
1.25,EthenePentane125,-276.5301753,-173822.0576,1.1778802500009533,1.1872999999905005
1.5,EthenePentane150,-276.529186,-173821.4143,1.7986660000102006,1.830599999986589
2,EthenePentane200,-276.5285213,-173821.3097,2.2157652499844005,1.9351999999780674
0.9,EthyneAcOHOHpi090,-306.6366276,-192746.8107,0.5601064999912353,0.8132000000041444
0.95,EthyneAcOHOHpi095,-306.6374255,-192747.4778,0.059424249985511324,0.146100000012666
1,EthyneAcOHOHpi100,-306.6375202,-192747.6239,0,0
1.05,EthyneAcOHOHpi105,-306.6371984,-192747.3928,0.2019294999966803,0.23110000000451691
1.1,EthyneAcOHOHpi110,-306.6366449,-192746.9487,0.5492507499758403,0.675199999997858
1.25,EthyneAcOHOHpi125,-306.6346337,-192745.4172,1.8112787499926242,2.2067000000097323
1.5,EthyneAcOHOHpi150,-306.6321092,-192743.7683,3.3954024999880517,3.855600000009872
2,EthyneAcOHOHpi200,-306.6300952,-192742.0954,4.659187499971864,5.528500000014901
0.9,EthyneEthyneTS090,-154.7718923,-97287.23828,0.2796140000038605,0.2810800000006566
0.95,EthyneEthyneTS095,-154.7722909,-97287.45621,0.029492499996877086,0.06315000000176951
1,EthyneEthyneTS100,-154.7723379,-97287.51936,0,0
1.05,EthyneEthyneTS105,-154.7721935,-97287.43822,0.09061100000664624,0.0811400000093272
1.1,EthyneEthyneTS110,-154.7719699,-97287.25458,0.2309200000055256,0.26478000001225155
1.25,EthyneEthyneTS125,-154.7712493,-97286.54121,0.6830965000017386,0.9781500000099186
1.5,EthyneEthyneTS150,-154.77045,-97285.88224,1.1846572499909769,1.6371199999994133
2,EthyneEthyneTS200,-154.7698658,-97285.77433,1.5512427500035386,1.7450300000054995
0.9,EthynePentane090,-275.2781921,-173035.4004,0.46805224998109907,0.4919999999983702
0.95,EthynePentane095,-275.2788698,-173035.8578,0.042795499991825636,0.03460000001359731
1,EthynePentane100,-275.278938,-173035.8924,0,0
1.05,EthynePentane105,-275.2787236,-173035.6616,0.134536000002754,0.2308000000193715
1.1,EthynePentane110,-275.2784092,-173035.3215,0.3318219999897565,0.5709000000206288
1.25,EthynePentane125,-275.2774802,-173034.4561,0.9147694999803946,1.4363000000012107
1.5,EthynePentane150,-275.2765956,-173034.0558,1.4698559999843042,1.8366000000096392
2,EthynePentane200,-275.2760202,-173034.0558,1.8309194999858391,1.8366000000096392
0.9,EthyneWaterCHO090,-153.8685339,-96719.63715,0.3209035000137561,0.033600000009755604
0.95,EthyneWaterCHO095,-153.868974,-96719.67075,0.04474075000118205,0
1,EthyneWaterCHO100,-153.8690453,-96719.51815,0,0.15260000000125729
1.05,EthyneWaterCHO105,-153.8688995,-96719.35058,0.09148950000799516,0.32017000000632834
1.1,EthyneWaterCHO110,-153.8686362,-96719.21206,0.25671025000818304,0.45868999999947846
1.25,EthyneWaterCHO125,-153.8676617,-96718.67566,0.8682089999980747,0.9950900000112597
1.5,EthyneWaterCHO150,-153.866385,-96717.62194,1.6693382500014309,2.0488100000075065
2,EthyneWaterCHO200,-153.8652313,-96716.73452,2.3932850000034733,2.936230000006617
0.9,MeNH2MeNH2090,-191.845285,-120590.7126,0.4634715000033651,0.3748000000050524
0.95,MeNH2MeNH2095,-191.8459362,-120591.0497,0.05484349998994276,0.03770000000076834
1,MeNH2MeNH2100,-191.8460236,-120591.0874,0,0
1.05,MeNH2MeNH2105,-191.8457746,-120590.9322,0.15624749999787468,0.15520000000833534
1.1,MeNH2MeNH2110,-191.8453428,-120590.6377,0.42720199999862984,0.4496999999973923
1.25,MeNH2MeNH2125,-191.8437457,-120589.467,1.4293822499973174,1.6203999999997905
1.5,MeNH2MeNH2150,-191.841331,-120588.061,2.944606499999054,3.026400000002468
2,MeNH2MeNH2200,-191.8398255,-120586.8676,3.889307750003752,4.219800000006217
0.9,MeNH2MeOH090,-211.721074,-133084.3574,0.23437125001464665,0.3787000000011176
0.95,MeNH2MeOH095,-211.7214475,-133084.6666,0,0.06950000001234002
1,MeNH2MeOH100,-211.7214442,-133084.7361,0.002070750001905708,0
1.05,MeNH2MeOH105,-211.7212266,-133084.6333,0.13861475001029078,0.10280000002239831
1.1,MeNH2MeOH110,-211.720898,-133084.3859,0.3448112500033318,0.35020000001532026
1.25,MeNH2MeOH125,-211.7197665,-133083.3561,1.05482750001201,1.3800000000046566
1.5,MeNH2MeOH150,-211.7183695,-133082.4502,1.9314450000102568,2.2859000000171363
2,MeNH2MeOH200,-211.7172129,-133081.5298,2.6572115000112717,3.206300000019837
0.9,MeNH2Peptide090,-344.6196207,-216622.0625,0.48712825002567683,0.3667999999888707
0.95,MeNH2Peptide095,-344.6203087,-216622.4293,0.05540825000991845,0
1,MeNH2Peptide100,-344.620397,-216622.4277,0,0.0015999999886844307
1.05,MeNH2Peptide105,-344.6201205,-216622.2446,0.17350375002564533,0.18469999998342246
1.1,MeNH2Peptide110,-344.6196283,-216621.9544,0.4823592500234497,0.474900000001071
1.25,MeNH2Peptide125,-344.6167813,-216619.9741,2.2688517500073146,2.455199999996694
1.5,MeNH2Peptide150,-344.6138593,-216617.9797,4.102406750015035,4.4495999999926426
2,MeNH2Peptide200,-344.6122806,-216617.105,5.0930410000036375,5.324299999978393
0.9,MeNH2Pyridine090,-344.3797045,-216470.8984,0.5393362499937382,1.054199999984121
0.95,MeNH2Pyridine095,-344.380422,-216471.5321,0.08910499998904697,0.42049999997834675
1,MeNH2Pyridine100,-344.380564,-216471.8484,0,0.10420000000158325
1.05,MeNH2Pyridine105,-344.3803661,-216471.9526,0.12418224999322547,0
1.1,MeNH2Pyridine110,-344.3799701,-216471.8394,0.37267225000789495,0.11319999999250285
1.25,MeNH2Pyridine125,-344.3784608,-216470.6721,1.3197579999780373,1.2804999999934807
1.5,MeNH2Pyridine150,-344.3765116,-216468.8243,2.542880999986039,3.1282999999821186
2,MeNH2Pyridine200,-344.3748745,-216467.7616,3.5701612500105284,4.190999999991618
0.9,MeNH2Water090,-172.4101104,-108374.6179,0.5691424999898231,0.47449999999662396
0.95,MeNH2Water095,-172.4109058,-108375.0924,0.07002899999797307,0
1,MeNH2Water100,-172.4110174,-108375.0544,0,0.03800000000046566
1.05,MeNH2Water105,-172.4106924,-108374.7599,0.20393750000231137,0.3324999999895226
1.1,MeNH2Water110,-172.4101044,-108374.2912,0.572907499998152,0.8011999999871477
1.25,MeNH2Water125,-172.4077638,-108372.4992,2.0416339999960087,2.5931999999884283
1.5,MeNH2Water150,-172.4043593,-108370.2374,4.177957749988366,4.8549999999959255
2,MeNH2Water200,-172.4011652,-108367.9837,6.182255499989466,7.108699999997043
0.9,MeOHMeNH2090,-211.727549,-133088.2949,0.6103064999893348,0.6371999999973923
0.95,MeOHMeNH2095,-211.7283855,-133088.8386,0.08540274999482733,0.09350000001722947
1,MeOHMeNH2100,-211.7285216,-133088.9321,0,0
1.05,MeOHMeNH2105,-211.7282069,-133088.8136,0.19747424999366103,0.1185000000114087
1.1,MeOHMeNH2110,-211.7276186,-133088.5386,0.5666324999961603,0.39350000000558794
1.25,MeOHMeNH2125,-211.7252404,-133087.0806,2.0589530000022194,1.8515000000188593
1.5,MeOHMeNH2150,-211.7217081,-133084.7175,4.2754712499954195,4.214600000006612
2,MeOHMeNH2200,-211.7183294,-133082.1292,6.395605500003683,6.802900000009686
0.9,MeOHMeOH090,-231.6020419,-145580.784,0.52666075001504,0.5658999999868684
0.95,MeOHMeOH095,-231.6027559,-145581.2464,0.07862575000480376,0.10349999999743886
1,MeOHMeOH100,-231.6028812,-145581.3499,0,0
1.05,MeOHMeOH105,-231.6026391,-145581.2766,0.15191775000523933,0.07329999998910353
1.1,MeOHMeOH110,-231.6021831,-145581.0696,0.4380577500140248,0.2803000000130851
1.25,MeOHMeOH125,-231.6003829,-145579.8641,1.5676832500084004,1.4857999999949243
1.5,MeOHMeOH150,-231.597823,-145578.2707,3.174020500004815,3.079200000007404
2,MeOHMeOH200,-231.5954213,-145576.7826,4.681087250009313,4.567299999995157
0.9,MeOHPeptide090,-364.5008281,-229119.2196,0.623546750023678,0.6741999999794643
0.95,MeOHPeptide095,-364.5016764,-229119.8131,0.09123850000506195,0.0806999999913387
1,MeOHPeptide100,-364.5018218,-229119.8938,0,0
1.05,MeOHPeptide105,-364.5015122,-229119.644,0.19427400002314243,0.2497999999905005
1.1,MeOHPeptide110,-364.5009235,-229119.1962,0.5636832500107403,0.6975999999849591
1.25,MeOHPeptide125,-364.4985161,-229117.4089,2.0743267499990736,2.4848999999812804
1.5,MeOHPeptide150,-364.4944039,-229114.8217,4.654732250004514,5.072099999990314
2,MeOHPeptide200,-364.4902845,-229111.5536,7.239655750027083,8.340199999976903
0.9,MeOHPyridine090,-364.2619274,-228969.5102,0.6594397499972615,0.31010000000242144
0.95,MeOHPyridine095,-364.2628012,-228969.8203,0.1111302499833755,0
1,MeOHPyridine100,-364.2629783,-228969.7406,0,0.07970000000204891
1.05,MeOHPyridine105,-364.2627068,-228969.5259,0.1703662499978975,0.2943999999843072
1.1,MeOHPyridine110,-364.2621592,-228969.1767,0.5139852500006725,0.6435999999812339
1.25,MeOHPyridine125,-364.2598847,-228967.6377,1.9412339999998096,2.182600000000093
1.5,MeOHPyridine150,-364.2564732,-228965.3001,4.081950249981077,4.520199999999022
2,MeOHPyridine200,-364.2532003,-228962.8963,6.135694999989312,6.923999999999069
0.9,MeOHWater090,-192.2837943,-120866.2624,0.39162274998858493,0.3259999999863794
0.95,MeOHWater095,-192.2844184,-120866.5884,0,0
1.05,MeOHWater105,-192.2842928,-120866.4733,0.0788139999936277,0.11509999999543652
1.1,MeOHWater110,-192.2838835,-120866.2348,0.33564974999436004,0.3535999999876367
1.25,MeOHWater125,-192.2823031,-120865.1875,1.3273507499909698,1.4008999999932712
1.5,MeOHWater150,-192.2801067,-120864.0131,2.705591749992564,2.575299999996787
2,MeOHWater200,-192.2780516,-120862.5894,3.9951669999968686,3.9989999999961583
0.9,NeopentaneNeopentane090,-395.7956851,-248791.3595,0.18034349999410892,0
0.95,NeopentaneNeopentane095,-395.7959725,-248791.3132,0,0.04629999998724088
1,NeopentaneNeopentane100,-395.7958702,-248791.1068,0.06419324998773845,0.25269999998272397
1.05,NeopentaneNeopentane105,-395.7955432,-248790.7848,0.2693857500047159,0.5746999999973923
1.1,NeopentaneNeopentane110,-395.7952817,-248790.4368,0.43347700001845624,0.9226999999955297
1.25,NeopentaneNeopentane125,-395.794463,-248789.334,0.9472112499983609,2.025499999988824
1.5,NeopentaneNeopentane150,-395.7935265,-248789.1968,1.5348650000127861,2.1626999999862164
2,NeopentaneNeopentane200,-395.7929852,-248788.9898,1.8745307500184083,2.369699999981094
0.9,NeopentanePentane090,-395.7914601,-248788.1491,0.47238199999156905,0.5341999999945983
0.95,NeopentanePentane095,-395.7922129,-248788.6833,0,0
1,NeopentanePentane100,-395.7921565,-248788.6357,0.03539100000338635,0.047599999990779907
1.05,NeopentanePentane105,-395.7917634,-248788.3308,0.2820612500012487,0.3525000000081491
1.1,NeopentanePentane110,-395.7912603,-248787.9096,0.5977565000031859,0.7736999999906402
1.25,NeopentanePentane125,-395.7899026,-248786.6746,1.4497132499852228,2.008700000005774
1.5,NeopentanePentane150,-395.7886232,-248785.9998,2.2525367499771676,2.683500000013737
2,NeopentanePentane200,-395.787761,-248785.7004,2.7935672499951636,2.982900000002701
