ccsd(t)_relative_energy,mm_relative_energy
0.4699998,0.18812446
2.1999998,1.4523256
0.049999714,0.25308093
0,0
0.46000004,0.98041344
4.5299997,5.5057287
9.88,10.325872
1.6399994,1.0693828
15.5,15.05046
0.29999924,0
0.37000084,0.8350268
0,0.0966424
1.1499996,1.8947016
0.059999943,0.010684911
0.30999994,2.238674
1.06,0.5948787
0.049999952,0.78462505
0.16999996,0
0,0.20115295
1.38,0.8416345
0.59,0.24768034
0.3800001,0.11099106
0.17000008,0
2.73,2.4069903
0.20000005,1.2424037
0,0.36202243
2.1200001,1.7057602
0.01999998,0.03885207
1.1100001,0.7209961
4.02,4.6619267
0.09000015,0.1012516
1.9200001,2.915379
0,0.45476267
0.6199999,0
0.52,1.4473435
6.07,6.3297625
0.17000008,0.93290234
1.3599999,2.90552
0.35999966,0
0.099999905,1.1692508
4.04,5.60322
0,0.27675283
2.7499998,4.309738
0.35999966,1.6435704
0,0
1.26,1.2178032
0.35000014,0.35573566
0.089999914,0.1022741
0.52,0.6338032
2.47,2.341973
0.120000124,0.12042054
3.48,3.352561
0.83000016,2.472572
0.21000004,0
0,0.000991952
0.54999995,0.23812687
3.47,3.0216906
0.10000014,0.5778851
1.6500001,1.205076
2.78,2.2839553
0.6199999,0.6429528
0.23999977,0.28410494
0.4499998,0.37110683
0,0.03180082
4.25,3.614457
2.0900002,1.8972782
0.019999504,0
6.64,5.600704
3.88,3.7184496
3.1100001,2.7590494
0.59000015,0.22087713
0,0.16388363
0.16000009,1.2236897
1.8400002,1.3809215
1.0800002,4.295372
0.21000004,0
15.34,12.73
0.29999924,0.85471267
1.5900002,3.7031472
0.34000015,0.1580705
4.3499994,3.8302484
1.0799999,0.84590185
9.63,8.205983
0,0
0.07000005,0.043526005
0,0
0.77,0.8585533
0.23000002,0.22210293
1.33,1.5051069
1.65,1.9056495
0.62,1.4354998
0.120000005,0.3099021
0.059999943,0.05652304
0.3800001,1.3045284
0.13999987,0.8340932
2.6699998,4.127894
0.42000008,0
0,0.39484257
1.3299999,2.606936
3.9899998,5.6054726
0.3599999,2.388402
1.3900001,0.7403902
0,0.15537727
0.47000003,0.08338781
3.24,2.3995817
0.00999999,0.7936
2.47,1.6624517
0.19000006,0
0.5700002,0
0.19999981,1.3818728
4.19,5.352325
0.07000017,0.30017722
0.5700002,1.9757222
6.27,6.970792
0,0.8009116
2.04,3.5645385
0.44000006,1.7107127
0,0.73333305
1.4299998,2.9977825
0.3199997,0
0.009999752,0.2918956
0.17000008,1.2255383
4.02,5.7644744
2.78,4.4303603
0.95000005,5.4393406
0,0.46604976
0.18000007,1.9224908
0.45000005,0.005477618
1.51,0.82587314
3.47,2.8665304
0.1500001,0
2.7,2.0122771
0.119999886,0.38095888
1.3599999,5.4177437
1.0499997,5.2463365
0,0.99631387
1.0999999,6.3133254
0.7299998,0
3.6799998,7.614143
1.5699997,4.1178727
1.9699998,8.850876
4.4399996,8.453023
4.1499996,7.5068207
2.9999998,5.969435
0.4499998,2.3631566
0.14999962,1.6812422
0.89999986,5.404484
2.4599998,6.3970685
1.6099997,0.9158928
0,0.20203003
0.48999977,2.8453255
0.18999958,0
0.029999733,0.9740205
0.50999975,0.09354255
3.0499997,2.2381232
3.9499998,3.1798787
1.3900001,0.8297461
0.1400001,0
3.13,2.4301589
0.42000008,0.10146358
0.8100002,2.9262516
0,0.17211829
0.1400001,0.9378179
2.45,1.7618895
0,0.1276694
0.059999943,0
3.7600002,3.492127
0.45000005,0.16364066
2.8400002,2.7635233
0.4000001,0.69824487
0.13999987,0.3887273
1.3600001,1.5919594
0.32000005,0.12247236
1.5,1.0891206
0.13,0.006431278
1.87,1.4389534
0.9,0.58067405
0.33000004,1.1380227
0,0
0.01999998,0.26313993
1.8399997,3.1227348
5.96,6.8838234
0,0.36447313
0.63999987,0.028617091
0.48000002,1.4797009
0.15999985,0.8958605
3.8999999,5.0515985
0.10999966,0
0,2.0738647
0.099999905,0.67366683
2.3200002,0.68109006
3.37,1.3996937
1.1500001,0
0.07999992,5.139157
0.45000005,11.711
0.30999994,0.08670464
1.49,0.6280279
0.83000004,0.24846944
0.97,2.9117699
1.8100001,0.84147817
0.19000006,0
0.029999971,0.056280524
0.24000001,1.115443
0,0.33795848
1.0699999,0.67079765
0.2099998,1.5870543
0.9899999,4.7444744
0.06999993,0
1.9699999,1.5491229
0,0.36366445
2.59,2.1814916
0.27999997,0.024468761
6.2799997,6.2400503
2.94,2.246728
5.0299997,4.609405
3.07,10.396214
0.63999987,3.1413667
0.23000002,0
0,0.56856364
0.84000015,0.287141
0.24000025,0
2.4,1.694269
1.0100002,4.1721215
0,0.22154814
4.63,4.142706
0.1500001,1.3169259
3.8600001,3.2140417
0.7600002,0.25591636
1.28,1.8906171
0,0.19080994
0.1400001,0
0.72,0.0835975
0.37000012,0.90126926
2.29,2.8727255
0.11000013,0.5239285
2.97,3.5886605
0.029999733,0.14332843
1.9000001,2.8747947
0.21000004,0.98772407
3.82,4.4901085
5.64,6.020624
0,0.5186743
0.55999994,1.4880655
0.44000006,0
1.42,0.6149903
1.24,0.4961566
0.14999998,0
0.71999997,0.21865435
1.15,2.6463332
0,0.26535267
0.00999999,0.030896394
0.27999997,0.9563641
