mol_id,conf_id,scan,b3lyp_relative_energy,wb97m_relative_energy,MACE_relative_energy
5,7,-75,1.59375,1.135273,2.6659
5,8,-60,0.84375,0.52208,1.8305
5,9,-45,0.25,0.13911675,1.0724
5,10,-30,0,0.01838575,0.5302
5,11,-15,0.03125,0.01738175,0.1829
5,12,0,0.09375,0,0
5,13,15,0.03125,0.01650325,0.1821
5,14,30,0,0.01838575,0.5302
5,15,45,0.25,0.13773625,1.0705
5,16,60,0.84375,0.52208,1.8305
5,17,75,1.59375,1.13533575,2.6644
5,18,90,2.375,1.816738,3.3191
5,19,105,3.09375,2.4360805,3.5777
5,20,120,3.625,2.97184,3.7078
5,21,135,4.0625,3.42972675,3.8357
5,22,150,4.3125,3.60831325,3.498
5,23,165,4.34375,3.581017,2.9772
5,24,180,4.28125,3.4772285,2.8154
6,1,-165,0.3125,1.074029,0.8933
6,2,-150,0,0.59631325,0.7917
6,3,-135,0.0625,1.46364375,2.2141
6,4,-120,1.4375,1.42762525,1.709
6,5,-105,2.6875,2.35795675,2.4874
6,6,-90,1.9375,1.93765725,2.2898
6,7,-75,1.75,1.39599925,1.8578
6,8,-60,1.3125,0.68272,1.1585
6,9,-45,0.6875,0.16697775,0.5236
6,10,-30,0.3125,0.00094125,0.0687
6,11,-15,0.375,0.310989,0
6,12,0,0.875,0.94269325,0.3977
6,13,15,0.375,0.31105175,0.0003
6,14,30,0.3125,0,0.0679
6,15,45,0.6875,0.1662875,0.5228
6,16,60,1.3125,0.68366125,1.1604
6,17,75,1.75,1.396062,1.8576
6,18,90,1.9375,1.9300645,2.284
6,19,105,2.6875,2.3592745,2.4882
6,20,120,1.4375,1.43402575,1.7194
6,21,135,0.4375,0.78481425,1.1267
6,22,150,0,0.59417975,0.791
6,23,165,0.3125,1.07409175,0.892
6,24,180,1.125,1.9147535,1.3217
7,1,-165,4.28125,4.12148275,3.6278
7,2,-150,5.25,4.87159625,4.4349
7,3,-135,6.21875,5.65797925,5.3103
7,4,-120,6.375,5.76547,5.513
7,5,-105,5.34375,4.78399725,4.8191
7,6,-90,3.40625,3.00026575,3.2604
7,7,-75,1.375,1.1474465,1.4488
7,8,-60,0.03125,0,0.1099
7,9,-45,0,0.0681465,0
7,10,-30,1.25,1.28455525,1.1109
7,11,-15,2.75,3.0896845,2.6671
7,12,0,3.53125,4.245163,3.6185
7,13,15,3.25,3.34225325,3.156
7,14,30,1.71875,1.58086075,1.5491
7,15,45,0.5625,0.52465275,0.364
7,16,60,0.59375,0.59945075,0.4752
7,17,75,2.03125,1.87076575,1.8414
7,18,90,4.15625,3.7337505,3.5938
7,19,105,5.75,5.22663575,5.0401
7,20,120,6.4375,5.80531625,5.6264
7,21,135,6.625,5.907536,5.4312
7,22,150,5.59375,5.04930425,4.5259
7,23,165,4.71875,4.517749,3.865
7,24,180,3.75,3.7089015,3.3812
8,1,-165,0.5625,0.620974,0.7641
8,2,-150,2.09375,2.11197675,2.3977
8,3,-135,3.875,3.93649575,4.3845
8,4,-120,5.65625,5.4935115,6.1492
8,5,-105,7.25,6.88995,7.6021
8,6,-90,8.3125,7.83992225,8.5048
8,7,-75,8.59375,8.1169635,8.5961
8,8,-60,8.0625,7.6418205,7.7931
8,9,-45,6.84375,6.39014625,6.4456
8,10,-30,5.53125,5.00387325,5.0221
8,11,-15,4.625,4.05722675,4.0991
8,12,0,4.46875,3.794116,4.101
8,13,15,4.625,4.056411,4.0986
8,14,30,5.53125,5.014227,5.0316
8,15,45,6.84375,6.3903345,6.4456
8,16,60,8.0625,7.63987525,7.7916
8,17,75,8.59375,8.113826,8.5926
8,18,90,8.3125,7.840487,8.5054
8,19,105,7.25,6.89013825,7.6021
8,20,120,5.65625,5.4932605,6.1483
8,21,135,3.875,3.933923,4.3805
8,22,150,2.0625,2.120448,2.3797
8,23,165,0.5625,0.56029475,0.6255
8,24,180,0,0,0
9,1,-165,0.375,1.554694,1.7076
9,2,-150,0.21875,0.79121475,0.5688
9,3,-135,0.03125,0.27013875,0.1537
9,4,-120,0.03125,0.04574475,0.0232
9,5,-105,0.0625,0,0.0009
9,6,-90,0.09375,0.01938975,0
9,7,-75,0.0625,0.01562475,0.0055
9,8,-60,0,0.10334925,0.0605
9,9,-45,0.09375,0.41722475,0.2504
9,10,-30,0.28125,1.01836975,0.8369
9,11,-15,0.375,1.617695,1.8199
9,12,0,0.375,1.7495955,2.0417
9,13,15,0.375,1.617695,1.8186
9,14,30,0.28125,1.01849525,0.8369
9,15,45,0.09375,0.41709925,0.2504
9,16,60,0,0.10322375,0.0605
9,17,75,0.0625,0.01989175,0.011
9,18,90,0.09375,0.0202055,0.0006
9,19,105,0.0625,0,0.0009
9,20,120,0.03125,0.0458075,0.0232
9,21,135,0.03125,0.27013875,0.1537
9,22,150,0.21875,0.79108925,0.5688
9,23,165,0.375,1.554694,1.7076
9,24,180,0.375,1.749972,2.042
10,1,-165,0.46875,1.080053,0.2853
10,2,-150,1.0625,1.809961,1.2438
10,3,-135,1.6875,2.3103295,1.8732
10,4,-120,1.59375,2.67057725,2.4816
10,5,-105,1.03125,2.024566,1.9004
10,6,-90,0.4375,1.01284775,0.9067
10,7,-75,0.03125,0.1319005,0.0746
10,8,-60,0.375,0,0
10,9,-45,1.4375,0.95938475,0.9169
10,10,-30,2.75,2.34942275,2.3019
10,11,-15,4,3.53765675,3.4165
10,12,0,4.59375,4.1147685,4.0056
10,13,15,4,3.5362135,3.4157
10,14,30,2.78125,2.34666175,2.2993
10,15,45,1.4375,0.9602005,0.9174
10,16,60,0.375,0.000502,0.0007
10,17,75,0.03125,0.13321825,0.0769
10,18,90,0.4375,1.01874625,0.9174
10,19,105,1.03125,2.02550725,1.9042
10,20,120,1.5625,2.662357,2.4743
10,21,135,1.6875,2.308949,1.8558
10,22,150,1.0625,1.8048155,1.2759
10,23,165,0.625,1.10985925,0.2968
10,24,180,0,0.8211465,0.1571
11,1,-165,0.125,0.31305975,0.2387
11,2,-150,0,0,0.003
11,3,-135,0.46875,0.2385755,0.4063
11,4,-120,1.34375,0.86212225,1.1712
11,5,-105,2.21875,1.5437755,1.9922
11,6,-90,2.625,1.88595125,2.442
11,7,-75,2.15625,1.59491675,1.9931
11,8,-60,1.25,0.899082,1.1519
11,9,-45,0.375,0.23939125,0.3591
11,10,-30,0,0.0161895,0.0011
11,11,-15,0.1875,0.38359075,0.3173
11,12,0,0.875,1.17474275,1.1077
11,13,15,0.1875,0.3836535,0.3173
11,14,30,0,0.0154365,0
11,15,45,0.375,0.23989325,0.3593
11,16,60,1.25,0.89989775,1.1519
11,17,75,2.15625,1.59855625,1.9969
11,18,90,2.625,1.88469625,2.442
11,19,105,2.21875,1.54157925,1.9903
11,20,120,1.34375,0.86274975,1.1701
11,21,135,0.46875,0.235438,0.4027
11,22,150,0,0.00332575,0.0067
11,23,165,0.125,0.3171385,0.2422
11,24,180,0.75,1.0786725,0.9948
12,1,-165,4.375,5.28675025,4.7866
12,2,-150,1.96875,3.40676025,3.13
12,3,-135,0.9375,2.28692375,2.3953
12,4,-120,0.25,1.38796725,1.8417
12,5,-105,0,0.52314675,1.0958
12,6,-90,0.1875,0,0.001
12,7,-75,1.53125,2.723099,1.6521
12,8,-60,3.0625,4.34399425,3.0388
12,9,-45,4.25,5.363117,4.0814
12,10,-30,6.40625,6.6950485,6.5454
12,11,-15,6.09375,8.2640495,7.9263
12,12,0,6.09375,8.23148225,7.8482
12,13,15,5.71875,7.89376175,7.3466
12,14,30,6.40625,6.69937825,6.5488
12,15,45,4.25,5.37309425,4.0874
12,16,60,3.0625,4.34775925,3.0426
12,17,75,1.53125,2.72491875,1.6539
12,18,90,0.1875,6.27E-05,0
12,19,105,0,0.52314675,1.0958
12,20,120,0.25,1.384767,1.8367
12,21,135,0.9375,2.28554325,2.3945
12,22,150,1.96875,3.39985775,3.1248
12,23,165,4.375,5.28800525,4.7863
12,24,180,5.3125,6.1988215,5.6966
13,1,-165,2.21875,2.1966265,1.2064
13,2,-150,1.5,1.5314765,0.6631
13,3,-135,1.09375,1.08683,0.1897
13,4,-120,1.15625,1.10082325,0
13,5,-105,1.75,1.6007525,0.2174
13,6,-90,2.65625,2.435202,0.8199
13,7,-75,3.59375,3.3037875,1.6144
13,8,-60,4,3.695724,2.2051
13,9,-45,3.46875,3.22014175,2.1548
13,10,-30,2.28125,2.0992385,1.447
13,11,-15,1.25,1.07446825,0.688
13,12,0,0,0,0.124
13,13,15,1.15625,0.6015215,0.4722
13,14,30,2.0625,2.09892475,1.3927
13,15,45,3.125,3.18161325,1.9979
13,16,60,3.65625,3.6795345,2.069
13,17,75,3.375,3.31527075,1.6115
13,18,90,2.625,2.492681,0.9577
13,19,105,1.84375,1.72844875,0.4043
13,20,120,1.40625,1.3013095,0.1534
13,21,135,1.375,1.3389595,0.287
13,22,150,1.8125,1.78931625,0.7562
13,23,165,2.4375,2.37577775,1.3066
13,24,180,2.65625,2.59979525,1.5372
14,1,-165,1.5625,1.199278,1.057
14,2,-150,2.125,1.5269585,1.6321
14,3,-135,3.1875,2.257996,2.5582
14,4,-120,4.625,3.3502225,3.6628
14,5,-105,6.0625,4.4091915,4.5482
14,6,-90,6.75,4.891488,4.8959
14,7,-75,6.1875,4.5128545,4.6324
14,8,-60,4.6875,3.44240225,3.7488
14,9,-45,2.875,2.11084725,2.4911
14,10,-30,1.375,0.972625,1.2367
14,11,-15,0.375,0.252506,0.3301
14,12,0,0,0,0
14,13,15,0.375,0.250498,0.3281
14,14,30,1.375,0.97306425,1.238
14,15,45,2.875,2.1148005,2.4958
14,16,60,4.6875,3.44566525,3.7536
14,17,75,6.1875,4.512227,4.6334
14,18,90,6.75,4.89067225,4.8956
14,19,105,6.0625,4.4091915,4.5482
14,20,120,4.625,3.350348,3.6628
14,21,135,3.1875,2.2593765,2.5602
14,22,150,2.125,1.5269585,1.6321
14,23,165,1.5625,1.1991525,1.057
14,24,180,1.375,1.1045255,0.8554
15,1,-165,0.75,0.75193325,0.711
15,2,-150,0.90625,1.094611,1.0144
15,3,-135,1.15625,1.47368375,1.7393
15,4,-120,0.75,0.98561425,1.0512
15,5,-105,0.25,0.45161175,0.5579
15,6,-90,0,0,0.0351
15,7,-75,0.5,0.1567495,0
15,8,-60,1.8125,1.224378,0.8002
15,9,-45,3.84375,3.21675325,2.759
15,10,-30,6.03125,5.5567635,5.056
15,11,-15,7.65625,7.4605985,6.7474
15,12,0,8.28125,8.25005625,7.3817
15,13,15,7.65625,7.45752375,6.7438
15,14,30,6.03125,5.55833225,5.0547
15,15,45,3.84375,3.2091605,2.7549
15,16,60,1.8125,1.22895875,0.8085
15,17,75,0.5,0.15605925,0
15,18,90,0,0.0013805,0.0365
15,19,105,0.25,0.45048225,0.5566
15,20,120,0.75,0.98762225,1.0507
15,21,135,0.9375,1.18754375,1.2135
15,22,150,0.90625,1.08262575,1.0061
15,23,165,0.75,0.7960465,0.7047
15,24,180,0.6875,0.55841225,0.5635
16,1,-165,0.15625,0.05327475,0.0367
16,2,-150,0.71875,0.2830025,0.235
16,3,-135,1.71875,0.819013,0.7417
16,4,-120,3,1.6213345,1.501
16,5,-105,4.21875,2.4308095,2.2802
16,6,-90,4.84375,2.92433825,2.7253
16,7,-75,4.5625,2.80235225,2.4636
16,8,-60,3.53125,2.15150925,1.7328
16,9,-45,2.3125,1.4034665,0.9404
16,10,-30,1.40625,0.9403715,0.4298
16,11,-15,1,0.828802,0.2651
16,12,0,0.90625,0.84517975,0.2557
16,13,15,1,0.82861375,0.2651
16,14,30,1.40625,0.940246,0.4298
16,15,45,2.3125,1.404847,0.9444
16,16,60,3.53125,2.15314075,1.7354
16,17,75,4.5625,2.80297975,2.4633
16,18,90,4.84375,2.92396175,2.7251
16,19,105,4.21875,2.43262925,2.2822
16,20,120,3,1.6205815,1.4998
16,21,135,1.71875,0.81832275,0.7412
16,22,150,0.71875,0.28306525,0.235
16,23,165,0.15625,0.05026275,0.0335
16,24,180,0,0,0
17,1,-165,0.15625,0.023845,0.0449
17,2,-150,1.0625,0.604157,0.6067
17,3,-135,2.9375,2.086563,2.0472
17,4,-120,5.53125,4.27434175,4.0915
17,5,-105,8.53125,6.848786,6.377
17,6,-90,11.34375,9.3390825,8.4913
17,7,-75,13.34375,11.09099975,9.8931
17,8,-60,13.84375,11.5915565,10.3092
17,9,-45,2.625,1.8670635,1.7379
17,10,-30,0.90625,0.4923365,0.3985
17,11,-15,0.09375,0.008785,0
17,12,0,0,0.21993875,0.3618
17,13,15,0.09375,0,0.004
17,14,30,0.875,0.45035675,0.397
17,15,45,2.5625,1.80475275,1.7391
17,16,60,5.15625,4.03036975,3.9227
17,17,75,8.34375,6.8280785,6.5296
17,18,90,11.4375,9.50279725,8.8972
17,19,105,13.5,11.22779475,10.3356
17,20,120,13.96875,11.70193375,10.7172
17,21,135,2.96875,2.1075215,2.003
17,22,150,1.125,0.620472,0.5699
17,23,165,0.15625,0.0202055,0.0216
17,24,180,0,0.21981325,0.3602
18,1,-165,2.1875,1.50656475,1.4099
18,2,-150,3.875,2.96274125,3.0296
18,3,-135,6,5.21785075,5.2994
18,4,-120,7.8125,8.2582765,8.2509
18,5,-105,7.84375,8.81819475,8.9581
18,6,-90,7.0625,8.00545675,7.6345
18,7,-75,6,6.5728115,6.2324
18,8,-60,5.09375,5.15660675,5.2196
18,9,-45,4.59375,4.32040025,4.7506
18,10,-30,4.5625,4.247422,4.9782
18,11,-15,4.75,4.62260425,5.4417
18,12,0,4.71875,4.6900605,5.3225
18,13,15,4.34375,3.93135025,4.3619
18,14,30,2.96875,1.8371945,2.1148
18,15,45,1.75,0.75067825,0.9388
18,16,60,1.09375,0.4265745,0.6448
18,17,75,1.03125,0.610181,0.6601
18,18,90,1.15625,1.4566785,1.1429
18,19,105,1.03125,1.56128275,1.5159
18,20,120,0.875,1.30074475,1.379
18,21,135,0.40625,0.6311395,0.8817
18,22,150,0,0,0.2081
18,23,165,0.1875,0.00420425,0
18,24,180,0.96875,0.51913075,0.3893
19,1,-165,0.59375,0.49829775,0.5056
19,2,-150,2.03125,1.90603125,1.9316
19,3,-135,3.9375,3.86019175,3.8923
19,4,-120,5.8125,5.58958175,5.6429
19,5,-105,7.5625,7.08290625,7.212
19,6,-90,9.0625,8.478529,8.6428
19,7,-75,9.6875,9.223999,9.0549
19,8,-60,8.96875,8.504884,8.1009
19,9,-45,7.46875,6.93895775,6.558
19,10,-30,6,5.31762325,4.9793
19,11,-15,5,4.19126075,3.9267
19,12,0,4.6875,3.841806,3.5778
19,13,15,5.21875,4.35290475,3.957
19,14,30,6.34375,5.59121325,5.0275
19,15,45,7.75,7.13662025,6.5273
19,16,60,8.625,8.25921775,7.7336
19,17,75,8.96875,8.5948675,8.167
19,18,90,8.78125,8.49515775,8.092
19,19,105,7.9375,7.84444025,7.5835
19,20,120,6.375,6.32112125,6.2479
19,21,135,4.15625,4.1541755,4.2296
19,22,150,2,2.05010525,2.1291
19,23,165,0.5,0.54611325,0.5725
19,24,180,0,0,0
20,1,-165,3.9375,3.3582545,2.8855
20,2,-150,2.53125,2.3903985,2.21
20,3,-135,1.21875,1.4606945,1.2721
20,4,-120,0.5,0.8909245,0.5922
20,5,-105,0.375,0.73361025,0.3142
20,6,-90,0.78125,0.839093,0.2871
20,7,-75,1.21875,1.027845,0.46
20,8,-60,1.4375,1.05922,0.7798
20,9,-45,1.25,0.85873375,0.9483
20,10,-30,0.9375,0.53858325,0.9075
20,11,-15,0.6875,0.2373205,0.8098
20,12,0,0,0,0
20,13,15,0.21875,0.2624205,0.1743
20,14,30,1.09375,0.59995275,0.7577
20,15,45,1.03125,0.5658795,0.6107
20,16,60,0.78125,0.4049885,0.2385
20,17,75,0.46875,0.41120075,0.0877
20,18,90,0.28125,0.58828125,0.1616
20,19,105,0.4375,0.9614555,0.6132
20,20,120,1.09375,1.58738675,1.2837
20,21,135,2.1875,2.304682,2.0407
20,22,150,3.34375,2.88932375,2.5953
20,23,165,4.21875,3.49159825,3.0638
20,24,180,4.6875,3.82869125,3.2598
21,1,-165,1.96875,2.1404025,0.775
21,2,-150,2.25,1.9348335,0.7247
21,3,-135,2.90625,2.09490875,0.8334
21,4,-120,3.875,2.57406775,1.2985
21,5,-105,4.625,2.9353195,1.7123
21,6,-90,4.65625,2.78992775,1.8671
21,7,-75,3.75,2.0387475,1.4745
21,8,-60,2.34375,1.0367555,0.7955
21,9,-45,1.0625,0.260036,0.2344
21,10,-30,0.28125,0,0
21,11,-15,0.03125,0.16409125,0.0596
21,12,0,0,0.3306925,0.1627
21,13,15,0.03125,0.16421675,0.0596
21,14,30,0.28125,0,0
21,15,45,1.0625,0.2601615,0.2344
21,16,60,2.34375,1.0367555,0.7955
21,17,75,3.75,2.03881025,1.4745
21,18,90,4.65625,2.78980225,1.8671
21,19,105,4.625,2.9353195,1.7131
21,20,120,3.875,2.5708675,1.2952
21,21,135,2.90625,2.094846,0.8334
21,22,150,2.25,1.9348335,0.7247
21,23,165,1.96875,2.1404025,0.775
21,24,180,1.9375,2.31265125,0.822
22,1,-165,0.21875,0.22872375,0.4628
22,2,-150,0.9375,0.74390125,1.24
22,3,-135,2.0625,1.50706675,2.144
22,4,-120,3.625,2.626966,3.2513
22,5,-105,5.34375,3.88817825,4.3653
22,6,-90,6.28125,4.5698315,4.7723
22,7,-75,5.8125,4.2485515,4.2221
22,8,-60,4.28125,3.1802955,3.0756
22,9,-45,2.625,1.931194,1.8088
22,10,-30,1.21875,0.83940675,0.6924
22,11,-15,0.3125,0.16396575,0.0347
22,12,0,0,0.00106675,0.004
22,13,15,0.21875,0.23801075,0.4654
22,14,30,0.90625,0.74239525,1.206
22,15,45,2,1.46740875,2.0508
22,16,60,3.5625,2.598603,3.1613
22,17,75,5.28125,3.9081955,4.313
22,18,90,6.28125,4.57867925,4.7629
22,19,105,5.8125,4.20431275,4.27
22,20,120,4.34375,3.14252,3.1786
22,21,135,2.65625,1.91042375,1.9162
22,22,150,1.25,0.829555,0.7618
22,23,165,0.3125,0.16785625,0.0604
22,24,180,0,0,0
23,1,-165,12.53125,12.5114715,12.5066
23,2,-150,11.40625,10.97390825,10.3719
23,3,-135,10.625,10.233521,9.5115
23,4,-120,10.15625,9.92736375,9.1491
23,5,-105,10.3125,10.01119775,9.2414
23,6,-90,11.09375,10.69743175,10.0033
23,7,-75,12.6875,12.59474075,12.6214
23,8,-60,11.875,11.5293085,11.0762
23,9,-45,10.3125,9.93709,8.8705
23,10,-30,7.53125,7.42790575,5.8755
23,11,-15,4.40625,4.59173125,3.4758
23,12,0,0.875,0.7973015,0.5065
23,13,15,0,0,0
23,14,30,0.3125,0.410636,0.1239
23,15,45,1.59375,1.934206,1.3698
23,16,60,3.6875,4.0083445,3.2025
23,17,75,2.6875,4.050136,4.0048
23,18,90,2.15625,2.981629,3.0065
23,19,105,2.09375,2.6296015,2.4586
23,20,120,2.28125,2.893779,2.3617
23,21,135,4.28125,4.58834275,3.4787
23,22,150,7.40625,7.476035,5.8617
23,23,165,10.21875,9.86373525,8.6315
23,24,180,11.78125,11.52748875,10.9776
24,1,-165,0.71875,0.69545825,0.7017
24,2,-150,0,0.002259,0.015
24,3,-135,0.09375,0.0126755,0
24,4,-120,0.8125,0.6243625,0.5232
24,5,-105,1.78125,1.43603375,1.0899
24,6,-90,2.28125,1.84641875,1.2174
24,7,-75,1.78125,1.44042625,1.0896
24,8,-60,0.8125,0.6301355,0.5313
24,9,-45,0.09375,0.01474625,0.0028
24,10,-30,0,0,0.0136
24,11,-15,0.6875,0.67926875,0.6937
24,12,0,1.46875,1.38809275,1.4072
24,13,15,0.6875,0.67926875,0.6937
24,14,30,0,0.001757,0.0151
24,15,45,0.09375,0.0144325,0.0028
24,16,60,0.8125,0.62718625,0.5267
24,17,75,1.78125,1.4403635,1.0896
24,18,90,2.28125,1.84666975,1.2177
24,19,105,1.78125,1.43603375,1.0899
24,20,120,0.8125,0.624488,0.5232
24,21,135,0.09375,0.0126755,0
24,22,150,0,0.00232175,0.015
24,23,165,0.71875,0.69545825,0.7017
24,24,180,1.46875,1.38809275,1.4072
25,1,-165,0.625,0.19044625,0.6001
25,2,-150,0.34375,0.059487,0.2894
25,3,-135,0.125,0.0141815,0.0842
25,4,-120,0,0.06193425,0.0183
25,5,-105,0.15625,0.32699025,0.2096
25,6,-90,0.8125,1.02251125,0.877
25,7,-75,0.15625,0.3502705,0.2426
25,8,-60,0.03125,0.044929,0
25,9,-45,0.15625,0,0.0765
25,10,-30,0.375,0.04210525,0.2919
25,11,-15,0.71875,0.20098825,0.5985
25,12,0,1.03125,0.44219925,0.9409
25,13,15,0.71875,0.20111375,0.5985
25,14,30,0.375,0.0558475,0.3023
25,15,45,0.15625,0.00194525,0.0781
25,16,60,0.03125,0.04699975,0.002
25,17,75,0.15625,0.350145,0.2426
25,18,90,0.8125,1.02150725,0.8737
25,19,105,0.15625,0.3264255,0.2093
25,20,120,0,0.061495,0.0176
25,21,135,0.125,0.01098125,0.0812
25,22,150,0.34375,0.05678875,0.2863
25,23,165,0.625,0.19421125,0.6023
25,24,180,1,0.440505,0.9514
26,1,-165,0.71875,0.001757,0.0014
26,2,-150,0.875,0.1891285,0.4881
26,3,-135,1.25,0.70022725,1.2571
26,4,-120,1.875,1.42938225,2.0649
26,5,-105,2.625,2.277574,2.8318
26,6,-90,3.21875,2.942473,3.4177
26,7,-75,2.875,2.646795,3.146
26,8,-60,1.71875,1.49677575,2.0715
26,9,-45,0.625,0.52026025,1.0322
26,10,-30,0,0.03570475,0.3282
26,11,-15,0.03125,0.12631575,0.0375
26,12,0,0.375,0.535885,0.0997
26,13,15,0.03125,0.12443325,0.0331
26,14,30,0,0.0360185,0.3287
26,15,45,0.625,0.52703725,1.0277
26,16,60,1.71875,1.50016425,2.0764
26,17,75,2.875,2.65438775,3.1504
26,18,90,3.21875,2.94266125,3.4178
26,19,105,2.625,2.27500125,2.847
26,20,120,1.875,1.427939,2.0629
26,21,135,1.25,0.6946425,1.2506
26,22,150,0.875,0.18831275,0.4873
26,23,165,0.71875,0,0
26,24,180,0.96875,0.33050425,0.2385
27,1,-165,0.75,1.0450385,0.7968
27,2,-150,1.09375,1.589834,1.3104
27,3,-135,2.46875,2.7099215,2.1936
27,4,-120,3.71875,4.12876175,3.5663
27,5,-105,4.625,5.594539,5.4912
27,6,-90,5.8125,6.724792,6.6742
27,7,-75,9.03125,9.573391,9.8284
27,8,-60,5.5625,6.14178175,6.3609
27,9,-45,2.875,3.31953775,3.4395
27,10,-30,1.03125,1.4963365,1.6373
27,11,-15,0.1875,0.34568975,0.402
27,12,0,0,0,0
27,13,15,0.1875,0.34481125,0.401
27,14,30,1.03125,1.492195,1.6363
27,15,45,2.875,3.29908125,3.4218
27,16,60,5.5625,6.1383305,6.3544
27,17,75,9.03125,9.5700025,9.8331
27,18,90,5.8125,6.7374675,6.6832
27,19,105,4.625,5.597049,5.4911
27,20,120,3.71875,4.13177375,3.5697
27,21,135,2.46875,2.7146905,2.1981
27,22,150,1.09375,1.58989675,1.3099
27,23,165,0.75,1.04359525,0.7956
27,24,180,1.03125,1.06919725,0.9334
28,1,-165,6.40625,5.61330125,6.5826
28,2,-150,6.6875,6.0695565,6.5799
28,3,-135,7.4375,6.815905,6.5323
28,4,-120,4.09375,3.34225325,3.2767
