mol_id,conf_id,scan,b3lyp_relative_energy,wb97m_relative_energy,resff_relative_energy
12,6,-90,0.1875,0,0.001953125
12,7,-75,1.53125,2.723099,2.5888672
12,8,-60,3.0625,4.34399425,3.8515625
12,9,-45,4.25,5.363117,5.0859375
12,10,-30,6.40625,6.6950485,7.1591797
12,11,-15,6.09375,8.2640495,10.395508
12,12,0,6.09375,8.23148225,10.510742
12,13,15,5.71875,7.89376175,9.263672
12,14,30,6.40625,6.69937825,7.151367
12,15,45,4.25,5.37309425,5.1064453
12,16,60,3.0625,4.34775925,3.8574219
12,17,75,1.53125,2.72491875,2.5976562
12,18,90,0.1875,6.27E-05,0
12,19,105,0,0.52314675,0.58691406
12,20,120,0.25,1.384767,1.2832031
12,21,135,0.9375,2.28554325,2.6582031
12,22,150,1.96875,3.39985775,3.9853516
12,23,165,4.375,5.28800525,5.7539062
12,24,180,5.3125,6.1988215,6.6015625
13,1,-165,2.21875,2.1966265,1.6835938
13,2,-150,1.5,1.5314765,1.0458984
13,3,-135,1.09375,1.08683,0.34179688
13,4,-120,1.15625,1.10082325,0
13,5,-105,1.75,1.6007525,0.49023438
13,6,-90,2.65625,2.435202,1.5742188
13,7,-75,3.59375,3.3037875,2.5751953
13,8,-60,4,3.695724,2.9501953
13,9,-45,3.46875,3.22014175,2.5664062
13,10,-30,2.28125,2.0992385,1.7246094
13,11,-15,1.25,1.07446825,0.91796875
13,12,0,0,0,0.20800781
13,13,15,1.15625,0.6015215,0.61035156
13,14,30,2.0625,2.09892475,1.3798828
13,15,45,3.125,3.18161325,2.2167969
13,16,60,3.65625,3.6795345,2.7021484
13,17,75,3.375,3.31527075,2.477539
13,18,90,2.625,2.492681,1.6201172
13,19,105,1.84375,1.72844875,0.7529297
13,20,120,1.40625,1.3013095,0.38183594
13,21,135,1.375,1.3389595,0.67089844
13,22,150,1.8125,1.78931625,1.3066406
13,23,165,2.4375,2.37577775,1.7695312
13,24,180,2.65625,2.59979525,1.8935547
14,1,-165,1.5625,1.199278,2.2402344
14,2,-150,2.125,1.5269585,2.8876953
14,3,-135,3.1875,2.257996,3.9326172
14,4,-120,4.625,3.3502225,5.2314453
14,5,-105,6.0625,4.4091915,6.463867
14,6,-90,6.75,4.891488,7.208008
14,7,-75,6.1875,4.5128545,6.5878906
14,8,-60,4.6875,3.44240225,4.9765625
14,9,-45,2.875,2.11084725,3.0615234
14,10,-30,1.375,0.972625,1.4355469
14,11,-15,0.375,0.252506,0.37695312
14,12,0,0,0,0
14,13,15,0.375,0.250498,0.37402344
14,14,30,1.375,0.97306425,1.4365234
14,15,45,2.875,2.1148005,3.0576172
14,16,60,4.6875,3.44566525,4.9853516
14,17,75,6.1875,4.512227,6.584961
14,18,90,6.75,4.89067225,7.2021484
14,19,105,6.0625,4.4091915,6.4628906
14,20,120,4.625,3.350348,5.2314453
14,21,135,3.1875,2.2593765,3.930664
14,22,150,2.125,1.5269585,2.8886719
14,23,165,1.5625,1.1991525,2.2402344
14,24,180,1.375,1.1045255,1.9951172
15,1,-165,0.75,0.75193325,1.2763672
15,2,-150,0.90625,1.094611,1.7060547
15,3,-135,1.15625,1.47368375,2.1699219
15,4,-120,0.75,0.98561425,1.5742188
15,5,-105,0.25,0.45161175,0.69433594
15,6,-90,0,0,0.00390625
15,7,-75,0.5,0.1567495,0.22753906
15,8,-60,1.8125,1.224378,1.4121094
15,9,-45,3.84375,3.21675325,3.3671875
15,10,-30,6.03125,5.5567635,5.680664
15,11,-15,7.65625,7.4605985,7.5859375
15,12,0,8.28125,8.25005625,8.375
15,13,15,7.65625,7.45752375,7.583008
15,14,30,6.03125,5.55833225,5.676758
15,15,45,3.84375,3.2091605,3.3691406
15,16,60,1.8125,1.22895875,1.4248047
15,17,75,0.5,0.15605925,0.22851562
15,18,90,0,0.0013805,0
15,19,105,0.25,0.45048225,0.6923828
15,20,120,0.75,0.98762225,1.5869141
15,21,135,0.9375,1.18754375,1.7822266
15,22,150,0.90625,1.08262575,1.6855469
15,23,165,0.75,0.7960465,1.3320312
15,24,180,0.6875,0.55841225,1.0742188
16,1,-165,0.15625,0.05327475,0.049804688
16,2,-150,0.71875,0.2830025,0.24804688
16,3,-135,1.71875,0.819013,0.69433594
16,4,-120,3,1.6213345,1.4414062
16,5,-105,4.21875,2.4308095,2.2304688
16,6,-90,4.84375,2.92433825,2.7636719
16,7,-75,4.5625,2.80235225,2.7666016
16,8,-60,3.53125,2.15150925,2.2070312
16,9,-45,2.3125,1.4034665,1.3017578
16,10,-30,1.40625,0.9403715,0.6826172
16,11,-15,1,0.828802,0.5878906
16,12,0,0.90625,0.84517975,0.63671875
16,13,15,1,0.82861375,0.58691406
16,14,30,1.40625,0.940246,0.6826172
16,15,45,2.3125,1.404847,1.3095703
16,16,60,3.53125,2.15314075,2.211914
16,17,75,4.5625,2.80297975,2.7617188
16,18,90,4.84375,2.92396175,2.7636719
16,19,105,4.21875,2.43262925,2.2324219
16,20,120,3,1.6205815,1.4384766
16,21,135,1.71875,0.81832275,0.6933594
16,22,150,0.71875,0.28306525,0.24707031
16,23,165,0.15625,0.05026275,0.047851562
16,24,180,0,0,0
17,1,-165,0.15625,0.023845,0.2109375
17,2,-150,1.0625,0.604157,1.2324219
17,3,-135,2.9375,2.086563,3.2373047
17,4,-120,5.53125,4.27434175,5.885742
17,5,-105,8.53125,6.848786,8.796875
17,6,-90,11.34375,9.3390825,11.586914
17,7,-75,13.34375,11.09099975,13.788086
17,8,-60,13.84375,11.5915565,14.456055
17,9,-45,2.625,1.8670635,3.0595703
17,10,-30,0.90625,0.4923365,1.1035156
17,11,-15,0.09375,0.008785,0.15722656
17,12,0,0,0.21993875,0
17,13,15,0.09375,0,0.08886719
17,14,30,0.875,0.45035675,1.0195312
17,15,45,2.5625,1.80475275,2.9726562
17,16,60,5.15625,4.03036975,5.7470703
17,17,75,8.34375,6.8280785,8.813477
17,18,90,11.4375,9.50279725,11.614258
17,19,105,13.5,11.22779475,13.68457
17,20,120,13.96875,11.70193375,14.3125
17,21,135,2.96875,2.1075215,3.1914062
17,22,150,1.125,0.620472,1.1767578
17,23,165,0.15625,0.0202055,0.13671875
17,24,180,0,0.21981325,0.002929688
18,1,-165,2.1875,1.50656475,2.0732422
18,2,-150,3.875,2.96274125,3.7919922
18,3,-135,6,5.21785075,6.4208984
18,4,-120,7.8125,8.2582765,10.368164
18,5,-105,7.84375,8.81819475,11.208008
18,6,-90,7.0625,8.00545675,9.803711
18,7,-75,6,6.5728115,8.116211
18,8,-60,5.09375,5.15660675,6.7597656
18,9,-45,4.59375,4.32040025,6.013672
18,10,-30,4.5625,4.247422,6.165039
18,11,-15,4.75,4.62260425,6.819336
18,12,0,4.71875,4.6900605,6.7021484
18,13,15,4.34375,3.93135025,4.7802734
18,14,30,2.96875,1.8371945,2.1748047
18,15,45,1.75,0.75067825,1.1074219
18,16,60,1.09375,0.4265745,0.58691406
18,17,75,1.03125,0.610181,0.6582031
18,18,90,1.15625,1.4566785,1.5410156
18,19,105,1.03125,1.56128275,1.9082031
18,20,120,0.875,1.30074475,1.4628906
18,21,135,0.40625,0.6311395,0.5263672
18,22,150,0,0,0
18,23,165,0.1875,0.00420425,0.28515625
18,24,180,0.96875,0.51913075,0.97753906
19,1,-165,0.59375,0.49829775,0.48535156
19,2,-150,2.03125,1.90603125,1.8876953
19,3,-135,3.9375,3.86019175,3.9228516
19,4,-120,5.8125,5.58958175,5.9541016
19,5,-105,7.5625,7.08290625,7.618164
19,6,-90,9.0625,8.478529,8.99707
19,7,-75,9.6875,9.223999,9.274414
19,8,-60,8.96875,8.504884,8.099609
19,9,-45,7.46875,6.93895775,6.319336
19,10,-30,6,5.31762325,4.413086
19,11,-15,5,4.19126075,3.1103516
19,12,0,4.6875,3.841806,2.741211
19,13,15,5.21875,4.35290475,3.336914
19,14,30,6.34375,5.59121325,4.6367188
19,15,45,7.75,7.13662025,6.0966797
19,16,60,8.625,8.25921775,7.455078
19,17,75,8.96875,8.5948675,8.2890625
19,18,90,8.78125,8.49515775,8.513672
19,19,105,7.9375,7.84444025,7.919922
19,20,120,6.375,6.32112125,6.4765625
19,21,135,4.15625,4.1541755,4.3691406
19,22,150,2,2.05010525,2.211914
19,23,165,0.5,0.54611325,0.6171875
19,24,180,0,0,0
20,1,-165,3.9375,3.3582545,3.508789
20,2,-150,2.53125,2.3903985,2.8876953
20,3,-135,1.21875,1.4606945,1.9882812
20,4,-120,0.5,0.8909245,1.1835938
20,5,-105,0.375,0.73361025,0.9433594
20,6,-90,0.78125,0.839093,1.1494141
20,7,-75,1.21875,1.027845,1.2099609
20,8,-60,1.4375,1.05922,1.3271484
20,9,-45,1.25,0.85873375,1.0859375
20,10,-30,0.9375,0.53858325,0.62109375
20,11,-15,0.6875,0.2373205,0
20,12,0,0,0,1.1542969
20,13,15,0.21875,0.2624205,1.3476562
20,14,30,1.09375,0.59995275,0.9394531
20,15,45,1.03125,0.5658795,1.1328125
20,16,60,0.78125,0.4049885,0.95703125
20,17,75,0.46875,0.41120075,0.74316406
20,18,90,0.28125,0.58828125,0.53125
20,19,105,0.4375,0.9614555,0.7441406
20,20,120,1.09375,1.58738675,1.2734375
20,21,135,2.1875,2.304682,1.9619141
20,22,150,3.34375,2.88932375,2.6279297
20,23,165,4.21875,3.49159825,3.0458984
20,24,180,4.6875,3.82869125,3.1835938
21,1,-165,1.96875,2.1404025,2.196289
21,2,-150,2.25,1.9348335,2.1689453
21,3,-135,2.90625,2.09490875,2.631836
21,4,-120,3.875,2.57406775,3.4609375
21,5,-105,4.625,2.9353195,4.1552734
21,6,-90,4.65625,2.78992775,4.0410156
21,7,-75,3.75,2.0387475,3.1308594
21,8,-60,2.34375,1.0367555,1.9580078
21,9,-45,1.0625,0.260036,0.94433594
21,10,-30,0.28125,0,0.3046875
21,11,-15,0.03125,0.16409125,0.044921875
21,12,0,0,0.3306925,0
21,13,15,0.03125,0.16421675,0.043945312
21,14,30,0.28125,0,0.3046875
21,15,45,1.0625,0.2601615,0.94433594
21,16,60,2.34375,1.0367555,1.9589844
21,17,75,3.75,2.03881025,3.1308594
21,18,90,4.65625,2.78980225,4.0410156
21,19,105,4.625,2.9353195,4.1523438
21,20,120,3.875,2.5708675,3.4570312
21,21,135,2.90625,2.094846,2.631836
21,22,150,2.25,1.9348335,2.1699219
21,23,165,1.96875,2.1404025,2.196289
21,24,180,1.9375,2.31265125,2.2470703
22,1,-165,0.21875,0.22872375,0.53222656
22,2,-150,0.9375,0.74390125,1.5878906
22,3,-135,2.0625,1.50706675,2.8417969
22,4,-120,3.625,2.626966,4.1376953
22,5,-105,5.34375,3.88817825,5.4365234
22,6,-90,6.28125,4.5698315,6.0283203
22,7,-75,5.8125,4.2485515,5.3710938
22,8,-60,4.28125,3.1802955,4.026367
22,9,-45,2.625,1.931194,2.4941406
22,10,-30,1.21875,0.83940675,0.9658203
22,11,-15,0.3125,0.16396575,0.10253906
22,12,0,0,0.00106675,0.006835938
22,13,15,0.21875,0.23801075,0.5527344
22,14,30,0.90625,0.74239525,1.6240234
22,15,45,2,1.46740875,2.8779297
22,16,60,3.5625,2.598603,4.173828
22,17,75,5.28125,3.9081955,5.4648438
22,18,90,6.28125,4.57867925,6.033203
22,19,105,5.8125,4.20431275,5.3564453
22,20,120,4.34375,3.14252,4.0390625
22,21,135,2.65625,1.91042375,2.461914
22,22,150,1.25,0.829555,0.9501953
22,23,165,0.3125,0.16785625,0.103515625
22,24,180,0,0,0
23,1,-165,12.53125,12.5114715,13.316406
23,2,-150,11.40625,10.97390825,10.956055
23,3,-135,10.625,10.233521,9.413086
23,4,-120,10.15625,9.92736375,8.146484
23,5,-105,10.3125,10.01119775,8.65918
23,6,-90,11.09375,10.69743175,10.268555
23,7,-75,12.6875,12.59474075,13.448242
23,8,-60,11.875,11.5293085,12.8515625
23,9,-45,10.3125,9.93709,11.3984375
23,10,-30,7.53125,7.42790575,8.234375
23,11,-15,4.40625,4.59173125,5.3583984
23,12,0,0.875,0.7973015,1.3427734
23,13,15,0,0,0
23,14,30,0.3125,0.410636,0.640625
23,15,45,1.59375,1.934206,1.6376953
23,16,60,3.6875,4.0083445,3.756836
23,17,75,2.6875,4.050136,4.0546875
23,18,90,2.15625,2.981629,2.977539
23,19,105,2.09375,2.6296015,2.6191406
23,20,120,2.28125,2.893779,3.2128906
23,21,135,4.28125,4.58834275,5.4501953
23,22,150,7.40625,7.476035,8.2578125
23,23,165,10.21875,9.86373525,11.251953
23,24,180,11.78125,11.52748875,12.7578125
24,1,-165,0.71875,0.69545825,1.1630859
24,2,-150,0,0.002259,0.17480469
24,3,-135,0.09375,0.0126755,0
24,4,-120,0.8125,0.6243625,0.5097656
24,5,-105,1.78125,1.43603375,1.078125
24,6,-90,2.28125,1.84641875,1.15625
24,7,-75,1.78125,1.44042625,1.0849609
24,8,-60,0.8125,0.6301355,0.5292969
24,9,-45,0.09375,0.01474625,0.015625
24,10,-30,0,0,0.17285156
24,11,-15,0.6875,0.67926875,1.1494141
24,12,0,1.46875,1.38809275,2.0546875
24,13,15,0.6875,0.67926875,1.1494141
24,14,30,0,0.001757,0.17382812
24,15,45,0.09375,0.0144325,0.015625
24,16,60,0.8125,0.62718625,0.52246094
24,17,75,1.78125,1.4403635,1.0849609
24,18,90,2.28125,1.84666975,1.15625
24,19,105,1.78125,1.43603375,1.078125
24,20,120,0.8125,0.624488,0.50683594
24,21,135,0.09375,0.0126755,0
24,22,150,0,0.00232175,0.17480469
24,23,165,0.71875,0.69545825,1.1630859
24,24,180,1.46875,1.38809275,2.0546875
25,1,-165,0.625,0.19044625,0.18945312
25,2,-150,0.34375,0.059487,0.087890625
25,3,-135,0.125,0.0141815,0.0390625
25,4,-120,0,0.06193425,0.068359375
25,5,-105,0.15625,0.32699025,0.46679688
25,6,-90,0.8125,1.02251125,1.15625
25,7,-75,0.15625,0.3502705,0.49804688
25,8,-60,0.03125,0.044929,0.044921875
25,9,-45,0.15625,0,0
25,10,-30,0.375,0.04210525,0.09765625
25,11,-15,0.71875,0.20098825,0.15429688
25,12,0,1.03125,0.44219925,0.22460938
25,13,15,0.71875,0.20111375,0.15039062
25,14,30,0.375,0.0558475,0.08984375
25,15,45,0.15625,0.00194525,0.00390625
25,16,60,0.03125,0.04699975,0.046875
25,17,75,0.15625,0.350145,0.49609375
25,18,90,0.8125,1.02150725,1.1601562
25,19,105,0.15625,0.3264255,0.46679688
25,20,120,0,0.061495,0.068359375
25,21,135,0.125,0.01098125,0.03515625
25,22,150,0.34375,0.05678875,0.091796875
25,23,165,0.625,0.19421125,0.1875
25,24,180,1,0.440505,0.22851562
26,1,-165,0.71875,0.001757,0.000976563
26,2,-150,0.875,0.1891285,0.44140625
26,3,-135,1.25,0.70022725,1.3935547
26,4,-120,1.875,1.42938225,2.2802734
26,5,-105,2.625,2.277574,3.3271484
26,6,-90,3.21875,2.942473,4.229492
26,7,-75,2.875,2.646795,3.8388672
26,8,-60,1.71875,1.49677575,2.2695312
26,9,-45,0.625,0.52026025,1.2539062
26,10,-30,0,0.03570475,0.62402344
26,11,-15,0.03125,0.12631575,0.4501953
26,12,0,0.375,0.535885,0.38085938
26,13,15,0.03125,0.12443325,0.43359375
26,14,30,0,0.0360185,0.625
26,15,45,0.625,0.52703725,1.2539062
26,16,60,1.71875,1.50016425,2.272461
26,17,75,2.875,2.65438775,3.8603516
26,18,90,3.21875,2.94266125,4.2314453
26,19,105,2.625,2.27500125,3.3486328
26,20,120,1.875,1.427939,2.2832031
26,21,135,1.25,0.6946425,1.3867188
26,22,150,0.875,0.18831275,0.43945312
26,23,165,0.71875,0,0
26,24,180,0.96875,0.33050425,0.35058594
27,1,-165,0.75,1.0450385,0.9638672
27,2,-150,1.09375,1.589834,1.7646484
27,3,-135,2.46875,2.7099215,2.9013672
