scan,b3lyp_energy,mm_energy,b3lyp_relative_energy,mm_relative_energy
-15,-287084.1,24.924507,0.400000000023283,1.2724149999999987
0,-287084.5,23.652092,0,0
15,-287084.1,24.909094,0.400000000023283,1.257002
30,-287082.88,28.032726,1.6199999999953434,4.380634000000001
45,-287080.9,32.62104,3.599999999976717,8.968948000000001
60,-287078.47,38.249893,6.03000000002794,14.597801
75,-287076,43.698135,8.5,20.046043
90,-287074.4,47.305466,10.099999999976715,23.653374000000003
105,-287074.3,46.728344,10.200000000011642,23.076252
120,-287075.2,43.37037,9.299999999988358,19.718278
135,-287076.34,39.193245,8.159999999974389,15.541152999999998
150,-287077.4,34.987602,7.099999999976717,11.335510000000003
165,-287078.03,32.45965,6.46999999997206,8.807558000000004
180,-287078.16,31.533306,6.340000000025611,7.881214
-165,-324092.38,15.407827,0.3200000000069849,0.23059899999999978
-150,-324091.4,16.160334,1.2999999999883585,0.9831059999999994
-135,-324089.88,17.381285,2.820000000006985,2.204056999999999
-120,-324088,18.934124,4.7000000000116415,3.756896000000001
-105,-324086.2,20.397322,6.5,5.220094
-90,-324085.4,21.100628,7.2999999999883585,5.923400000000001
-75,-324086.16,20.42771,6.540000000037253,5.250482000000002
-60,-324087.88,18.947474,4.820000000006985,3.770246
-45,-324089.78,17.389624,2.919999999983702,2.212396000000002
-30,-324091.38,16.148241,1.320000000006985,0.9710129999999992
-15,-324092.34,15.419113,0.3599999999860301,0.2418849999999999
0,-324092.7,15.181143,0,0.003915000000001001
15,-324092.34,15.419113,0.3599999999860301,0.2418849999999999
30,-324091.38,16.148245,1.320000000006985,0.9710169999999998
45,-324089.78,17.389627,2.919999999983702,2.2123990000000013
60,-324087.88,18.947474,4.820000000006985,3.770246
75,-324086.16,20.42771,6.540000000037253,5.250482000000002
90,-324085.4,21.100626,7.2999999999883585,5.923397999999999
105,-324086.2,20.399574,6.5,5.222346000000002
120,-324088,18.933947,4.7000000000116415,3.7567190000000004
135,-324089.88,17.381285,2.820000000006985,2.204056999999999
150,-324091.4,16.160336,1.2999999999883585,0.9831080000000014
165,-324092.38,15.407822,0.3200000000069849,0.23059399999999997
180,-324092.7,15.177228,0,0
-165,-428174.28,-114.23305,0.0599999999976716,3.408319999999989
-150,-428173.88,-115.67735,0.4600000000209547,1.9640199999999908
-135,-428172.8,-116.81367,1.540000000037253,0.827699999999993
-120,-428171.16,-117.38568,3.1800000000512227,0.2556900000000013
-105,-428169.25,-117.5627,5.090000000025611,0.07866999999998825
-90,-428167.72,-117.24173,6.620000000053551,0.3996399999999909
-75,-428169.16,-117.64116,5.180000000051223,0.0002099999999956026
-60,-428171.1,-117.4419,3.2400000000488944,0.19946999999999093
-45,-428172.78,-116.82438,1.5599999999976717,0.8169899999999899
-30,-428173.84,-115.673836,0.5,1.9675340000000006
-15,-428174.28,-114.24446,0.0599999999976716,3.396909999999991
0,-428174.34,-113.428474,0,4.212896000000001
15,-428174.28,-114.2431,0.0599999999976716,3.3982699999999966
30,-428173.84,-115.67457,0.5,1.966799999999992
45,-428172.78,-116.83182,1.5599999999976717,0.8095500000000015
60,-428171.1,-117.42912,3.2400000000488944,0.21224999999999739
75,-428169.16,-117.64137,5.180000000051223,0
90,-428167.72,-117.24437,6.620000000053551,0.39699999999999136
105,-428169.25,-117.57234,5.090000000025611,0.06902999999999793
120,-428171.2,-117.39013,3.14000000001397,0.2512399999999957
135,-428172.8,-116.816376,1.540000000037253,0.8249939999999896
150,-428173.88,-115.68168,0.4600000000209547,1.9596899999999948
165,-428174.28,-114.23305,0.0599999999976716,3.408319999999989
180,-428174.34,-113.42857,0,4.212800000000001
-165,-419272.97,-37.99646,0.870000000053551,2.0544900000000013
-150,-419273.44,-39.505722,0.400000000023283,0.5452280000000016
-135,-419273.84,-40.05095,0,0
-120,-419272,-38.866226,1.8400000000256116,1.1847240000000028
-105,-419273.1,-39.470493,0.7400000000488944,0.5804570000000027
-90,-419273.7,-39.94604,0.1400000000139698,0.10490999999999673
-75,-419272.6,-37.352722,1.2400000000488944,2.6982280000000003
-60,-419273.2,-37.54664,0.6400000000139698,2.504310000000004
-45,-419272.8,-36.384354,1.040000000037253,3.6665959999999984
-30,-419271.3,-34.053623,2.540000000037253,5.9973269999999985
-15,-419268.94,-30.852156,4.900000000023283,9.198794
0,-419266.1,-27.842281,7.740000000048894,12.208669
15,-419268.94,-31.065248,4.900000000023283,8.985702
30,-419271.3,-33.99938,2.540000000037253,6.051569999999998
45,-419272.8,-36.397404,1.040000000037253,3.6535459999999986
60,-419273.2,-37.546375,0.6400000000139698,2.5045750000000027
75,-419272.6,-37.363014,1.2400000000488944,2.6879360000000005
90,-419271.56,-36.575874,2.28000000002794,3.4750760000000014
105,-419272.47,-36.39315,1.370000000053551,3.6578000000000017
120,-419272.1,-36.59632,1.7400000000488944,3.4546300000000016
135,-419273.84,-40.02477,0,0.026180000000003645
150,-419273.44,-39.510445,0.400000000023283,0.5405050000000031
165,-419272.97,-37.99219,0.870000000053551,2.0587599999999995
180,-419272.75,-36.889156,1.0900000000256114,3.1617940000000004
-165,-502088,-12.181406,0.8400000000256114,0.26316399999999973
-150,-502087.38,-11.484626,1.4600000000209548,0.9599440000000001
-135,-502086.22,-10.3043165,2.620000000053551,2.1402535
-120,-502084.78,-8.6877165,4.059999999997672,3.7568535
-105,-502083.56,-7.1614156,5.28000000002794,5.283154400000001
-90,-502083.12,-6.5039697,5.720000000030268,5.940600300000001
-75,-502083.75,-6.7902217,5.090000000025611,5.6543483000000005
-60,-502085.12,-7.5627193,3.720000000030268,4.8818507
-45,-502086.7,-8.216975,2.14000000001397,4.227595000000001
-30,-502087.9,-8.419458,0.9400000000023284,4.025112
-15,-502088.62,-8.279467,0.2200000000302679,4.165103
0,-502088.84,-8.1239805,0,4.3205895000000005
15,-502088.62,-8.279465,0.2200000000302679,4.1651050000000005
30,-502087.9,-8.419458,0.9400000000023284,4.025112
45,-502086.7,-8.216973,2.14000000001397,4.227597000000001
60,-502085.12,-7.5624795,3.720000000030268,4.8820905
75,-502083.75,-6.7902207,5.090000000025611,5.654349300000001
90,-502083.12,-6.5038795,5.720000000030268,5.9406905000000005
105,-502083.56,-7.1614156,5.28000000002794,5.283154400000001
120,-502084.78,-8.687717,4.059999999997672,3.7568530000000013
135,-502086.22,-10.304208,2.620000000053551,2.1403620000000014
150,-502087.38,-11.484628,1.4600000000209548,0.9599419999999999
165,-502088,-12.18135,0.8400000000256114,0.26322000000000045
180,-502088.2,-12.44457,0.6400000000139698,0
-165,-459013.72,16.287308,3.06000000005588,0.000377999999997769
-150,-459015.88,17.311615,0.9000000000232831,1.024684999999998
-135,-459014.94,18.053009,1.8400000000256116,1.7660789999999977
-120,-459014.1,18.361443,2.6800000000512227,2.0745129999999996
-105,-459015.3,18.362057,1.4800000000395812,2.0751269999999984
-90,-459016.22,17.652277,0.5600000000558794,1.3653469999999999
-75,-459016.4,17.2481,0.3800000000046566,0.9611699999999992
-60,-459015.6,17.186592,1.1800000000512227,0.8996619999999993
-45,-459013.97,17.73289,2.81000000005588,1.4459599999999995
-30,-459012.03,18.950954,4.75,2.6640239999999977
-15,-459010.4,20.01948,6.380000000004657,3.73255
0,-459009.62,20.257912,7.160000000032596,3.9709819999999993
15,-459010.4,20.017643,6.380000000004657,3.730712999999998
30,-459012.03,18.950954,4.75,2.6640239999999977
45,-459013.97,17.73289,2.81000000005588,1.4459599999999995
60,-459015.6,17.185833,1.1800000000512227,0.8989029999999971
75,-459016.4,17.250689,0.3800000000046566,0.9637589999999996
90,-459016.16,17.68964,0.620000000053551,1.402709999999999
105,-459015.3,18.353464,1.4800000000395812,2.066533999999997
120,-459014.1,18.348804,2.6800000000512227,2.0618739999999995
135,-459014.94,18.042847,1.8400000000256116,1.7559169999999966
150,-459015.88,17.31799,0.9000000000232831,1.03106
165,-459013.72,16.28693,3.06000000005588,0
180,-459016.78,16.385693,0,0.09876299999999816
-165,-393432.1,-17.297127,0.150000000023283,2.1298999999999992
-150,-393432.25,-18.76483,0,0.662196999999999
-135,-393431.62,-19.427027,0.6300000000046566,0
-120,-393430.38,-19.416468,1.8699999999953436,0.010559000000000651
-105,-393428.88,-18.813639,3.3699999999953434,0.6133880000000005
-90,-393427.88,-17.87162,4.369999999995343,1.5554069999999989
-75,-393428.56,-17.889507,3.690000000002328,1.5375200000000007
-60,-393430.03,-17.758886,2.2199999999720603,1.6681409999999985
-45,-393431.3,-17.353886,0.9500000000116416,2.0731409999999997
-30,-393432.03,-16.641941,0.2199999999720603,2.7850859999999997
-15,-393432.16,-15.555054,0.0900000000256113,3.8719729999999988
0,-393432,-14.585785,0.25,4.841241999999999
15,-393432.16,-15.555054,0.0900000000256113,3.8719729999999988
30,-393432.03,-16.641941,0.2199999999720603,2.7850859999999997
45,-393431.3,-17.353882,0.9500000000116416,2.0731450000000002
60,-393430.03,-17.758886,2.2199999999720603,1.6681409999999985
75,-393428.56,-17.847912,3.690000000002328,1.579114999999998
90,-393427.88,-17.872805,4.369999999995343,1.5542219999999993
105,-393428.88,-18.816242,3.3699999999953434,0.6107849999999999
120,-393430.38,-19.416458,1.8699999999953436,0.010569000000000273
135,-393431.62,-19.41718,0.6300000000046566,0.009847000000000605
150,-393432.25,-18.766495,0,0.6605319999999999
165,-393432.1,-17.29713,0.150000000023283,2.1298969999999997
180,-393431.25,-13.505721,1,5.9213059999999995
-165,-355676.6,-283.671,0.3000000000465661,0.24153999999998632
-150,-355675.56,-282.95682,1.3400000000256114,0.9557199999999852
-135,-355673.8,-281.79758,3.1000000000349246,2.1149599999999964
-120,-355671.3,-280.1263,5.600000000034925,3.786239999999964
-105,-355668.28,-277.94867,8.619999999995343,5.963869999999986
-90,-355665.5,-275.5863,11.400000000023285,8.326239999999984
-75,-355668.78,-278.02832,8.119999999995343,5.884219999999971
-60,-355671.8,-280.19067,5.100000000034925,3.721869999999967
-45,-355674.16,-281.8125,2.7400000000488944,2.1000399999999786
-30,-355675.75,-282.96472,1.150000000023283,0.9478199999999788
-15,-355676.62,-283.67026,0.2800000000279397,0.24227999999999383
0,-355676.9,-283.91254,0,0
15,-355676.62,-283.67026,0.2800000000279397,0.24227999999999383
30,-355675.75,-282.9636,1.150000000023283,0.9489399999999932
45,-355674.16,-281.8125,2.7400000000488944,2.1000399999999786
60,-355671.8,-280.19067,5.100000000034925,3.721869999999967
75,-355668.78,-278.0369,8.119999999995343,5.875639999999976
90,-355665.5,-275.5863,11.400000000023285,8.326239999999984
105,-355668.28,-277.96112,8.619999999995343,5.951419999999985
120,-355671.3,-280.1263,5.600000000034925,3.786239999999964
135,-355673.8,-281.79758,3.1000000000349246,2.1149599999999964
150,-355675.56,-282.95685,1.3400000000256114,0.9556900000000041
165,-355676.6,-283.671,0.3000000000465661,0.24153999999998632
180,-355676.9,-283.91205,0,0.0004899999999565807
-165,-431949.5,25.026173,0.1599999999743886,2.1626420000000017
-150,-431949.62,23.474669,0.0399999999790452,0.6111380000000004
-135,-431949.1,22.867954,0.5599999999976717,0.00442300000000273
-120,-431948.06,23.080149,1.599999999976717,0.21661800000000042
-105,-431946.97,23.941748,2.6900000000023283,1.0782170000000022
-90,-431946.3,25.289099,3.35999999998603,2.425568000000002
-75,-431947.03,23.994509,2.629999999946449,1.1309780000000025
-60,-431948.16,23.129652,1.5,0.26612100000000183
-45,-431949.2,22.884165,0.4599999999627471,0.02063400000000115
-30,-431949.66,23.611147,0,0.7476160000000007
-15,-431949.44,25.31669,0.2199999999720603,2.453159000000003
0,-431948.75,27.478035,0.9099999999743886,4.614504
15,-431949.44,25.315733,0.2199999999720603,2.4522020000000033
30,-431949.66,23.615343,0,0.751812000000001
45,-431949.2,22.886946,0.4599999999627471,0.023414999999999964
60,-431948.16,23.129648,1.5,0.26611700000000127
75,-431947.03,23.997814,2.629999999946449,1.1342830000000035
90,-431946.3,25.28865,3.35999999998603,2.4251190000000022
105,-431946.97,23.939062,2.6900000000023283,1.0755310000000016
120,-431948.06,23.077774,1.599999999976717,0.2142430000000033
135,-431949.1,22.863531,0.5599999999976717,0
150,-431949.62,23.488792,0.0399999999790452,0.6252610000000018
165,-431949.5,25.044338,0.1599999999743886,2.1808070000000015
180,-431948.8,27.261868,0.8599999999860302,4.3983370000000015
-165,-488362.53,-13.160925,2.769999999960419,1.7707509999999989
-150,-488363.25,-13.326522,2.0499999999883585,1.6051539999999989
-135,-488364.12,-13.69667,1.179999999993015,1.2350060000000003
-120,-488364.94,-14.20344,0.3599999999860301,0.728235999999999
-105,-488365.3,-14.753544,0,0.17813199999999973
-90,-488364.8,-14.915287,0.5,0.01638900000000021
-75,-488363.97,-14.931676,1.330000000016298,0
-60,-488363.25,-14.696308,2.0499999999883585,0.23536799999999936
-45,-488363,-14.349672,2.2999999999883585,0.5820039999999995
-30,-488363.12,-14.060213,2.179999999993015,0.8714630000000003
-15,-488363.34,-13.817373,1.959999999962747,1.1143029999999996
0,-488363.6,-13.647529,1.7000000000116415,1.284146999999999
15,-488363.38,-13.813868,1.9199999999837016,1.1178080000000001
30,-488363.12,-14.06021,2.179999999993015,0.8714659999999999
45,-488363,-14.368727,2.2999999999883585,0.5629489999999997
60,-488363.25,-14.697382,2.0499999999883585,0.23429400000000022
75,-488363.97,-14.925295,1.330000000016298,0.006380999999999304
90,-488364.8,-14.915286,0.5,0.01638999999999946
105,-488365.3,-14.754286,0,0.17738999999999905
120,-488364.94,-14.197936,0.3599999999860301,0.7337399999999992
135,-488364.12,-13.696671,1.179999999993015,1.2350049999999992
150,-488363.25,-13.3291445,2.0499999999883585,1.6025314999999996
165,-488362.53,-13.160884,2.769999999960419,1.7707920000000001
180,-488362.34,-13.0948925,2.959999999962747,1.8367834999999992
-165,-501513.16,-86.76413,0.5,1.0790860000000038
-150,-501513.66,-87.67681,0,0.16640599999999495
-135,-501513.6,-87.843216,0.0599999999976716,0
-120,-501513.06,-87.291016,0.5999999999767169,0.5521999999999991
-105,-501512.28,-86.33935,1.379999999946449,1.5038660000000021
-90,-501511.56,-85.48098,2.099999999976717,2.362235999999996
-75,-501511.72,-85.15428,1.9400000000023283,2.688935999999998
-60,-501512.47,-85.426155,1.1900000000023283,2.417061000000004
-45,-501513.16,-85.41527,0.5,2.4279459999999915
-30,-501513.28,-84.58334,0.3799999999464489,3.2598759999999913
-15,-501512.88,-83.042854,0.779999999969732,4.800361999999993
0,-501512.3,-81.72994,1.3599999999860302,6.113275999999999
15,-501512.88,-83.05368,0.779999999969732,4.789535999999998
30,-501513.28,-84.588776,0.3799999999464489,3.2544400000000024
45,-501513.16,-85.41663,0.5,2.4265860000000004
60,-501512.47,-85.4225,1.1900000000023283,2.4207159999999988
75,-501511.75,-85.243546,1.9099999999743889,2.5996700000000033
90,-501511.56,-85.48,2.099999999976717,2.363215999999994
105,-501512.28,-86.35908,1.379999999946449,1.4841359999999924
120,-501513,-87.278786,0.6599999999743886,0.5644300000000015
135,-501513.6,-87.84291,0.0599999999976716,0.0003059999999948104
150,-501513.66,-87.67366,0,0.16955600000000004
165,-501513.16,-86.76576,0.5,1.077455999999998
180,-501512.53,-85.88321,1.129999999946449,1.9600059999999928
-165,-408151.1,-63.009,1.3400000000256114,2.051776000000004
-150,-408151.47,-64.23182,0.970000000030268,0.8289560000000051
-135,-408151.16,-64.45032,1.2800000000279397,0.6104559999999992
-120,-408150.34,-64.00227,2.099999999976717,1.0585060000000084
-105,-408151.5,-64.86089,0.9400000000023284,0.19988600000000645
-90,-408151.12,-64.31614,1.320000000006985,0.7446359999999999
-75,-408151.44,-64.434074,1,0.6267020000000088
-60,-408152.1,-64.851616,0.3400000000256113,0.20915999999999713
-45,-408152.44,-65.022026,0,0.03875000000000739
-30,-408152.16,-64.5038,0.2800000000279397,0.5569760000000059
-15,-408151.12,-62.954685,1.320000000006985,2.1060910000000064
0,-408149.5,-60.134212,2.9400000000023283,4.926564000000006
15,-408150.78,-62.490574,1.6599999999743886,2.570202000000002
30,-408151.44,-63.925877,1,1.1348990000000043
45,-408151.38,-64.34992,1.0599999999976717,0.7108560000000068
60,-408150.72,-63.95101,1.720000000030268,1.1097660000000076
75,-408151.72,-64.87671,0.720000000030268,0.1840660000000014
90,-408151.12,-64.32966,1.320000000006985,0.7311160000000001
105,-408151.28,-64.4444,1.1599999999743886,0.6163760000000025
120,-408151.88,-64.805565,0.5599999999976717,0.25521100000000274
135,-408152.34,-65.060776,0.0999999999767169,0
150,-408152.34,-64.77248,0.0999999999767169,0.28829600000000255
165,-408151.56,-63.52295,0.8800000000046566,1.5378260000000026
180,-408149.94,-60.80025,2.5,4.260526000000006
-165,-395953.88,-3.8075318,3.2399999999906868,2.8008118000000004
-150,-395954.94,-4.339127,2.179999999993015,2.2692166
-135,-395955.9,-5.0053906,1.2199999999720603,1.6029530000000003
-120,-395956.62,-5.52862,0.5,1.0797236000000003
-105,-395957.03,-6.089897,0.0899999999674037,0.5184466000000008
-90,-395957.12,-6.5309696,0,0.07737400000000072
-75,-395956.84,-6.5957127,0.279999999969732,0.012630900000000445
-60,-395956.2,-6.270808,0.919999999983702,0.3375356000000007
-45,-395955.28,-4.2754908,1.839999999967404,2.3328528000000004
-30,-395955.22,-4.0768795,1.900000000023283,2.5314641
-15,-395955.2,-4.095738,1.9199999999837016,2.5126056000000005
0,-395955.03,-4.1357913,2.089999999967404,2.4725523000000003
15,-395955.2,-4.095738,1.9199999999837016,2.5126056000000005
30,-395955.22,-4.0539355,1.900000000023283,2.5544081000000007
45,-395955.28,-4.264725,1.839999999967404,2.3436186
60,-395956.16,-6.3072314,0.9600000000209548,0.3011122000000004
75,-395956.84,-6.6083436,0.279999999969732,0
90,-395957.12,-6.532512,0,0.07583160000000078
105,-395957.03,-6.087749,0.0899999999674037,0.5205946000000008
120,-395956.62,-5.55545,0.5,1.0528936
135,-395955.9,-5.0024915,1.2199999999720603,1.6058521000000008
150,-395954.94,-4.339122,2.179999999993015,2.2692216000000007
165,-395953.88,-3.7916498,3.2399999999906868,2.8166938000000004
180,-395953.22,-3.348289,3.900000000023283,3.2600546000000006
-165,-334273.22,-26.382654,0,5.364718
-150,-334271.84,-24.52192,1.379999999946449,7.225451999999997
-135,-334269.75,-22.026915,3.4699999999720603,9.720457
-120,-334266.8,-18.474264,6.419999999983702,13.273107999999997
-105,-334263.22,-14.736289,10,17.011083
-90,-334260.75,-11.710984,12.46999999997206,20.036388
-75,-334261.6,-14.283615,11.619999999995343,17.463757
-60,-334264.3,-19.24442,8.919999999983702,12.502951999999997
-45,-334267.2,-24.028135,6.019999999960419,7.719237
-30,-334269.47,-28.072702,3.75,3.674669999999999
-15,-334270.78,-30.89985,2.4399999999441206,0.8475219999999979
0,-334271.2,-31.747372,2.019999999960419,0
15,-334270.78,-30.893074,2.4399999999441206,0.854298
30,-334269.47,-28.07892,3.75,3.6684519999999985
45,-334267.2,-24.036589,6.019999999960419,7.710782999999999
60,-334264.3,-19.2445,8.919999999983702,12.502872
75,-334261.6,-14.392796,11.619999999995343,17.354575999999998
90,-334260.75,-11.706324,12.46999999997206,20.041047999999996
105,-334263.25,-14.828168,9.96999999997206,16.919204
120,-334266.75,-18.474066,6.46999999997206,13.273305999999998
135,-334269.75,-21.989243,3.4699999999720603,9.758129
150,-334271.84,-24.52214,1.379999999946449,7.225231999999998
165,-334273.22,-26.377052,0,5.3703199999999995
180,-334272.3,-29.729572,0.919999999983702,2.0177999999999976
-165,-600008.1,4.4442377,0,0.9606163000000003
-150,-600008.06,4.1286664,0.0399999999208375,0.6450450000000001
-135,-600007.94,3.8944964,0.1600000000325963,0.4108749999999999
-120,-600007.9,3.634768,0.1999999999534338,0.15114660000000013
-105,-600007.8,3.4836214,0.2999999999301508,0
-90,-600007.56,3.7340884,0.5399999999208376,0.250467
-75,-600006.44,4.784915,1.6600000000325963,1.3012935999999997
-60,-600005.94,5.583282,2.1600000000325963,2.0996605999999995
-45,-600004.44,7.259688,3.660000000032596,3.7760665999999996
-30,-600002.6,9.396928,5.5,5.9133066
-15,-600001.25,11.197493,6.849999999976717,7.713871599999999
0,-600000.75,12.018051,7.349999999976717,8.5344296
15,-600001.25,11.197852,6.849999999976717,7.714230599999999
30,-600002.6,9.396929,5.5,5.9133075999999996
45,-600004.44,7.277865,3.660000000032596,3.7942436
60,-600005.7,6.50394,2.400000000023283,3.0203186
75,-600006.9,4.7803288,1.199999999953434,1.2967074000000003
90,-600007.56,3.7340736,0.5399999999208376,0.2504521999999998
105,-600007.8,3.483831,0.2999999999301508,0.00020959999999980994
120,-600007.9,3.6339166,0.1999999999534338,0.15029519999999996
135,-600007.94,3.8958116,0.1600000000325963,0.41219019999999995
150,-600008.06,4.1352663,0.0399999999208375,0.6516448999999995
165,-600008.1,4.451028,0,0.9674065999999999
180,-600008,4.8441954,0.0999999999767169,1.3605740000000002
-165,-318672.8,-339.88028,0.400000000023283,2.76488999999998
-150,-318671.56,-341.0962,1.6400000000139698,1.548969999999997
-135,-318669.88,-342.29938,3.320000000006985,0.34579000000002225
-120,-318668.03,-342.64517,5.169999999983702,0
-105,-318666.5,-342.08603,6.7000000000116415,0.5591400000000135
-90,-318665.97,-341.6345,7.230000000039581,1.0106700000000046
-75,-318666.78,-341.98575,6.419999999983702,0.6594200000000114
-60,-318668.38,-342.4578,4.820000000006985,0.18736999999998716
-45,-318670.2,-342.12302,3,0.5221500000000106
-30,-318671.78,-341.04,1.419999999983702,1.6051699999999869
-15,-318673.2,-339.50085,0,3.1443199999999933
0,-318672.8,-335.44058,0.400000000023283,7.204589999999996
15,-318673.2,-339.5012,0,3.1439700000000244
30,-318671.78,-341.02298,1.419999999983702,1.6221899999999891
45,-318670.2,-342.11288,3,0.532289999999989
60,-318668.38,-342.46353,4.820000000006985,0.1816400000000158
75,-318666.78,-341.98572,6.419999999983702,0.6594499999999925
90,-318665.97,-341.6345,7.230000000039581,1.0106700000000046
105,-318666.5,-342.10718,6.7000000000116415,0.5379899999999793
120,-318668.03,-342.59476,5.169999999983702,0.0504099999999994
135,-318669.88,-342.30585,3.320000000006985,0.3393199999999865
150,-318671.56,-341.09378,1.6400000000139698,1.5513900000000262
165,-318673.12,-339.61813,0.0800000000162981,3.0270399999999995
180,-318672.8,-335.45297,0.400000000023283,7.192200000000014
-165,-440696.7,70.0695,0.5199999999604188,0.8565560000000119
-150,-440695.34,71.4542,1.879999999946449,2.241256000000007
-135,-440693.97,73.94841,3.25,4.735466000000002
-120,-440693.16,75.97435,4.059999999997672,6.761406000000008
-105,-440694.06,72.900856,3.1599999999743886,3.6879120000000114
-90,-440695.44,70.44308,1.779999999969732,1.2301360000000017
-75,-440696.72,69.212944,0.5,0
-60,-440697.22,69.32103,0,0.10808600000000013
-45,-440696.7,70.16661,0.5199999999604188,0.9536660000000126
-30,-440695.34,71.584305,1.879999999946449,2.3713610000000074
-15,-440693.97,74.17939,3.25,4.966446000000005
0,-440693.1,76.50861,4.119999999995343,7.295666000000011
15,-440693.94,73.25094,3.279999999969732,4.037996000000007
30,-440695.34,70.64836,1.879999999946449,1.4354160000000036
45,-440696.72,69.33831,0.5,0.12536600000001386
60,-440697.22,69.30182,0,0.08887600000001328
75,-440696.7,70.03134,0.5199999999604188,0.818396000000007
90,-440695.4,71.38447,1.8199999999487773,2.171526
105,-440694.1,73.783035,3.1199999999953434,4.570091000000005
120,-440693.22,76.83024,4,7.61729600000001
135,-440693.94,73.111244,3.279999999969732,3.898300000000006
150,-440695.34,70.48409,1.879999999946449,1.2711460000000017
165,-440696.7,69.25792,0.5199999999604188,0.044976000000005456
180,-440697.22,69.30209,0,0.08914600000001371
-165,-422004.8,15.967939,1.320000000006985,0.6367599999999989
-150,-422004.4,16.465626,1.7199999999720603,1.1344469999999998
-135,-422003.94,16.58903,2.179999999993015,1.2578510000000005
-120,-422004.22,18.041357,1.900000000023283,2.710178000000001
-105,-422004.75,17.798557,1.3699999999953434,2.4673779999999983
-90,-422004.2,15.737034,1.9199999999837016,0.40585499999999897
-75,-422004.3,15.331179,1.820000000006985,0
-60,-422004.97,17.195377,1.150000000023283,1.864198
-45,-422003.9,17.550282,2.2199999999720603,2.2191029999999987
-30,-422002.44,18.84269,3.679999999993015,3.5115110000000005
-15,-422001.22,20.178139,4.900000000023283,4.846960000000001
