scan,Reference Energy,resff_relative_energy,wb97m_relative_energy
180,0,0.000976563,0
-170,0.279,0.28027344,0.211593
-160,0.863,0.93066406,0.68617125
-150,1.742,1.8886719,1.43465325
-140,2.854,3.0429688,2.44179075
-130,4.093,4.3222656,3.641508
-120,5.295,5.616211,4.89519025
-110,6.318,6.9335938,6.05619075
-100,7.13,8.199219,7.02756075
-90,7.82,10.518555,7.4016135
-80,7.667,10.762695,7.27190925
-70,7.548,10.78418,7.19334625
-60,7.503,10.8046875,7.17966675
-50,7.541,10.865234,7.24329525
-40,7.639,10.831055,7.34093425
-30,7.79,10.731445,7.47496825
-20,8.144,10.703125,7.65857475
-10,8.72,10.759766,7.85711575
0,9.215,10.832031,8.0421655
10,8.72,10.759766,7.85711575
20,8.144,10.704102,7.65857475
30,7.79,10.731445,7.47496825
40,7.639,10.832031,7.34093425
50,7.541,10.865234,7.24329525
60,7.503,10.8046875,7.179604
70,7.548,10.78418,7.19334625
80,7.667,10.762695,7.27190925
90,7.82,10.519531,7.40042125
100,7.13,8.199219,7.02756075
110,6.318,6.9375,6.05619075
120,5.295,5.616211,4.89519025
130,4.093,4.3222656,3.641508
140,2.854,3.0429688,2.44179075
150,1.742,1.8857422,1.43465325
160,0.863,0.93066406,0.68617125
170,0.279,0.27929688,0.211593
180,0,0,0
-170,0.124,0.17089844,0.10397675
-160,0.504,0.6113281,0.398839
-150,1.136,1.2841797,0.885528
-140,2.014,2.1484375,1.58261775
-130,3.081,3.0917969,2.4257895
-120,4.271,4.0351562,3.3539875
-110,5.434,4.8984375,4.2563325
-100,6.368,5.5996094,4.9862405
-90,6.909,5.970703,5.407293
-80,6.924,5.984375,5.46646625
-70,6.423,5.682617,5.139476
-60,5.607,5.140625,4.577989
-50,4.724,4.4541016,3.9237575
-40,3.96,3.758789,3.327507
-30,3.369,3.171875,2.862404
-20,2.974,2.7460938,2.546897
-10,2.776,2.5019531,2.39454
0,2.675,2.3623047,2.29934825
10,2.776,2.5029297,2.39454
20,2.974,2.7460938,2.546897
30,3.365,3.1748047,2.86008225
40,3.96,3.758789,3.32744425
50,4.724,4.4541016,3.9237575
60,5.607,5.140625,4.577989
70,6.423,5.6835938,5.13953875
80,6.924,5.984375,5.46646625
90,6.907,5.970703,5.40723025
100,6.368,5.5996094,4.98630325
110,5.434,4.8984375,4.2563325
120,4.271,4.0351562,3.3539875
130,3.081,3.0917969,2.42572675
140,2.014,2.1484375,1.58261775
150,1.136,1.2841797,0.885528
160,0.504,0.6113281,0.398839
170,0.124,0.16992188,0.10397675
180,0,0,0
-170,0.169,0.1796875,0.152859
-160,0.515,0.484375,0.43429275
-150,1.194,1.0224609,0.98699475
-140,2.222,1.7568359,1.8304175
-130,3.548,2.6738281,2.929923
-120,5.04,3.6552734,4.15185375
-110,6.496,4.6464844,5.311913
-100,7.67,5.4140625,6.22687075
-90,8.344,5.7265625,6.723537
-80,8.418,5.651367,6.785785
-70,8.01,5.381836,6.53873825
-60,7.388,5.0585938,6.13902075
-50,6.848,4.9091797,5.824204
-40,6.606,4.966797,5.751163
-30,6.746,5.178711,5.99833525
-20,7.242,5.4921875,6.5321495
-10,7.898,5.7597656,7.14251875
0,8.142,5.5976562,7.26676375
10,7.902,5.763672,7.1463465
20,7.244,5.4902344,6.53221225
30,6.742,5.1777344,5.9965155
40,6.608,4.9628906,5.75323375
50,6.85,4.9101562,5.8248315
60,7.388,5.060547,6.13902075
70,8.012,5.3896484,6.53811075
80,8.416,5.649414,6.78547125
90,8.344,5.7226562,6.72083875
100,7.67,5.4160156,6.22661975
110,6.498,4.645508,5.31410925
120,5.04,3.647461,4.15348525
130,3.55,2.6816406,2.93224475
140,2.222,1.7636719,1.83022925
150,1.192,1.0175781,0.98511225
160,0.519,0.49414062,0.43730475
170,0.169,0.17773438,0.1517295
180,0,0,0
-170,0.15,0.1743164,0.1419405
-160,0.595,0.68115234,0.58727725
-150,1.223,1.3349609,1.1883595
-140,1.936,2.0395508,1.8791115
-130,2.521,2.637207,2.473103
-120,2.79,3.0385742,2.783088
-110,2.879,3.2993164,2.91793775
-100,2.923,3.4970703,3.009992
-90,2.95,3.5732422,3.035343
-80,2.924,3.4609375,3.00252475
-70,2.865,3.2460938,2.90174825
-60,2.736,2.9501953,2.73332725
-50,2.4,2.5273438,2.38004475
-40,1.797,1.9208984,1.786367
-30,1.133,1.2114258,1.1228485
-20,0.561,0.60253906,0.554208
-10,0.135,0.15039062,0.12556275
0,0,0,0
10,0.135,0.15039062,0.12619025
20,0.561,0.6020508,0.555965
30,1.133,1.2138672,1.123225
40,1.795,1.918457,1.7867435
50,2.4,2.5302734,2.380484
60,2.736,2.949707,2.733139
70,2.865,3.2426758,2.9011835
80,2.924,3.461914,3.003215
90,2.95,3.5791016,3.036347
100,2.923,3.4926758,3.00754475
110,2.881,3.2949219,2.918126
120,2.788,3.0327148,2.78089175
130,2.521,2.6313477,2.47235
140,1.936,2.036621,1.8796135
150,1.223,1.3339844,1.1878575
160,0.595,0.6816406,0.58727725
170,0.15,0.17773438,0.1429445
180,0.002,0.002929688,0.00207075
-170,0.449,0.51953125,0.36087525
-160,1.011,1.1367188,0.86237325
-150,1.811,1.8964844,1.55789425
-140,2.666,2.5859375,2.29194375
-130,3.349,3.0449219,2.8514855
-120,3.627,3.1679688,3.047642
-110,3.345,2.9345703,2.81050975
-100,2.58,2.3720703,2.18376275
-90,1.596,1.5532227,1.36399675
-80,0.682,0.7138672,0.569017
-70,0.104,0.09716797,0.053463
-60,0.002,0,0.00031375
-50,0.463,0.49609375,0.453306
-40,1.388,1.3535156,1.33211975
-30,2.602,2.368164,2.450011
-20,3.835,3.2958984,3.544371
-10,4.765,3.9257812,4.335774
0,5.113,4.145996,4.6190275
10,4.765,3.925293,4.33533475
20,3.835,3.2958984,3.54380625
30,2.604,2.364746,2.450764
40,1.39,1.3540039,1.3336885
50,0.461,0.4951172,0.452553
60,0,0,0
70,0.104,0.096191406,0.053965
80,0.68,0.71484375,0.568766
90,1.598,1.5541992,1.36487525
100,2.582,2.3740234,2.184955
110,3.345,2.9311523,2.81076075
120,3.625,3.1679688,3.0470145
130,3.349,3.0454102,2.85167375
140,2.666,2.586914,2.2917555
150,1.809,1.8925781,1.556702
160,1.011,1.1391602,0.86237325
170,0.447,0.52490234,0.360687
180,0.245,0.28173828,0.1718095
-170,0.212,0.2553711,0.202557
-160,0.805,0.92285156,0.758271
-150,1.649,1.7783203,1.54245775
-140,2.546,2.546875,2.356639
-130,3.249,3.0566406,2.96851425
-120,3.53,3.2626953,3.20909775
-110,3.273,3.0942383,3.00867425
-100,2.567,2.4951172,2.41920075
-90,1.692,1.6821289,1.65804325
-80,1.034,0.8989258,1.00067425
-70,0.672,0.52685547,0.6243625
-60,0.657,0.47558594,0.59279925
-50,1.044,0.7631836,0.96879725
-40,1.854,1.5317383,1.7694245
-30,2.958,2.6391602,2.86736125
-20,4.186,3.741211,4.027295
-10,5.242,4.557129,4.9438215
0,5.651,4.880371,5.29515875
10,5.242,4.5581055,4.94413525
20,4.186,3.7387695,4.02698125
30,2.958,2.6396484,2.8670475
40,1.854,1.5307617,1.76948725
50,1.044,0.76220703,0.96917375
60,0.657,0.47607422,0.59317575
70,0.672,0.52441406,0.6243625
80,1.034,0.8979492,1.00117625
90,1.692,1.6845703,1.658106
100,2.571,2.4995117,2.420393
110,3.273,3.0908203,3.0088625
120,3.53,3.2636719,3.209035
130,3.249,3.0595703,2.968828
140,2.544,2.5439453,2.35594875
150,1.651,1.7753906,1.542897
160,0.805,0.92333984,0.758271
170,0.212,0.2524414,0.20236875
180,0,0,0
-170,0.343,0.421875,0.3224095
-160,1.115,1.2294922,1.0475485
-150,2.156,2.2524414,2.01873025
-140,3.229,3.253418,2.959541
-130,4.054,3.9882812,3.654811
-120,4.378,4.2719727,3.91666675
-110,4.092,4.0595703,3.68850775
-100,3.294,3.409668,3.0462615
-90,2.251,2.4453125,2.14849725
-80,1.243,1.4414062,1.2480975
-70,0.517,0.64697266,0.58614775
-60,0.21,0.2685547,0.277355
-50,0.403,0.5234375,0.4948465
-40,1.045,1.265625,1.093105
-30,2.008,2.2519531,1.96351025
-20,3.073,3.2509766,2.88217025
-10,3.955,3.975586,3.59438275
0,4.371,4.2695312,3.91026625
10,4.168,4.0859375,3.74046475
20,3.433,3.446289,3.1200555
30,2.398,2.4975586,2.22191475
40,1.335,1.4570312,1.24163425
50,0.487,0.5888672,0.44872525
60,0.034,0.049804688,0.03319475
70,0.097,0.05517578,0.06620125
80,0.622,0.64941406,0.53042575
90,1.46,1.5454102,1.25355675
100,2.37,2.4648438,2.0266995
110,3.105,3.1308594,2.63430775
120,3.42,3.4013672,2.8660435
130,3.195,3.2260742,2.69956775
140,2.518,2.6396484,2.15401925
150,1.632,1.7504883,1.3971915
160,0.778,0.83154297,0.658373
170,0.178,0.14501953,0.13384575
180,0,0,0
-170,1.23,2.0517578,1.456051
-160,0.556,1.1308594,0.71829925
-150,0.101,0.38476562,0.175449
-140,0.002,0.015625,0
-130,0.348,0.109375,0.19734875
-120,0.987,0.60253906,0.677198
-110,1.744,1.2617188,1.2731975
-100,2.374,1.4443359,1.78630425
-90,2.584,1.6748047,1.9534075
-80,2.369,1.4541016,1.78755925
-70,1.745,1.2861328,1.3013095
-60,1.052,0.67285156,0.74264625
-50,0.425,0.16503906,0.2596595
-40,0.046,0,0.01361675
-30,0.074,0.29101562,0.135038
-20,0.512,1.0478516,0.663644
-10,1.22,2.0419922,1.4566785
0,1.852,2.7753906,2.040881
10,1.216,2.0351562,1.454043
20,0.512,1.0488281,0.66596575
30,0.074,0.29589844,0.13798725
40,0.048,0.002929688,0.01506
50,0.425,0.1640625,0.257526
60,1.052,0.6669922,0.74045
70,1.747,1.2871094,1.30250175
80,2.371,1.4560547,1.78963
90,2.584,1.6816406,1.955541
100,2.376,1.4472656,1.78806125
110,1.744,1.2548828,1.27300925
120,0.987,0.6074219,0.6773235
130,0.348,0.11328125,0.19835275
140,0,0.018554688,0.0006275
150,0.101,0.390625,0.1745705
160,0.556,1.1318359,0.7162285
170,1.232,2.0458984,1.45573725
180,1.71,2.5761719,1.83838675
-170,2.145,2.5097656,1.9109885
-160,0.971,1.3183594,0.852898
-150,0.264,0.51171875,0.2207545
-140,0,0.08203125,0.0001255
-130,0.15,0,0.11062825
-120,0.458,0.087890625,0.39337975
-110,0.868,0.24902344,0.70512175
-100,1.204,0.39257812,0.93917925
-90,1.292,0.40429688,0.9875595
-80,1.121,0.38476562,0.8808845
-70,0.742,0.23339844,0.604157
-60,0.321,0.07519531,0.26913475
-50,0.055,0.00390625,0.03043375
-40,0.045,0.21191406,0.053714
-30,0.495,0.7949219,0.46930725
-20,1.423,1.7773438,1.3228955
-10,2.799,3.1054688,2.57971525
0,4.523,4.6064453,4.1393665
10,2.799,3.1015625,2.58009175
20,1.425,1.7792969,1.32358575
30,0.495,0.79003906,0.4697465
40,0.043,0.21191406,0.053463
50,0.055,0.010742188,0.03118675
60,0.321,0.07421875,0.2704525
70,0.742,0.22558594,0.60233725
80,1.121,0.38085938,0.8798805
90,1.29,0.39648438,0.9863045
100,1.202,0.39160156,0.93874
110,0.866,0.24511719,0.703051
120,0.458,0.09082031,0.39476025
130,0.15,0.000976563,0.11037725
140,0,0.08886719,0
150,0.262,0.50878906,0.219123
160,0.969,1.3173828,0.8510155
170,2.145,2.5146484,1.912369
180,3.743,4.008789,3.355117
-170,6.203,5.175293,5.9237255
-160,6.345,5.3095703,6.00887725
-150,6.631,5.598633,6.19449175
-140,7.055,5.991211,6.45791625
-130,7.488,6.3603516,6.70452375
-120,7.917,6.600586,6.92063475
-110,8.286,6.8442383,7.08453775
-100,8.405,6.9277344,7.0642695
-90,8.079,6.650879,6.71782675
-80,7.239,6.044922,6.030526
-70,6.021,5.223633,5.03637775
-60,4.639,4.3115234,3.9164785
-50,3.288,3.3422852,2.81327075
-40,2.121,2.3725586,1.8422145
-30,1.192,1.4633789,1.057212
-20,0.526,0.6948242,0.48010025
-10,0.135,0.18847656,0.1286375
0,0,0,0
10,0.135,0.19140625,0.130269
20,0.526,0.69091797,0.47934725
30,1.192,1.4638672,1.056208
40,2.121,2.3691406,1.84227725
50,3.29,3.3447266,2.81371
60,4.639,4.3095703,3.9169805
70,6.021,5.224121,5.03662875
80,7.239,6.0424805,6.02983575
90,8.081,6.647949,6.71770125
100,8.407,6.929199,7.064897
110,8.284,6.838379,7.08315725
120,7.917,6.6030273,6.92050925
130,7.49,6.3598633,6.7058415
140,7.055,5.9882812,6.458732
150,6.631,5.595215,6.19160525
160,6.343,5.2998047,6.005677
170,6.203,5.1782227,5.92617275
180,6.16,5.130371,5.8873305
-170,3.029,3.581543,2.709043
-160,3.415,3.8496094,2.9810015
-150,4.071,4.277832,3.43813525
-140,4.975,4.8325195,4.0530225
-130,6.075,5.4975586,4.7748985
-120,7.267,6.2802734,5.5474765
-110,8.422,7.150879,6.24067575
-100,9.264,7.8549805,6.68143175
-90,9.367,8.032227,6.760434
-80,8.506,7.4780273,6.342268
-70,7.063,6.498535,5.4400485
-60,5.418,5.302246,4.29530025
-50,3.834,3.9985352,3.093324
-40,2.458,2.7089844,2.0053645
-30,1.366,1.5786133,1.12830775
-20,0.594,0.7207031,0.49967825
-10,0.143,0.18310547,0.12292725
0,0,0,0
10,0.143,0.18310547,0.12292725
20,0.594,0.7207031,0.49967825
30,1.366,1.578125,1.12830775
40,2.458,2.708496,2.0053645
50,3.834,4,3.093324
60,5.418,5.3027344,4.29530025
70,7.063,6.498535,5.4400485
80,8.506,7.4785156,6.34233075
90,9.367,8.032227,6.76037125
100,9.264,7.8554688,6.68143175
110,8.424,7.150879,6.2407385
120,7.267,6.2807617,5.5474765
130,6.075,5.4975586,4.7748985
140,4.975,4.8325195,4.0530225
150,4.071,4.277832,3.43813525
160,3.415,3.8500977,2.98106425
170,3.029,3.581543,2.709043
180,2.907,3.474121,2.609145
-170,11.284,8.861328,10.2675315
-160,11.366,8.892578,10.1806855
-150,11.61,8.995117,10.17095925
-140,12.089,9.231445,10.32507325
-130,12.818,9.583984,10.6490515
-120,13.319,10.238281,10.8340385
-110,13.823,10.4765625,10.855248
-100,14.37,11.061523,10.9366975
-90,13.7,10.399414,10.4736025
-80,11.732,9.099609,9.315363
-70,9.311,7.6103516,7.64087925
-60,6.91,6.1054688,5.7954645
-50,4.78,4.567383,4.054905
-40,3.021,3.0839844,2.56327475
-30,1.669,1.8066406,1.4167695
-20,0.722,0.8359375,0.62404875
-10,0.169,0.21875,0.153361
0,0,0,0
10,0.169,0.21972656,0.153361
20,0.722,0.8359375,0.62404875
30,1.669,1.8066406,1.4167695
40,3.021,3.0830078,2.56327475
50,4.78,4.567383,4.054905
60,6.91,6.1054688,5.79540175
70,9.311,7.6103516,7.640942
80,11.732,9.100586,9.315363
90,13.7,10.399414,10.4736025
100,14.37,11.061523,10.9366975
110,13.823,10.4765625,10.85518525
120,13.319,10.238281,10.8340385
130,12.818,9.583984,10.6490515
140,12.089,9.229492,10.32507325
150,11.61,8.995117,10.17095925
160,11.366,8.892578,10.1806855
170,11.284,8.861328,10.2675315
180,11.245,8.888672,10.304303
-170,5.735,6.227539,5.487111
-160,6.052,6.5336914,5.68107125
-150,6.653,6.963379,6.0306515
-140,7.505,7.520996,6.52367825
-130,8.516,8.164551,7.1064375
-120,9.556,8.851074,7.6719405
-110,10.441,9.490234,8.09682075
-100,10.899,9.859863,8.26292
-90,10.617,9.710449,8.0446755
-80,9.562,9.057129,7.372121
-70,7.971,8.003418,6.2901855
-60,6.164,6.6328125,4.99345675
-50,4.413,5.063965,3.65625425
-40,2.871,3.4658203,2.4210205
-30,1.63,2.0517578,1.400078
-20,0.72,0.9448242,0.6323945
-10,0.18,0.24414062,0.16133025
0,0,0,0
10,0.18,0.24414062,0.16133025
20,0.72,0.9448242,0.6323945
30,1.63,2.052246,1.400078
40,2.871,3.4658203,2.4210205
50,4.413,5.063965,3.65625425
60,6.164,6.6328125,4.99345675
70,7.971,8.003418,6.2901855
80,9.562,9.057129,7.372121
90,10.617,9.709961,8.04461275
100,10.899,9.860352,8.26292
110,10.441,9.490234,8.09682075
120,9.556,8.852051,7.6719405
130,8.516,8.164551,7.1064375
140,7.505,7.5214844,6.523741
150,6.653,6.963867,6.0306515
160,6.052,6.5336914,5.68107125
170,5.735,6.227539,5.487111
180,5.645,6.104492,5.429632
-170,5.689,3.6064453,5.69776275
-160,5.107,3.3535156,5.17216875
-150,4.426,2.9335938,4.509968
-140,3.795,2.5253906,3.8758165
-130,3.283,2.2167969,3.36070175
-120,2.923,2.0058594,2.986147
-110,2.708,1.9121094,2.759745
-100,2.616,1.8945312,2.65463875
-90,2.606,1.9091797,2.63430775
-80,2.62,1.9716797,2.645038
-70,2.583,1.9833984,2.59785
-60,2.379,1.6933594,2.39761475
-50,1.945,1.1523438,1.9642005
-40,1.378,0.65625,1.395811
-30,0.875,0.32128906,0.84643475
-20,0.444,0.091796875,0.40831425
-10,0.141,0.000976563,0.1248725
0,0,0,0
10,0.141,0.000976563,0.1248725
20,0.444,0.091796875,0.40831425
30,0.875,0.32226562,0.84643475
40,1.378,0.65625,1.395811
50,1.945,1.1523438,1.96413775
60,2.379,1.6933594,2.39761475
70,2.583,1.9833984,2.59785
80,2.62,1.9707031,2.645038
90,2.606,1.9091797,2.63430775
100,2.616,1.8945312,2.654576
110,2.708,1.9121094,2.759745
120,2.923,2.0058594,2.986147
130,3.283,2.2167969,3.36070175
140,3.795,2.5253906,3.8758165
150,4.426,2.9335938,4.509968
160,5.107,3.3535156,5.17216875
170,5.689,3.6064453,5.69776275
180,5.943,3.522461,5.87534525
-170,0.1,0.2919922,0.095129
-160,0.316,0.33691406,0.3118675
-150,0.433,0,0.310989
-140,0.543,0.025390625,0.4775275
-130,0.693,0.20898438,0.6733075
-120,0.854,0.5263672,0.88101
-110,1.033,0.83691406,1.10408625
-100,1.254,1.1787109,1.367197
-90,1.551,1.5527344,1.68577875
-80,1.955,1.953125,2.07545625
-70,2.396,2.3291016,2.48521375
-60,2.632,2.0292969,2.61472975
-50,2.791,2.09375,2.7520895
-40,2.967,2.2382812,2.889512
-30,3.13,2.4111328,3.026307
-20,3.312,2.5263672,3.1624745
-10,3.538,2.616211,3.2776835
0,3.744,2.7070312,3.3725615
10,3.54,2.6201172,3.2776835
20,3.314,2.5341797,3.1637295
30,3.13,2.4033203,3.02549125
40,2.967,2.241211,2.88819425
50,2.791,2.0927734,2.75365825
60,2.632,2.0273438,2.616424
70,2.396,2.3291016,2.4857785
80,1.955,1.9541016,2.07646025
90,1.551,1.5488281,1.68540225
100,1.254,1.1757812,1.36638125
110,1.033,0.8388672,1.104651
120,0.854,0.52246094,0.88057075
130,0.693,0.20507812,0.67236625
140,0.543,0.0234375,0.478155
150,0.433,0.00390625,0.31167925
160,0.316,0.33789062,0.311993
170,0.1,0.29101562,0.094627
180,0,0.27246094,0
-170,0.212,0.20703125,0.175449
-160,0.578,0.66796875,0.51122425
-150,1.25,1.3793945,1.090344
-140,1.976,2.2104492,1.72782125
-130,2.279,5.4038086,1.90025825
-120,1.975,5.15625,1.56165925
-110,1.77,4.8896484,1.32408775
-100,1.644,4.6030273,1.16784025
-90,1.554,4.3515625,1.08049225
-80,1.559,4.1030273,1.06656175
-70,1.668,3.9746094,1.174178
-60,1.881,4.0996094,1.3994505
-50,2.191,4.3945312,1.7254995
-40,2.491,2.2407227,1.99789725
-30,2.26,1.9101562,1.68427275
-20,2.085,1.7026367,1.4654635
-10,1.991,1.6230469,1.3572825
0,1.964,1.6254883,1.3264095
10,1.991,1.6240234,1.35558825
20,2.083,1.6938477,1.46364375
30,2.26,1.90625,1.6823275
40,2.491,2.2402344,2.0005955
50,2.191,4.3969727,1.72706825
60,1.881,4.0981445,1.396815
70,1.668,3.9750977,1.17260925
80,1.559,4.098633,1.06530675
90,1.554,4.3481445,1.0791745
100,1.644,4.59375,1.16583225
110,1.77,4.885742,1.319758
120,1.975,5.157715,1.56341625
130,2.279,5.4033203,1.899066
140,1.976,2.209961,1.72769575
150,1.254,1.3847656,1.094611
160,0.578,0.66015625,0.5114125
170,0.212,0.20214844,0.1740685
180,0,0,0
-170,0.496,0.6640625,0.60585125
-160,0.14,0.24121094,0.2252725
-150,0,0,0.00194525
-140,0.165,0.021484375,0.024849
-130,0.635,0.3232422,0.319021
-120,1.297,0.79003906,0.8015685
-110,1.998,1.2636719,1.3595415
-100,2.518,1.6152344,1.806949
-90,2.717,1.6835938,1.96652225
-80,2.547,1.5878906,1.803686
-70,2.043,1.2734375,1.38552
-60,1.35,0.82714844,0.84229325
-50,0.665,0.33984375,0.3427405
-40,0.178,0.034179688,0.029618
-30,0.004,0.01171875,6.27E-05
-20,0.196,0.34179688,0.2922895
-10,0.599,0.8876953,0.78468875
0,1.041,1.328125,1.1705385
10,0.599,0.8857422,0.7845005
20,0.196,0.34179688,0.29235225
30,0.004,0.01171875,0
40,0.178,0.032226562,0.029618
50,0.665,0.33984375,0.34280325
60,1.35,0.82714844,0.84229325
70,2.043,1.2734375,1.38558275
80,2.547,1.5869141,1.803686
90,2.717,1.6835938,1.96652225
100,2.518,1.6162109,1.806949
110,1.998,1.2636719,1.3595415
120,1.297,0.79003906,0.8015685
130,0.635,0.3232422,0.3188955
140,0.165,0.021484375,0.0247235
150,0,0,0.00194525
160,0.14,0.24121094,0.225147
170,0.496,0.6640625,0.6057885
180,0.945,1.1162109,0.94984675
-170,0.066,0.078125,0.0714095
-160,0.193,0.16503906,0.15718875
-150,0.472,0.40039062,0.3723585
-140,0.836,0.7861328,0.71177325
-130,1.292,1.2529297,1.156608
-120,1.898,1.8378906,1.72142075
-110,2.602,2.4902344,2.35017575
-100,2.604,3.1230469,2.094846
-90,2.808,3.3574219,2.29357525
-80,2.596,3.131836,2.08963775
-70,2.398,3.0185547,1.87999
-60,1.847,1.7666016,1.679441
-50,1.206,1.1523438,1.08651625
-40,0.741,0.68847656,0.635783
-30,0.381,0.32714844,0.3060945
-20,0.127,0.09765625,0.09180325
-10,0,0,0
0,0.091,0.12988281,0.09142675
10,0.002,0.001953125,0.0008785
20,0.129,0.09863281,0.091364
30,0.381,0.32226562,0.3055925
40,0.743,0.6953125,0.6371635
50,1.204,1.1552734,1.08450825
60,1.847,1.7744141,1.68088425
70,2.398,3.0195312,1.87892325
80,2.596,3.1269531,2.08926125
90,2.808,3.359375,2.292885
100,2.604,3.1269531,2.0944695
110,2.602,2.4794922,2.34904625
120,1.9,1.8388672,1.7217345
130,1.294,1.2529297,1.15629425
140,0.838,0.7871094,0.71290275
150,0.472,0.39941406,0.37279775
