mol_id,conf_id,scan,ResFF Energy,Reference Energy,scan_group_id,u_qm_rel,wb97m
66.0,5.0,-105.0,0.4404297,0.375,2,0.375,0.325045
66.0,6.0,-90.0,1.0244141,1.125,2,1.125,1.33783
66.0,7.0,-75.0,0.0,0.0,2,0.0,0.0
66.0,8.0,-60.0,0.17578125,0.4375,2,0.4375,0.4511725
66.0,9.0,-45.0,0.4951172,1.125,2,1.125,1.1326375
66.0,10.0,-30.0,0.81152344,1.875,2,1.875,1.7400575
66.0,11.0,-15.0,1.0800781,2.5,2,2.5,2.134755
66.0,12.0,0.0,1.2460938,2.6875,2,2.6875,2.2841
66.0,13.0,15.0,1.0810547,2.5,2,2.5,2.1341275
66.0,14.0,30.0,0.80566406,1.875,2,1.875,1.7400575
66.0,15.0,45.0,0.49609375,1.125,2,1.125,1.1301275
66.0,16.0,60.0,0.17773438,0.4375,2,0.4375,0.4524275
66.0,17.0,75.0,0.0068359375,0.0,2,0.0,0.0031375
66.0,18.0,90.0,1.0039062,1.125,2,1.125,1.3208875
66.0,19.0,105.0,0.43945312,0.375,2,0.375,0.3244175
66.0,20.0,120.0,0.96972656,1.0,2,1.0,0.89105
66.0,21.0,135.0,1.2822266,1.625,2,1.625,1.532355
66.0,22.0,150.0,1.4111328,2.125,2,2.125,1.9709775
66.0,23.0,165.0,1.6455078,2.4375,2,2.4375,2.202525
66.0,24.0,180.0,1.7832031,2.5625,2,2.5625,2.2659025
366.0,1.0,-165.0,0.8046875,0.40625,3,0.40625,0.71629125
366.0,2.0,-150.0,0.6826172,0.25,3,0.25,0.46435
366.0,3.0,-135.0,0.32421875,0.25,3,0.25,0.415405
366.0,4.0,-120.0,0.037109375,0.03125,3,0.03125,0.27289975
366.0,5.0,-105.0,0.0029296875,0.0,3,0.0,0.00445525
366.0,6.0,-90.0,0.16503906,0.09375,3,0.09375,0.00470625
366.0,7.0,-75.0,0.5263672,0.28125,3,0.28125,0.27754325
366.0,8.0,-60.0,1.0986328,0.875,3,0.875,1.1113025
366.0,9.0,-45.0,1.9785156,1.46875,3,1.46875,1.72744475
366.0,10.0,-30.0,2.9873047,2.09375,3,2.09375,2.597097
366.0,11.0,-15.0,3.741211,2.65625,3,2.65625,3.3878725
366.0,12.0,0.0,4.010742,2.9375,3,2.9375,3.73331125
366.0,13.0,15.0,3.7451172,2.65625,3,2.65625,3.38969225
366.0,14.0,30.0,2.9736328,2.09375,3,2.09375,2.58975525
366.0,15.0,45.0,1.9794922,1.46875,3,1.46875,1.729139
366.0,16.0,60.0,1.0966797,0.875,3,0.875,1.11161625
366.0,17.0,75.0,0.52246094,0.28125,3,0.28125,0.27861
366.0,18.0,90.0,0.16992188,0.09375,3,0.09375,0.005271
366.0,19.0,105.0,0.0,0.0,3,0.0,0.0
366.0,20.0,120.0,0.036132812,0.03125,3,0.03125,0.2729625
366.0,21.0,135.0,0.3310547,0.25,3,0.25,0.4102595
366.0,22.0,150.0,0.70214844,0.28125,3,0.28125,0.4541845
366.0,23.0,165.0,0.8066406,0.40625,3,0.40625,0.7167305
366.0,24.0,180.0,0.8154297,0.46875,3,0.46875,0.842105
121.0,1.0,-165.0,0.7128906,1.125,4,1.125,0.81129475
121.0,2.0,-150.0,0.26464844,0.5625,4,0.5625,0.43667725
121.0,3.0,-135.0,0.0,0.21875,4,0.21875,0.158883
121.0,4.0,-120.0,0.0107421875,0.0,4,0.0,0.00169425
121.0,5.0,-105.0,0.05859375,0.0625,4,0.0625,0.04398775
121.0,6.0,-90.0,0.7207031,1.1875,4,1.1875,1.04874075
121.0,7.0,-75.0,0.4892578,0.90625,4,0.90625,0.88144925
121.0,8.0,-60.0,0.5185547,0.78125,4,0.78125,0.821523
121.0,9.0,-45.0,0.4873047,0.8125,4,0.8125,0.82572725
121.0,10.0,-30.0,0.75097656,1.03125,4,1.03125,0.90165475
121.0,11.0,-15.0,0.86035156,1.40625,4,1.40625,1.057463
121.0,12.0,0.0,0.72265625,2.125,4,2.125,1.54509325
121.0,13.0,15.0,0.8564453,1.40625,4,1.40625,1.05664725
121.0,14.0,30.0,0.74609375,1.03125,4,1.03125,0.898078
121.0,15.0,45.0,0.49023438,0.8125,4,0.8125,0.82547625
121.0,16.0,60.0,0.51660156,0.78125,4,0.78125,0.8183855
121.0,17.0,75.0,0.4892578,0.90625,4,0.90625,0.880508
121.0,18.0,90.0,0.71972656,1.1875,4,1.1875,1.047674
121.0,19.0,105.0,0.052734375,0.0625,4,0.0625,0.04122675
121.0,20.0,120.0,0.005859375,0.0,4,0.0,0.0
121.0,21.0,135.0,0.0078125,0.21875,4,0.21875,0.15743975
121.0,22.0,150.0,0.26367188,0.5625,4,0.5625,0.440254
121.0,23.0,165.0,0.70410156,1.125,4,1.125,0.805961
121.0,24.0,180.0,0.66503906,1.71875,4,1.71875,1.04334425
86.0,1.0,-165.0,5.276367,7.03125,5,7.03125,6.742111
86.0,2.0,-150.0,5.5625,7.34375,5,7.34375,6.9831965
86.0,3.0,-135.0,6.192383,7.71875,5,7.71875,7.27115625
86.0,4.0,-120.0,7.001953,8.09375,5,8.09375,7.448174
86.0,5.0,-105.0,8.246094,7.8125,5,7.8125,6.60111175
86.0,6.0,-90.0,6.732422,5.9375,5,5.9375,4.75902275
86.0,7.0,-75.0,4.6523438,3.75,5,3.75,2.88901
86.0,8.0,-60.0,2.828125,3.40625,5,3.40625,2.66455325
86.0,9.0,-45.0,1.3759766,1.875,5,1.875,1.37002075
86.0,10.0,-30.0,0.42285156,0.84375,5,0.84375,0.5430385
86.0,11.0,-15.0,0.016601562,0.21875,5,0.21875,0.10824375
86.0,12.0,0.0,0.08203125,0.0,5,0.0,0.0
86.0,13.0,15.0,0.0,0.21875,5,0.21875,0.1203545
86.0,14.0,30.0,0.4111328,0.84375,5,0.84375,0.54372875
86.0,15.0,45.0,1.3710938,1.875,5,1.875,1.37140125
86.0,16.0,60.0,2.819336,3.40625,5,3.40625,2.66455325
86.0,17.0,75.0,4.6552734,3.75,5,3.75,2.89070425
86.0,18.0,90.0,6.729492,5.9375,5,5.9375,4.74873175
86.0,19.0,105.0,8.251953,7.8125,5,7.8125,6.59998225
86.0,20.0,120.0,6.995117,8.09375,5,8.09375,7.450182
86.0,21.0,135.0,6.189453,7.71875,5,7.71875,7.27253675
86.0,22.0,150.0,5.557617,7.34375,5,7.34375,6.97961975
86.0,23.0,165.0,5.2646484,7.03125,5,7.03125,6.731569
86.0,24.0,180.0,5.2910156,6.875,5,6.875,6.685636
179.0,1.0,-165.0,4.0039062,1.53125,6,1.53125,2.62765625
179.0,2.0,-150.0,2.9941406,2.625,6,2.625,2.7091685
179.0,3.0,-135.0,2.7695312,1.71875,6,1.71875,2.10620375
179.0,4.0,-120.0,1.8574219,0.78125,6,0.78125,1.15265475
179.0,5.0,-105.0,1.0234375,0.15625,6,0.15625,0.32322525
179.0,6.0,-90.0,0.4296875,0.0,6,0.0,0.0
179.0,7.0,-75.0,0.9667969,0.84375,6,0.84375,0.83375925
179.0,8.0,-60.0,4.248047,3.40625,6,3.40625,3.849587
179.0,9.0,-45.0,5.28125,4.625,6,4.625,4.9144545
179.0,10.0,-30.0,6.3945312,5.78125,6,5.78125,5.84572725
179.0,11.0,-15.0,7.0195312,6.375,6,6.375,6.4204545
179.0,12.0,0.0,6.1933594,5.4375,6,5.4375,6.1807495
179.0,13.0,15.0,6.126953,4.75,6,4.75,5.834746
179.0,14.0,30.0,7.8125,7.75,6,7.75,8.2110885
179.0,15.0,45.0,6.2714844,5.59375,6,5.59375,6.062403
179.0,16.0,60.0,4.8046875,3.96875,6,3.96875,4.53174225
179.0,17.0,75.0,0.0,0.375,6,0.375,0.63935975
179.0,18.0,90.0,0.40234375,0.34375,6,0.34375,0.88672025
179.0,19.0,105.0,2.0214844,1.46875,6,1.46875,2.13243325
179.0,20.0,120.0,5.091797,4.0,6,4.0,4.5871505
179.0,21.0,135.0,5.34375,4.125,6,4.125,4.6925705
179.0,22.0,150.0,4.4140625,3.15625,6,3.15625,3.9164785
179.0,23.0,165.0,4.0996094,2.46875,6,2.46875,3.19039825
179.0,24.0,180.0,3.9570312,1.84375,6,1.84375,2.69994425
348.0,1.0,-165.0,0.16552734,0.125,7,0.125,0.179465
348.0,2.0,-150.0,0.62402344,0.6875,7,0.6875,0.60491
348.0,3.0,-135.0,1.4204102,1.625,7,1.625,1.401835
348.0,4.0,-120.0,2.3793945,2.8125,7,2.8125,2.37948
348.0,5.0,-105.0,3.2705078,3.6875,7,3.6875,3.21029
348.0,6.0,-90.0,3.703125,4.0625,7,4.0625,3.4857625
348.0,7.0,-75.0,3.3774414,3.5,7,3.5,3.0076075
348.0,8.0,-60.0,2.461914,2.4375,7,2.4375,2.074515
348.0,9.0,-45.0,1.3779297,1.375,7,1.375,1.1175775
348.0,10.0,-30.0,0.54541016,0.5625,7,0.5625,0.4336025
348.0,11.0,-15.0,0.12207031,0.1875,7,0.1875,0.0960075
348.0,12.0,0.0,0.0,0.0625,7,0.0625,0.0
348.0,13.0,15.0,0.12158203,0.1875,7,0.1875,0.0960075
348.0,14.0,30.0,0.54589844,0.5625,7,0.5625,0.4336025
348.0,15.0,45.0,1.378418,1.375,7,1.375,1.1175775
348.0,16.0,60.0,2.4624023,2.4375,7,2.4375,2.0738875
348.0,17.0,75.0,3.3774414,3.5,7,3.5,3.0076075
348.0,18.0,90.0,3.697754,4.0625,7,4.0625,3.485135
348.0,19.0,105.0,3.2705078,3.6875,7,3.6875,3.21029
348.0,20.0,120.0,2.3759766,2.8125,7,2.8125,2.3801075
348.0,21.0,135.0,1.4204102,1.625,7,1.625,1.401835
348.0,22.0,150.0,0.6220703,0.6875,7,0.6875,0.6024
348.0,23.0,165.0,0.16552734,0.125,7,0.125,0.179465
348.0,24.0,180.0,0.024414062,0.0,7,0.0,0.07028
217.0,1.0,-165.0,0.15429688,0.3125,8,0.3125,0.21278525
217.0,2.0,-150.0,0.6191406,1.25,8,1.25,0.88119825
217.0,3.0,-135.0,1.3847656,2.71875,8,2.71875,2.00843925
217.0,4.0,-120.0,2.4179688,4.5,8,4.5,3.439704
217.0,5.0,-105.0,3.446289,6.15625,8,6.15625,4.77998125
217.0,6.0,-90.0,4.126953,7.09375,8,7.09375,5.60815575
217.0,7.0,-75.0,4.290039,7.125,8,7.125,5.771745
217.0,8.0,-60.0,3.9794922,6.5,8,6.5,5.43233025
217.0,9.0,-45.0,3.6884766,5.75,8,5.75,4.991135
217.0,10.0,-30.0,3.6259766,5.28125,8,5.28125,4.7924685
217.0,11.0,-15.0,3.7548828,5.1875,8,5.1875,4.87661625
217.0,12.0,0.0,3.8544922,5.21875,8,5.21875,4.972059
217.0,13.0,15.0,3.7548828,5.1875,8,5.1875,4.876679
217.0,14.0,30.0,3.625,5.28125,8,5.28125,4.79253125
217.0,15.0,45.0,3.6884766,5.75,8,5.75,4.99132325
217.0,16.0,60.0,3.9804688,6.5,8,6.5,5.4322675
217.0,17.0,75.0,4.290039,7.125,8,7.125,5.771494
217.0,18.0,90.0,4.1289062,7.09375,8,7.09375,5.60803025
217.0,19.0,105.0,3.4433594,6.15625,8,6.15625,4.7751495
217.0,20.0,120.0,2.415039,4.5,8,4.5,3.439955
217.0,21.0,135.0,1.3876953,2.71875,8,2.71875,2.007749
217.0,22.0,150.0,0.61621094,1.25,8,1.25,0.8816375
217.0,23.0,165.0,0.15429688,0.3125,8,0.3125,0.21291075
217.0,24.0,180.0,0.0,0.0,8,0.0,0.0
379.0,1.0,-165.0,0.044921875,0.0,9,0.0,0.0
379.0,2.0,-150.0,0.0,0.40625,9,0.40625,0.17977875
379.0,3.0,-135.0,0.6152344,1.5,9,1.5,1.0292255
379.0,4.0,-120.0,1.6660156,2.96875,9,2.96875,2.25165825
379.0,5.0,-105.0,2.8984375,4.25,9,4.25,3.3984145
379.0,6.0,-90.0,4.0058594,4.6875,9,4.6875,4.141751
379.0,7.0,-75.0,4.111328,4.0,9,4.0,4.033068
379.0,8.0,-60.0,3.7421875,3.03125,9,3.03125,3.63303675
379.0,9.0,-45.0,3.5,2.5,9,2.5,3.50163825
379.0,10.0,-30.0,3.5390625,2.59375,9,2.59375,3.70093225
379.0,11.0,-15.0,3.546875,2.96875,9,2.96875,3.8652745
379.0,12.0,0.0,3.2851562,3.0625,9,3.0625,3.62726375
379.0,13.0,15.0,2.7578125,2.6875,9,2.6875,3.050403
379.0,14.0,30.0,2.4140625,2.5625,9,2.5625,2.69103375
379.0,15.0,45.0,2.578125,2.96875,9,2.96875,2.8695575
379.0,16.0,60.0,3.140625,3.875,9,3.875,3.54142175
379.0,17.0,75.0,4.111328,4.0,9,4.0,4.03388375
379.0,18.0,90.0,3.9550781,4.6875,9,4.6875,4.11395275
379.0,19.0,105.0,2.8945312,4.25,9,4.25,3.3981635
379.0,20.0,120.0,1.6523438,2.9375,9,2.9375,2.22467575
379.0,21.0,135.0,0.6074219,1.5,9,1.5,1.03016675
379.0,22.0,150.0,0.0,0.40625,9,0.40625,0.178461
379.0,23.0,165.0,0.046875,0.0,9,0.0,0.00458075
379.0,24.0,180.0,0.72265625,0.3125,9,0.3125,0.47156625
443.0,1.0,-165.0,0.58203125,0.28125,10,0.28125,0.33226125
443.0,2.0,-150.0,1.5791016,1.25,10,1.25,1.26397325
443.0,3.0,-135.0,2.7480469,2.625,10,2.625,2.54030825
443.0,4.0,-120.0,3.8955078,4.0625,10,4.0625,3.82705975
443.0,5.0,-105.0,4.7666016,5.125,10,5.125,4.77081975
443.0,6.0,-90.0,5.098633,5.46875,10,5.46875,5.09348025
443.0,7.0,-75.0,4.7041016,4.9375,10,4.9375,4.66358
443.0,8.0,-60.0,3.7832031,3.75,10,3.75,3.61483925
443.0,9.0,-45.0,2.6240234,2.3125,10,2.3125,2.30775675
443.0,10.0,-30.0,1.4609375,1.03125,10,1.03125,1.111428
443.0,11.0,-15.0,0.5263672,0.25,10,0.25,0.285638
443.0,12.0,0.0,0.0107421875,0.0,10,0.0,0.0
443.0,13.0,15.0,0.52734375,0.25,10,0.25,0.2857635
443.0,14.0,30.0,1.4609375,1.03125,10,1.03125,1.10998475
443.0,15.0,45.0,2.6220703,2.3125,10,2.3125,2.3065645
443.0,16.0,60.0,3.7851562,3.75,10,3.75,3.615153
443.0,17.0,75.0,4.7001953,4.9375,10,4.9375,4.6519085
443.0,18.0,90.0,5.0966797,5.46875,10,5.46875,5.09360575
443.0,19.0,105.0,4.758789,5.125,10,5.125,4.76015225
443.0,20.0,120.0,3.8955078,4.0625,10,4.0625,3.82693425
443.0,21.0,135.0,2.7490234,2.625,10,2.625,2.54030825
443.0,22.0,150.0,1.5810547,1.25,10,1.25,1.26497725
443.0,23.0,165.0,0.58203125,0.28125,10,0.28125,0.33376725
443.0,24.0,180.0,0.0,0.0,10,0.0,0.00658875
64.0,1.0,-165.0,5.4941406,3.375,11,3.375,3.19529275
64.0,2.0,-150.0,4.5527344,2.71875,11,2.71875,2.63430775
64.0,3.0,-135.0,2.9140625,1.5,11,1.5,1.557706
64.0,4.0,-120.0,2.2285156,0.96875,11,0.96875,1.43641025
64.0,5.0,-105.0,1.5664062,0.84375,11,0.84375,1.38884575
64.0,6.0,-90.0,0.7363281,0.59375,11,0.59375,0.92437025
64.0,7.0,-75.0,0.001953125,0.15625,11,0.15625,0.32259775
64.0,8.0,-60.0,0.001953125,0.0,11,0.0,0.0
64.0,9.0,-45.0,1.1621094,0.53125,11,0.53125,0.13986975
64.0,10.0,-30.0,2.5820312,1.625,11,1.625,0.89964675
64.0,11.0,-15.0,3.8457031,2.8125,11,2.8125,1.7874965
64.0,12.0,0.0,4.421875,3.46875,11,3.46875,2.102376
64.0,13.0,15.0,3.8417969,2.8125,11,2.8125,1.780594
64.0,14.0,30.0,2.5703125,1.625,11,1.625,0.89450125
64.0,15.0,45.0,1.1640625,0.53125,11,0.53125,0.13535175
64.0,16.0,60.0,0.16796875,0.03125,11,0.03125,0.02842575
64.0,17.0,75.0,0.0,0.15625,11,0.15625,0.3186445
64.0,18.0,90.0,0.734375,0.59375,11,0.59375,0.9245585
64.0,19.0,105.0,1.5664062,0.84375,11,0.84375,1.38897125
64.0,20.0,120.0,2.2246094,0.96875,11,0.96875,1.4388575
64.0,21.0,135.0,2.9082031,1.5,11,1.5,1.55613725
64.0,22.0,150.0,4.484375,2.71875,11,2.71875,2.6293505
64.0,23.0,165.0,5.5,3.375,11,3.375,3.1948535
64.0,24.0,180.0,5.466797,3.59375,11,3.59375,3.46612175
386.0,1.0,-165.0,1.3056641,0.4375,12,0.4375,0.78757525
386.0,2.0,-150.0,0.26464844,0.0,12,0.0,0.049949
386.0,3.0,-135.0,0.005859375,0.3125,12,0.3125,0.03193975
386.0,4.0,-120.0,0.5410156,1.28125,12,1.28125,0.66634225
386.0,5.0,-105.0,1.2392578,2.375,12,2.375,1.4790175
386.0,6.0,-90.0,2.0839844,3.1875,12,3.1875,2.0999915
386.0,7.0,-75.0,1.2402344,2.3125,12,2.3125,1.48146475
386.0,8.0,-60.0,0.50097656,1.15625,12,1.15625,0.63007275
386.0,9.0,-45.0,0.001953125,0.21875,12,0.21875,0.0
386.0,10.0,-30.0,0.37304688,0.03125,12,0.03125,0.11715425
386.0,11.0,-15.0,1.4199219,0.5,12,0.5,0.8884145
386.0,12.0,0.0,2.0986328,0.9375,12,0.9375,1.4744995
386.0,13.0,15.0,1.4228516,0.5,12,0.5,0.88847725
386.0,14.0,30.0,0.37597656,0.03125,12,0.03125,0.11690325
386.0,15.0,45.0,0.0029296875,0.21875,12,0.21875,0.00181975
386.0,16.0,60.0,0.50683594,1.15625,12,1.15625,0.63252
386.0,17.0,75.0,1.2490234,2.3125,12,2.3125,1.48573175
386.0,18.0,90.0,2.084961,3.1875,12,3.1875,2.1004935
386.0,19.0,105.0,1.2402344,2.375,12,2.375,1.47820175
386.0,20.0,120.0,0.54785156,1.28125,12,1.28125,0.66358125
386.0,21.0,135.0,0.0,0.3125,12,0.3125,0.03012
386.0,22.0,150.0,0.26464844,0.0,12,0.0,0.05001175
386.0,23.0,165.0,1.2998047,0.4375,12,0.4375,0.78581825
386.0,24.0,180.0,2.0888672,0.9375,12,0.9375,1.4719895
403.0,1.0,-165.0,6.213867,6.09375,13,6.09375,7.308618
403.0,2.0,-150.0,3.9667969,4.40625,13,4.40625,4.5610465
403.0,3.0,-135.0,2.3144531,3.21875,13,3.21875,2.78515875
403.0,4.0,-120.0,2.0683594,3.375,13,3.375,2.634747
403.0,5.0,-105.0,3.0585938,4.4375,13,4.4375,3.63579775
403.0,6.0,-90.0,0.0,0.0,13,0.0,0.0
403.0,7.0,-75.0,3.0820312,4.4375,13,4.4375,3.65725825
403.0,8.0,-60.0,2.0761719,3.40625,13,3.40625,2.63857475
403.0,9.0,-45.0,2.3339844,3.21875,13,3.21875,2.7997795
403.0,10.0,-30.0,4.1015625,4.4375,13,4.4375,4.62109825
403.0,11.0,-15.0,6.7470703,7.125,13,7.125,7.99240475
403.0,12.0,0.0,6.6123047,8.3125,13,8.3125,10.569359
403.0,13.0,15.0,6.7285156,7.15625,13,7.15625,7.98173725
403.0,14.0,30.0,3.3496094,3.09375,13,3.09375,3.7457985
403.0,15.0,45.0,2.336914,3.21875,13,3.21875,2.79758325
403.0,16.0,60.0,2.0761719,3.40625,13,3.40625,2.6378845
403.0,17.0,75.0,3.0771484,4.4375,13,4.4375,3.6541835
403.0,18.0,90.0,0.0029296875,0.0,13,0.0,0.0023845
403.0,19.0,105.0,3.0615234,4.4375,13,4.4375,3.63705275
403.0,20.0,120.0,2.0703125,3.375,13,3.375,2.63405675
403.0,21.0,135.0,2.3144531,3.21875,13,3.21875,2.78917475
403.0,22.0,150.0,3.9589844,4.40625,13,4.40625,4.55508525
403.0,23.0,165.0,6.245117,6.09375,13,6.09375,7.3253095
403.0,24.0,180.0,7.883789,9.625,13,9.625,11.512617
67.0,1.0,-165.0,4.640625,4.0,14,4.0,4.38202075
67.0,2.0,-150.0,1.5634766,1.28125,14,1.28125,1.5452815
67.0,3.0,-135.0,0.16308594,0.0625,14,0.0625,0.197537
67.0,4.0,-120.0,0.00390625,0.0625,14,0.0625,0.01273825
67.0,5.0,-105.0,0.328125,0.625,14,0.625,0.41672275
67.0,6.0,-90.0,0.5234375,1.0,14,1.0,0.701294
67.0,7.0,-75.0,0.38476562,0.59375,14,0.59375,0.42211925
67.0,8.0,-60.0,0.0078125,0.0,14,0.0,0.00018825
67.0,9.0,-45.0,0.28027344,0.1875,14,0.1875,0.372986
67.0,10.0,-30.0,2.0048828,1.78125,14,1.78125,2.1426615
67.0,11.0,-15.0,5.364258,4.8125,14,4.8125,5.35175925
67.0,12.0,0.0,9.498047,8.78125,14,8.78125,9.47845025
67.0,13.0,15.0,5.3652344,4.8125,14,4.8125,5.35132
67.0,14.0,30.0,2.0039062,1.78125,14,1.78125,2.1426615
67.0,15.0,45.0,0.27441406,0.1875,14,0.1875,0.37166825
67.0,16.0,60.0,0.0078125,0.0,14,0.0,0.0
67.0,17.0,75.0,0.38671875,0.59375,14,0.59375,0.4225585
67.0,18.0,90.0,0.5234375,1.0,14,1.0,0.70085475
67.0,19.0,105.0,0.328125,0.625,14,0.625,0.41659725
67.0,20.0,120.0,0.0,0.0625,14,0.0625,0.013052
67.0,21.0,135.0,0.16308594,0.0625,14,0.0625,0.19772525
67.0,22.0,150.0,1.5634766,1.28125,14,1.28125,1.54434025
67.0,23.0,165.0,4.6396484,4.0,14,4.0,4.38540925
67.0,24.0,180.0,8.719727,7.90625,14,7.90625,8.420548
120.0,1.0,-165.0,0.05859375,0.0,15,0.0,0.1158365
120.0,2.0,-150.0,0.62597656,0.28125,15,0.28125,0.64776825
120.0,3.0,-135.0,1.5878906,1.0,15,1.0,1.5028625
120.0,4.0,-120.0,2.9326172,2.0625,15,2.0625,2.61209425
120.0,5.0,-105.0,4.2529297,3.3125,15,3.3125,3.78501725
120.0,6.0,-90.0,5.4814453,4.6875,15,4.6875,4.93033025
120.0,7.0,-75.0,4.2685547,3.15625,15,3.15625,3.729609
120.0,8.0,-60.0,2.8300781,1.875,15,1.875,2.49261825
120.0,9.0,-45.0,1.4375,0.84375,15,0.84375,1.36136125
120.0,10.0,-30.0,0.5253906,0.21875,15,0.21875,0.5535805
120.0,11.0,-15.0,0.032226562,0.0,15,0.0,0.08427325
120.0,12.0,0.0,0.0068359375,0.09375,15,0.09375,0.00495725
120.0,13.0,15.0,0.033203125,0.0,15,0.0,0.08515175
120.0,14.0,30.0,0.5390625,0.21875,15,0.21875,0.55552575
120.0,15.0,45.0,1.4326172,0.84375,15,0.84375,1.35998075
120.0,16.0,60.0,2.828125,1.875,15,1.875,2.48998275
120.0,17.0,75.0,4.2685547,3.15625,15,3.15625,3.72766375
120.0,18.0,90.0,5.4765625,4.6875,15,4.6875,4.930393
120.0,19.0,105.0,4.248047,3.3125,15,3.3125,3.78564475
120.0,20.0,120.0,2.9365234,2.0625,15,2.0625,2.61560825
120.0,21.0,135.0,1.5898438,1.0,15,1.0,1.50418025
120.0,22.0,150.0,0.6191406,0.28125,15,0.28125,0.6441915
120.0,23.0,165.0,0.060546875,0.0,15,0.0,0.117217
120.0,24.0,180.0,0.0,0.09375,15,0.09375,0.0
166.0,1.0,-165.0,9.186523,8.0625,16,8.0625,9.225505
166.0,2.0,-150.0,5.0498047,4.1875,16,4.1875,4.92211
166.0,3.0,-135.0,2.1357422,1.625,16,1.625,2.082045
166.0,4.0,-120.0,0.57714844,0.375,16,0.375,0.616205
166.0,5.0,-105.0,0.052734375,0.0625,16,0.0625,0.09538
166.0,6.0,-90.0,0.0009765625,0.0,16,0.0,0.0
166.0,7.0,-75.0,0.048828125,0.0625,16,0.0625,0.0834575
166.0,8.0,-60.0,0.58496094,0.375,16,0.375,0.6093025
166.0,9.0,-45.0,2.1552734,1.5625,16,1.5625,2.06824
166.0,10.0,-30.0,5.0371094,4.0,16,4.0,4.780295
166.0,11.0,-15.0,8.991211,7.6875,16,7.6875,8.7366825
166.0,12.0,0.0,13.234375,12.0625,16,12.0625,13.495015
166.0,13.0,15.0,8.96875,7.6875,16,7.6875,8.743585
166.0,14.0,30.0,5.0283203,4.0,16,4.0,4.77402
166.0,15.0,45.0,2.1513672,1.5625,16,1.5625,2.0663575
166.0,16.0,60.0,0.58691406,0.375,16,0.375,0.6067925
166.0,17.0,75.0,0.046875,0.0625,16,0.0625,0.08283
166.0,18.0,90.0,0.0,0.0,16,0.0,0.0
166.0,19.0,105.0,0.044921875,0.0625,16,0.0625,0.0897325
166.0,20.0,120.0,0.5830078,0.375,16,0.375,0.6193425
166.0,21.0,135.0,2.1376953,1.625,16,1.625,2.0826725
166.0,22.0,150.0,5.044922,4.1875,16,4.1875,4.920855
166.0,23.0,165.0,9.158203,8.1875,16,8.1875,9.22174
166.0,24.0,180.0,13.40918,12.375,16,12.375,13.9386575
326.0,1.0,-165.0,0.001953125,0.0,17,0.0,0.1692995
326.0,2.0,-150.0,0.18457031,0.09375,17,0.09375,0.0
326.0,3.0,-135.0,0.72558594,0.875,17,0.875,0.4260725
326.0,4.0,-120.0,1.7685547,2.375,17,2.375,1.53844175
326.0,5.0,-105.0,3.3964844,4.375,17,4.375,3.1381275
326.0,6.0,-90.0,4.8847656,6.375,17,6.375,4.72702025
326.0,7.0,-75.0,5.6171875,7.6875,17,7.6875,5.9114265
326.0,8.0,-60.0,6.223633,8.40625,17,8.40625,6.82512925
326.0,9.0,-45.0,7.274414,9.125,17,9.125,7.73826725
326.0,10.0,-30.0,8.879883,10.0,17,10.0,8.90014625
326.0,11.0,-15.0,10.364258,11.09375,17,11.09375,10.30173025
